flightid,callsign,receivetime,packettime,altitude,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,latitude,longitude,temperature_k,pressure_pa,airdensity_slugs,airdensity_kgm3,velocity_x,velocity_y,velocity_z,airflow,acceleration,velocity_mean,acceleration_mean,velocity_std,acceleration_std,velocity_norm,acceleration_norm,velocity_curvefit
EOSS-321,KC0D-3,2022-04-02 07:18:20.050,2022-04-02 07:18:15,5646.0,870.0,0.0,ascending,/131815h3936.55N/10402.52WO020/017/A=005646 31T8258P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/131815h3936.55N/10402.52WO020/017/A=005646 31T8258P EOSS BALLOON",20.0,20.0,39.6091666667,-104.042,276.25,82580.0,0.00202064,1.04139393,5.56e-06,3.333e-05,14.5,high Re,,14.5,,,,,,16.620296
EOSS-321,KC0D-1,2022-04-02 07:18:16.977,2022-04-02 07:18:15,5676.0,908.0,0.0,ascending,/131815h3936.55N/10402.52WO021/016!W27!/A=005676 168T8282P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/131815h3936.55N/10402.52WO021/016!W27!/A=005676 168T8282P EOSS BALLOON",21.0,18.0,39.6092,-104.0421166667,289.95,82820.0,0.00193076,0.99507213,6.67e-06,3.5e-05,15.13333333,high Re,0.021111,14.816667,0.021111,0.447834,,0.707106,,16.781737
EOSS-321,AE0SS-12,2022-04-02 07:18:28.558,2022-04-02 07:18:27,5778.0,1076.0,12.0,ascending,/131827h3936.57N/10402.49WO042/005EOSS Balloon  www.eoss.org/A=005778!W85!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/131827h3936.57N/10402.49WO042/005EOSS Balloon  www.eoss.org/A=005778!W85!",42.0,6.0,39.6096333333,-104.0415833333,,,,,2.389e-05,4.111e-05,17.93333333,high Re,0.093333,15.855556,0.057222,1.82706,0.051069,1.137224,0.707102,17.30725
EOSS-321,KC0D-1,2022-04-02 07:18:46.804,2022-04-02 07:18:45,6310.0,1268.0,30.0,ascending,/131845h3936.58N/10402.45WO095/007!W30!/A=006310 167T8087P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/131845h3936.58N/10402.45WO095/007!W30!/A=006310 167T8087P EOSS BALLOON",95.0,8.0,39.6097166667,-104.0408333333,289.85,80870.0,0.00188595,0.97197834,4.278e-05,1.722e-05,21.13333333,high Re,0.106667,17.175,0.073704,3.031364,0.046032,1.305793,0.716089,19.52095
EOSS-321,KC0D-3,2022-04-02 07:18:47.496,2022-04-02 07:18:45,6282.0,1272.0,30.0,ascending,/131845h3936.58N/10402.45WO092/006/A=006282 86T8060P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/131845h3936.58N/10402.45WO092/006/A=006282 86T8060P EOSS BALLOON",92.0,7.0,39.6096666667,-104.0408333333,281.75,80600.0,0.00193369,0.99658321,3.889e-05,1.667e-05,21.2,high Re,0.002222,17.98,0.055833,3.18308,0.051866,1.011599,-1.033644,19.424384
EOSS-321,AE0SS-12,2022-04-02 07:18:58.500,2022-04-02 07:18:57,6402.0,1248.0,42.0,ascending,/131857h3936.58N/10402.41WO094/009EOSS Balloon  www.eoss.org/A=006402!W81!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/131857h3936.58N/10402.41WO094/009EOSS Balloon  www.eoss.org/A=006402!W81!",94.0,10.0,39.6098,-104.0401833333,,,,,4.667e-05,5.56e-06,20.8,high Re,-0.013333,18.45,0.042,3.070993,0.054537,0.765225,-1.014596,19.824229
EOSS-321,KC0D-1,2022-04-02 07:19:16.825,2022-04-02 07:19:15,6962.0,1304.0,60.0,ascending,/131915h3936.59N/10402.38WO103/006!W54!/A=006962 169T7895P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/131915h3936.59N/10402.38WO103/006!W54!/A=006962 169T7895P EOSS BALLOON",103.0,7.0,39.6099166667,-104.0397333333,290.05,78950.0,0.0018399,0.94824752,3.667e-05,6.67e-06,21.73333333,high Re,0.031111,18.919048,0.040185,3.065813,0.048982,0.917957,-0.185252,21.258234
EOSS-321,KC0D-3,2022-04-02 07:19:19.908,2022-04-02 07:19:15,6934.0,1304.0,60.0,ascending,/131915h3936.59N/10402.38WO104/005/A=006934 84T7867P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/131915h3936.59N/10402.38WO104/005/A=006934 84T7867P EOSS BALLOON",104.0,6.0,39.6098333333,-104.0396666667,281.55,78670.0,0.00188873,0.97341059,3.889e-05,5.56e-06,21.73333333,high Re,0.0,19.270833,0.034444,3.007738,0.047223,0.818722,-0.72939,21.201539
EOSS-321,AE0SS-12,2022-04-02 07:19:28.375,2022-04-02 07:19:27,7068.0,1332.0,72.0,ascending,/131927h3936.59N/10402.36WO163/011EOSS Balloon  www.eoss.org/A=007068!W06!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/131927h3936.59N/10402.36WO163/011EOSS Balloon  www.eoss.org/A=007068!W06!",163.0,13.0,39.6098333333,-104.0394333333,,,,,2.5e-05,1.11e-06,22.2,high Re,0.015556,19.596296,0.032083,2.978089,0.044227,0.874287,-0.373686,21.460261
EOSS-321,KC0D-1,2022-04-02 07:19:46.801,2022-04-02 07:19:45,7617.0,1310.0,90.0,ascending,/131945h3936.55N/10402.32WO158/009!W83!/A=007617 168T7705P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/131945h3936.55N/10402.32WO158/009!W83!/A=007617 168T7705P EOSS BALLOON",158.0,10.0,39.6093,-104.0387166667,289.95,77050.0,0.00179624,0.92574629,3.389e-05,-2.056e-05,21.83333333,high Re,-0.012222,19.82,0.027161,2.895514,0.043928,0.695328,-0.896535,22.226719
EOSS-321,KC0D-3,2022-04-02 07:19:47.429,2022-04-02 07:19:45,7585.0,1302.0,90.0,ascending,/131945h3936.55N/10402.32WO150/008/A=007585 62T7676P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/131945h3936.55N/10402.32WO150/008/A=007585 62T7676P EOSS BALLOON",150.0,9.0,39.6091666667,-104.0386666667,279.35,76760.0,0.00185739,0.95725742,3.333e-05,-2.222e-05,21.7,high Re,-0.004444,19.990909,0.024,2.804801,0.042604,0.609345,-0.667637,22.193382
EOSS-321,AE0SS-12,2022-04-02 07:19:58.288,2022-04-02 07:19:57,7718.0,1300.0,102.0,ascending,/131957h3936.53N/10402.29WO104/008EOSS Balloon  www.eoss.org/A=007718!W64!,"AE0SS-12>APTT4,EOSS,qAR,W0ARP:/131957h3936.53N/10402.29WO104/008EOSS Balloon  www.eoss.org/A=007718!W64!",104.0,9.0,39.6089333333,-104.0382333333,,,,,4e-05,-3e-05,21.66666667,high Re,-0.001111,20.130556,0.021717,2.717673,0.041121,0.56523,-0.555142,22.323933
EOSS-321,KC0D-1,2022-04-02 07:20:16.799,2022-04-02 07:20:15,8288.0,1342.0,120.0,ascending,/132015h3936.50N/10402.23WO128/009!W41!/A=008288 167T7513P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/132015h3936.50N/10402.23WO128/009!W41!/A=008288 167T7513P EOSS BALLOON",128.0,10.0,39.6084,-104.0371833333,289.85,75130.0,0.00175209,0.90298915,5.111e-05,-3e-05,22.36666667,high Re,0.023333,20.302564,0.021852,2.674865,0.03921,0.771666,0.037771,22.677199
EOSS-321,KC0D-3,2022-04-02 07:20:19.935,2022-04-02 07:20:15,8257.0,1344.0,120.0,ascending,/132015h3936.50N/10402.23WO128/012/A=008257 62T7484P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132015h3936.50N/10402.23WO128/012/A=008257 62T7484P EOSS BALLOON",128.0,14.0,39.6083333333,-104.0371666667,279.35,74840.0,0.00181093,0.93331351,5e-05,-2.778e-05,22.4,high Re,0.001111,20.452381,0.020256,2.630353,0.037979,0.74044,-0.504094,22.665322
EOSS-321,AE0SS-12,2022-04-02 07:20:28.320,2022-04-02 07:20:27,8397.0,1358.0,132.0,ascending,/132027h3936.49N/10402.18WO111/019EOSS Balloon  www.eoss.org/A=008397!W10!,"AE0SS-12>APTT4,EOSS,qAO,KB0TVJ-1:/132027h3936.49N/10402.18WO111/019EOSS Balloon  www.eoss.org/A=008397!W10!",111.0,22.0,39.6081833333,-104.0363333333,,,,,6.333e-05,-2.5e-05,22.63333333,high Re,0.007778,20.597778,0.019365,2.596471,0.036641,0.78397,-0.31623,22.713327
EOSS-321,KC0D-3,2022-04-02 07:20:47.415,2022-04-02 07:20:45,8932.0,1350.0,150.0,ascending,/132045h3936.47N/10402.08WO115/012/A=008932 46T7301P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132045h3936.47N/10402.08WO115/012/A=008932 46T7301P EOSS BALLOON",115.0,14.0,39.6078333333,-104.0346666667,277.75,73010.0,0.00177682,0.91573693,8.333e-05,-1.667e-05,22.5,high Re,-0.004444,20.716667,0.017778,2.55311,0.03584,0.698494,-0.620033,22.784132
EOSS-321,AE0SS-12,2022-04-02 07:20:58.404,2022-04-02 07:20:57,9079.0,1364.0,162.0,ascending,/132057h3936.46N/10402.02WO099/010EOSS Balloon  www.eoss.org/A=009079!W46!,"AE0SS-12>APTT4,EOSS,qAO,KB0TVJ-1:/132057h3936.46N/10402.02WO099/010EOSS Balloon  www.eoss.org/A=009079!W46!",99.0,12.0,39.6077333333,-104.0337666667,,,,,8.556e-05,-1.5e-05,22.73333333,high Re,0.007778,20.835294,0.017153,2.519961,0.034714,0.753202,-0.270064,22.778988
EOSS-321,KC0D-1,2022-04-02 07:21:16.824,2022-04-02 07:21:15,9630.0,1342.0,180.0,ascending,/132115h3936.45N/10401.91WO112/019!W34!/A=009630 168T7143P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/132115h3936.45N/10401.91WO112/019!W34!/A=009630 168T7143P EOSS BALLOON",112.0,22.0,39.60755,-104.0319,289.95,71430.0,0.00166523,0.85822268,8.806e-05,-1.417e-05,22.36666667,high Re,-0.006111,20.92037,0.015784,2.471224,0.034082,0.585255,-0.642421,22.697648
EOSS-321,KC0D-3,2022-04-02 07:21:19.921,2022-04-02 07:21:15,9599.0,1334.0,180.0,ascending,/132115h3936.45N/10401.91WO110/018/A=009599 38T7118P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132115h3936.45N/10401.91WO110/018/A=009599 38T7118P EOSS BALLOON",110.0,21.0,39.6075,-104.0318333333,276.95,71180.0,0.00173729,0.89536283,9.444e-05,-1.111e-05,22.23333333,high Re,-0.004444,20.989474,0.014661,2.420414,0.033407,0.513904,-0.571886,22.704203
EOSS-321,AE0SS-12,2022-04-02 07:21:28.368,2022-04-02 07:21:27,9745.0,1332.0,192.0,ascending,/132127h3936.42N/10401.83WO107/019EOSS Balloon  www.eoss.org/A=009745!W83!,"AE0SS-12>APTT4,EOSS,qAO,KB0TVJ-1:/132127h3936.42N/10401.83WO107/019EOSS Balloon  www.eoss.org/A=009745!W83!",107.0,22.0,39.6071333333,-104.03055,,,,,0.00010722,-2e-05,22.2,high Re,-0.001111,21.05,0.013831,2.371357,0.032667,0.484954,-0.457403,22.671851
EOSS-321,KC0D-3,2022-04-02 07:21:47.438,2022-04-02 07:21:45,10276.0,1354.0,210.0,ascending,/132145h3936.40N/10401.73WO120/013/A=010276 19T6935P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132145h3936.40N/10401.73WO120/013/A=010276 19T6935P EOSS BALLOON",120.0,15.0,39.6066666667,-104.0288333333,275.05,69350.0,0.00170432,0.87836954,0.0001,-2.778e-05,22.56666667,high Re,0.012222,21.122222,0.01375,2.334888,0.031797,0.618636,-0.048055,22.532497
EOSS-321,KC0D-1,2022-04-02 07:21:46.797,2022-04-02 07:21:45,10308.0,1356.0,210.0,ascending,/132145h3936.39N/10401.73WO120/015!W96!/A=010308 171T6963P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/132145h3936.39N/10401.73WO120/015!W96!/A=010308 171T6963P EOSS BALLOON",120.0,17.0,39.60665,-104.0289333333,290.25,69630.0,0.00162159,0.8357312,9.889e-05,-3e-05,22.6,high Re,0.001111,21.189394,0.013148,2.300296,0.031115,0.613228,-0.386855,22.523511
EOSS-321,AE0SS-12,2022-04-02 07:21:58.351,2022-04-02 07:21:57,10418.0,1346.0,222.0,ascending,/132157h3936.38N/10401.66WO111/016EOSS Balloon  www.eoss.org/A=010418!W07!,"AE0SS-12>APTT4,EOSS,qAO,KB0TVJ-1:/132157h3936.38N/10401.66WO111/016EOSS Balloon  www.eoss.org/A=010418!W07!",111.0,18.0,39.6063333333,-104.0277833333,,,,,9.222e-05,-2.667e-05,22.43333333,high Re,-0.005556,21.243478,0.012298,2.262327,0.030626,0.525943,-0.582969,22.492468
EOSS-321,KC0D-3,2022-04-02 07:22:19.904,2022-04-02 07:22:15,10947.0,1342.0,240.0,ascending,/132215h3936.35N/10401.55WO123/017/A=010947 12T6762P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132215h3936.35N/10401.55WO123/017/A=010947 12T6762P EOSS BALLOON",123.0,20.0,39.6058333333,-104.0258333333,274.35,67620.0,0.00166604,0.85864303,0.0001,-2.778e-05,22.36666667,high Re,-0.002222,21.290278,0.011667,2.224447,0.030074,0.48389,-0.461827,22.346171
EOSS-321,KC0D-1,2022-04-02 07:22:16.848,2022-04-02 07:22:15,10980.0,1344.0,240.0,ascending,/132215h3936.34N/10401.55WO118/018!W98!/A=010980 174T6787P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/132215h3936.34N/10401.55WO118/018!W98!/A=010980 174T6787P EOSS BALLOON",118.0,21.0,39.6058166667,-104.0259666667,290.55,67870.0,0.00157897,0.81376577,9.889e-05,-2.778e-05,22.4,high Re,0.001111,21.334667,0.011227,2.188892,0.029492,0.4867,-0.343008,22.337511
EOSS-321,AE0SS-12,2022-04-02 07:22:28.728,2022-04-02 07:22:27,11081.0,1326.0,252.0,ascending,/132227h3936.32N/10401.47WO110/022EOSS Balloon  www.eoss.org/A=011081!W90!,"AE0SS-12>APTT4,EOSS,qAO,KB0TVJ-1:/132227h3936.32N/10401.47WO110/022EOSS Balloon  www.eoss.org/A=011081!W90!",110.0,25.0,39.6054833333,-104.0245,,,,,0.00010944,-2.833e-05,22.1,high Re,-0.01,21.364103,0.010378,2.149913,0.029181,0.342292,-0.698331,22.311534
EOSS-321,KC0D-3,2022-04-02 07:22:47.444,2022-04-02 07:22:45,11614.0,1334.0,270.0,ascending,/132245h3936.28N/10401.32WO097/027/A=011614 -5T6593P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132245h3936.28N/10401.32WO097/027/A=011614 -5T6593P EOSS BALLOON",97.0,31.0,39.6046666667,-104.022,272.65,65930.0,0.00163453,0.84240323,0.00012778,-3.889e-05,22.23333333,high Re,0.004444,21.396296,0.01015,2.11479,0.028616,0.395802,-0.199399,22.191196
EOSS-321,KC0D-1,2022-04-02 07:22:46.797,2022-04-02 07:22:45,11643.0,1326.0,270.0,ascending,/132245h3936.29N/10401.32WO099/028!W03!/A=011643 174T6615P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/132245h3936.29N/10401.32WO099/028!W03!/A=011643 174T6615P EOSS BALLOON",99.0,32.0,39.6048333333,-104.02205,290.55,66150.0,0.00153895,0.79314286,0.00013056,-3.278e-05,22.1,high Re,-0.004444,21.421429,0.009609,2.079514,0.0282,0.326312,-0.498333,22.185601
EOSS-321,KC0D-3,2022-04-02 07:23:19.902,2022-04-02 07:23:15,12283.0,1338.0,300.0,ascending,/132315h3936.20N/10401.03WO118/028/A=012283 -8T6424P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132315h3936.20N/10401.03WO118/028/A=012283 -8T6424P EOSS BALLOON",118.0,32.0,39.6033333333,-104.0171666667,272.35,64240.0,0.00159439,0.82171384,0.00016111,-4.444e-05,22.3,high Re,0.006667,21.451724,0.009504,2.048549,0.027679,0.414086,-0.102496,22.091931
EOSS-321,AE0SS-12,2022-04-02 07:23:28.456,2022-04-02 07:23:27,12390.0,1309.0,312.0,ascending,/132327h3936.17N/10400.90WO112/031EOSS Balloon  www.eoss.org/A=012390!W99!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/132327h3936.17N/10400.90WO112/031EOSS Balloon  www.eoss.org/A=012390!W99!",112.0,36.0,39.6029833333,-104.01515,,,,,0.00015583,-4.167e-05,21.81666667,high Re,-0.008056,21.463889,0.008899,2.014022,0.027375,0.175161,-0.619361,22.082183
