flightid,callsign,receivetime,packettime,altitude,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,latitude,longitude,temperature_k,pressure_pa,airdensity_slugs,airdensity_kgm3,velocity_x,velocity_y,velocity_z,airflow,acceleration,velocity_mean,acceleration_mean,velocity_std,acceleration_std,velocity_norm,acceleration_norm,velocity_curvefit
EOSS-325,KC0D-1,2022-04-24 07:03:46.935,2022-04-24 07:03:45,5289.0,126.0,0.0,ascending,/130345h3936.49N/10402.52WO159/007!W91!/A=005289 174T8404P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/130345h3936.49N/10402.52WO159/007!W91!/A=005289 174T8404P EOSS BALLOON",159.0,8.0,39.6083166667,-104.0420166667,290.55,84040.0,0.00195515,1.00764514,-1.67e-06,-2.22e-06,2.1,high Re,,2.1,,,,,,4.271338
EOSS-325,AE0SS-12,2022-04-24 07:03:58.717,2022-04-24 07:03:57,5424.0,200.0,12.0,ascending,/130357h3936.44N/10402.50WO163/025EOSS Balloon  www.eoss.org/A=005424!W92!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/130357h3936.44N/10402.50WO163/025EOSS Balloon  www.eoss.org/A=005424!W92!",163.0,29.0,39.6074833333,-104.0417,,,,,5.83e-06,-1.389e-05,3.33333333,high Re,0.020556,2.716667,0.020556,0.872098,,0.707107,,6.552407
EOSS-325,KC0D-1,2022-04-24 07:04:16.919,2022-04-24 07:04:15,5838.0,1098.0,30.0,ascending,/130415h3936.36N/10402.51WO161/018!W75!/A=005838 177T8226P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/130415h3936.36N/10402.51WO161/018!W75!/A=005838 177T8226P EOSS BALLOON",161.0,21.0,39.6061166667,-104.0419166667,290.85,82260.0,0.00191177,0.98528549,3.33e-06,-7.333e-05,18.3,high Re,0.498889,7.911111,0.259723,9.01815,0.338233,1.151998,0.707104,12.189535
EOSS-325,AE0SS-12,2022-04-24 07:04:28.486,2022-04-24 07:04:27,5949.0,1050.0,42.0,ascending,/130427h3936.28N/10402.49WO186/035EOSS Balloon  www.eoss.org/A=005949!W76!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/130427h3936.28N/10402.49WO186/035EOSS Balloon  www.eoss.org/A=005949!W76!",186.0,40.0,39.6047833333,-104.0416,,,,,3.33e-06,-9e-05,17.5,high Re,-0.026667,10.308333,0.164259,8.786622,0.290758,0.818479,-0.656649,13.39497
EOSS-325,KC0D-1,2022-04-24 07:04:46.736,2022-04-24 07:04:45,6320.0,964.0,60.0,ascending,/130445h3936.12N/10402.47WO175/031!W22!/A=006320 179T8078P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/130445h3936.12N/10402.47WO175/031!W22!/A=006320 179T8078P EOSS BALLOON",175.0,36.0,39.6020333333,-104.0412,291.05,80780.0,0.00187608,0.96689362,2.389e-05,-0.00013611,16.06666667,high Re,-0.047778,11.46,0.11125,8.033382,0.26,0.573441,-0.611646,16.641856
EOSS-325,AE0SS-12,2022-04-24 07:04:58.498,2022-04-24 07:04:57,6477.0,1056.0,72.0,ascending,/130457h3936.00N/10402.45WO165/044EOSS Balloon  www.eoss.org/A=006477!W43!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/130457h3936.00N/10402.45WO165/044EOSS Balloon  www.eoss.org/A=006477!W43!",165.0,51.0,39.6000666667,-104.0408833333,,,,,2.389e-05,-0.00015722,17.6,high Re,0.051111,12.483333,0.099222,7.609957,0.226767,0.672365,-0.21216,17.699196
EOSS-325,KC0D-1,2022-04-24 07:05:16.645,2022-04-24 07:05:15,6860.0,1080.0,90.0,ascending,/130515h3935.81N/10402.37WO166/038!W18!/A=006860 181T7915P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/130515h3935.81N/10402.37WO166/038!W18!/A=006860 181T7915P EOSS BALLOON",166.0,44.0,39.59685,-104.0396333333,291.25,79150.0,0.00183696,0.94673282,5.222e-05,-0.00017278,18.0,high Re,0.013333,13.271429,0.084907,7.253082,0.205835,0.65194,-0.347725,19.633062
EOSS-325,AE0SS-12,2022-04-24 07:05:28.728,2022-04-24 07:05:27,7058.0,1162.0,102.0,ascending,/130527h3935.67N/10402.34WO160/049EOSS Balloon  www.eoss.org/A=007058!W74!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/130527h3935.67N/10402.34WO160/049EOSS Balloon  www.eoss.org/A=007058!W74!",160.0,56.0,39.5946166667,-104.0390666667,,,,,6.056e-05,-0.00018167,19.36666667,high Re,0.045556,14.033333,0.079286,7.052366,0.188489,0.756247,-0.178949,20.330621
EOSS-325,KC0D-1,2022-04-24 07:05:46.615,2022-04-24 07:05:45,7478.0,1236.0,120.0,ascending,/130545h3935.49N/10402.28WO172/035!W47!/A=007478 182T7731P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-10:/130545h3935.49N/10402.28WO172/035!W47!/A=007478 182T7731P EOSS BALLOON",172.0,40.0,39.5915666667,-104.0381166667,291.35,77310.0,0.00179365,0.92440673,5.056e-05,-0.00017611,20.6,high Re,0.041111,14.762963,0.074514,6.950548,0.175028,0.839795,-0.190844,21.278779
EOSS-325,AE0SS-12,2022-04-24 07:05:58.489,2022-04-24 07:05:57,7645.0,1174.0,132.0,ascending,/130557h3935.37N/10402.25WO170/030EOSS Balloon  www.eoss.org/A=007645!W94!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/130557h3935.37N/10402.25WO170/030EOSS Balloon  www.eoss.org/A=007645!W94!",170.0,35.0,39.58965,-104.0375666667,,,,,5e-05,-0.00016556,19.56666667,high Re,-0.034444,15.243333,0.062407,6.726804,0.167704,0.642702,-0.577512,21.493194
