flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-346,AE0SS-13,2023-09-09 10:32:12.401,2023-09-09 10:32:11.000,5224.0,1592.28,0.0,0.0,ascending,True,/163211h3936.44N/10402.40WO120/000EOSS Baloon/A=005224!W49!,"AE0SS-13>APTT4,EOSS,qAO,W9CN-9:/163211h3936.44N/10402.40WO120/000EOSS Baloon/A=005224!W49!",120.0,0.0,0.0,39.6074,-104.04015,0.0,0.0,,,,,,,,0.0,5.6e-07,0.0,0.0,high Re,,0.0,,,,,,5.502836,,0.0,,,,,,1.677309,
EOSS-346,KC0D-1,2023-09-09 10:32:31.965,2023-09-09 10:32:30.000,5417.0,1651.1,358.0,19.0,ascending,True,/163230h3936.44N/10402.39WO135/014/A=005417 465T8432P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,KC0L-10:/163230h3936.44N/10402.39WO135/014/A=005417 465T8432P EOSS BALLOON",135.0,16.0,25.7,39.6073333333,-104.0398333333,0.02,0.03,115.7,46.5,319.65,84320.0,0.83,0.00178308,0.91896366,1.111e-05,-5.56e-06,5.96666667,1.81866667,high Re,0.198889,2.983333,0.198889,4.21907,,0.707107,,8.386045,0.060622,0.909333,0.060622,1.285992,,0.707107,,2.55602,
EOSS-346,AE0SS-13,2023-09-09 10:32:42.558,2023-09-09 10:32:41.000,5595.0,1705.36,742.0,30.0,ascending,True,/163241h3936.42N/10402.36WO150/006EOSS Baloon/A=005595!W14!,"AE0SS-13>APTT4,EOSS,qAO,W9CN-9:/163241h3936.42N/10402.36WO150/006EOSS Baloon/A=005595!W14!",150.0,7.0,11.3,39.6070166667,-104.0394,0.05,0.08,,,,,,,,2.5e-05,-1.278e-05,12.36666667,3.76933333,high Re,0.213333,6.111111,0.206111,6.184599,0.010213,1.011473,0.707138,10.683648,0.065022,1.862667,0.062822,1.885052,0.003111,1.011466,0.707168,3.256406,
EOSS-346,KC0D-1,2023-09-09 10:33:01.950,2023-09-09 10:33:00.000,6073.0,1851.05,1312.0,49.0,ascending,True,/163300h3936.36N/10402.33WO129/017/A=006073 465T8237P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:/163300h3936.36N/10402.33WO129/017/A=006073 465T8237P EOSS BALLOON",129.0,20.0,32.2,39.606,-104.0388333333,0.12,0.19,115.7,46.5,319.65,82370.0,0.81,0.00174185,0.89771154,3.333e-05,-4.444e-05,21.86666667,6.665,high Re,0.316667,10.05,0.242963,9.357291,0.064237,1.26283,1.147376,15.396883,0.096522,3.06325,0.074055,2.852113,0.019581,1.262836,1.147388,4.69296,
EOSS-346,KC0D-1,2023-09-09 10:33:04.651,2023-09-09 10:33:04.651,0.0,0.0,,,,False,>163300 Lk=3Diff/12 Itemp=116F bAlt=5615Ft Rel:7.5V 7.8V,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:>163300 Lk=3Diff/12 Itemp=116F bAlt=5615Ft Rel:7.5V 7.8V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-346,KC0D-14,2023-09-09 10:33:04.655,2023-09-09 10:33:04.655,0.0,0.0,,,,False,>162618 Lk=3Diff/12 Itemp=116F bAlt=5716Ft 8.2V,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:>162618 Lk=3Diff/12 Itemp=116F bAlt=5716Ft 8.2V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-346,AE0SS-13,2023-09-09 10:33:12.549,2023-09-09 10:33:11.000,6277.0,1913.23,1364.0,60.0,ascending,True,/163311h3936.31N/10402.31WO168/013EOSS Baloon/A=006277!W74!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-1:/163311h3936.31N/10402.31WO168/013EOSS Baloon/A=006277!W74!",168.0,15.0,24.1,39.6052833333,-104.0385666667,0.17,0.27,,,,,,,,2.778e-05,-5.778e-05,22.73333333,6.929,high Re,0.028889,12.586667,0.189445,9.89154,0.119197,1.025792,-1.34698,16.865741,0.0088,3.8364,0.057742,3.014916,0.036334,1.025767,-1.347003,5.140676,
EOSS-346,AE0SS-13,2023-09-09 10:33:22.185,2023-09-09 10:33:22.185,0.0,0.0,,,,False,>EOSS Balloon Vbat=8.1V T=88F,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-2:>EOSS Balloon Vbat=8.1V T=88F",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-346,KC0D-1,2023-09-09 10:33:31.972,2023-09-09 10:33:30.000,6670.0,2033.02,1194.0,79.0,ascending,True,/163330h3936.23N/10402.30WO159/022/A=006670 466T8064P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:/163330h3936.23N/10402.30WO159/022/A=006670 466T8064P EOSS BALLOON",159.0,25.0,40.2,39.6038333333,-104.0383333333,0.26,0.43,115.88,46.6,319.75,80640.0,0.8,0.00170473,0.87858223,1.667e-05,-7.222e-05,19.9,6.06566667,high Re,-0.094444,13.805556,0.132667,9.337461,0.163629,0.652687,-1.387963,18.969264,-0.028778,4.207944,0.040438,2.846058,0.049872,0.652735,-1.387873,5.781847,
EOSS-346,AE0SS-13,2023-09-09 10:33:42.388,2023-09-09 10:33:41.000,6897.0,2102.21,1240.0,90.0,ascending,True,/163341h3936.17N/10402.29WO158/017EOSS Baloon/A=006897!W60!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-2:/163341h3936.17N/10402.29WO158/017EOSS Baloon/A=006897!W60!",158.0,20.0,32.2,39.6029333333,-104.0381666667,0.33,0.52,,,,,,,,1.333e-05,-7.833e-05,20.66666667,6.29933333,high Re,0.025556,14.785714,0.114815,8.909646,0.152747,0.660066,-0.584358,19.822796,0.007789,4.506714,0.034996,2.715673,0.046556,0.660101,-0.584393,6.042001,
