flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-303,KC0D-3,2020-11-01 06:57:04.094,2020-11-01 06:57:00,4712.0,1436.22,314.0,0.0,ascending,/135700h4013.55N/10404.57WO096/010/A=004712 -14T3143700P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/135700h4013.55N/10404.57WO096/010/A=004712 -14T3143700P EOSS BALLOON",96.0,12.0,19.3,40.2258333333,-104.0761666667,0.0,0.0,,,,,,,,2.222e-05,5.56e-06,5.23333333,1.59533333,high Re,,5.233333,,,,,,13.067818,,1.595333,,,,,,4.00634,
EOSS-303,KC0D-1,2020-11-01 06:57:16.816,2020-11-01 06:57:15,5126.0,1562.4,1118.0,15.0,ascending,/135715h4013.56N/10404.52WO089/009!W25!/A=005126 169T8552P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135715h4013.56N/10404.52WO089/009!W25!/A=005126 169T8552P EOSS BALLOON",89.0,10.0,16.1,40.2260333333,-104.0754166667,0.04,0.07,62.42,16.9,290.05,85520.0,0.84,0.00199302,1.02715804,5.167e-05,1e-05,18.63333333,5.67933333,high Re,0.446667,11.933333,0.446667,9.475231,,0.707107,,15.848551,0.136133,3.637333,0.136133,2.887824,,0.707107,,4.83739,
EOSS-303,K0SCC-14,2020-11-01 06:57:44.504,2020-11-01 06:57:21,5086.0,1550.21,1086.2,21.0,ascending,/135721h4013.56N/10404.50WO074/013eEOSS.org Balloon/A=005086!W33!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,N2XGL-12:/135721h4013.56N/10404.50WO074/013eEOSS.org Balloon/A=005086!W33!",74.0,15.0,24.1,40.22605,-104.07505,0.06,0.1,,,,,,,,6.552e-05,9.77e-06,18.10344828,5.51793103,high Re,-0.018272,13.990038,0.214197,7.588156,0.328762,0.542083,-0.707104,15.610389,-0.005566,4.264199,0.065284,2.312714,0.100196,0.542104,-0.707114,4.766099,
EOSS-303,KC0D-3,2020-11-01 06:57:32.053,2020-11-01 06:57:30,5318.0,1620.93,1212.0,30.0,ascending,/135730h4013.57N/10404.47WO075/015/A=005318 58T3081556P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/135730h4013.57N/10404.47WO075/015/A=005318 58T3081556P EOSS BALLOON",75.0,17.0,27.4,40.2261666667,-104.0745,0.09,0.15,,,,,,,,5.556e-05,1.111e-05,20.2,6.157,high Re,0.069885,15.542529,0.166093,6.930198,0.24695,0.672055,-0.389585,16.908883,0.021302,4.737399,0.050623,2.112212,0.075262,0.672092,-0.389586,5.155214,
EOSS-303,KC0D-1,2020-11-01 06:57:46.842,2020-11-01 06:57:45,5738.0,1748.94,1224.0,45.0,ascending,/135745h4013.58N/10404.40WO067/012!W58!/A=005738 170T8358P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135745h4013.58N/10404.40WO067/012!W58!/A=005738 170T8358P EOSS BALLOON",67.0,14.0,22.5,40.2264166667,-104.0734666667,0.15,0.24,62.6,17.0,290.15,83580.0,0.82,0.00194713,1.00351124,6.5e-05,1.278e-05,20.4,6.218,high Re,0.006667,16.514023,0.126237,6.382769,0.216818,0.608823,-0.551476,18.795855,0.002033,5.03352,0.038476,1.945383,0.06608,0.608867,-0.551498,5.722391,
EOSS-303,KC0D-3,2020-11-01 06:58:04.086,2020-11-01 06:58:00,5948.0,1812.95,1260.0,60.0,ascending,/135800h4013.61N/10404.33WO062/015/A=005948 92T3019116P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/135800h4013.61N/10404.33WO062/015/A=005948 92T3019116P EOSS BALLOON",62.0,17.0,27.4,40.2268333333,-104.0721666667,0.22,0.36,,,,,,,,7.778e-05,2.222e-05,21.0,6.40066667,high Re,0.02,17.261686,0.104989,5.995481,0.193688,0.623522,-0.438793,19.544184,0.006089,5.261377,0.031998,1.827328,0.059031,0.623473,-0.438905,5.948154,
EOSS-303,KC0D-1,2020-11-01 06:58:16.849,2020-11-01 06:58:15,6370.0,1941.58,1264.0,75.0,ascending,/135815h4013.63N/10404.27WO068/008!W10!/A=006370 172T8167P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135815h4013.63N/10404.27WO068/008!W10!/A=006370 172T8167P EOSS BALLOON",68.0,9.0,14.5,40.2271833333,-104.0711666667,0.28,0.45,62.96,17.2,290.35,81670.0,0.81,0.00190133,0.9799032,7.667e-05,2.556e-05,21.06666667,6.42133333,high Re,0.002222,17.805255,0.087862,5.658895,0.178247,0.576334,-0.480457,20.718075,0.000689,5.427085,0.02678,1.724766,0.054324,0.576454,-0.480285,6.303768,
EOSS-303,K0SCC-14,2020-11-01 06:58:23.474,2020-11-01 06:58:19,6333.0,1930.3,1290.0,79.0,ascending,/135819h4013.63N/10404.25WO073/007eEOSS.org Balloon/A=006333!W46!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,N2XGL-12:/135819h4013.63N/10404.25WO073/007eEOSS.org Balloon/A=006333!W46!",73.0,8.0,12.9,40.2272333333,-104.0709333333,0.29,0.47,,,,,,,,7.098e-05,2.04e-05,21.5,6.55327586,high Re,0.007471,18.267098,0.076377,5.399515,0.16553,0.598739,-0.416275,20.631021,0.002275,5.567859,0.023279,1.645717,0.050449,0.598777,-0.416341,6.277309,
EOSS-303,KC0D-3,2020-11-01 06:58:32.108,2020-11-01 06:58:30,6581.0,2005.89,1266.0,90.0,ascending,/135830h4013.64N/10404.23WO079/011/A=006581 117T2957287P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/135830h4013.64N/10404.23WO079/011/A=006581 117T2957287P EOSS BALLOON",79.0,13.0,20.9,40.2273333333,-104.0705,0.32,0.51,,,,,,,,5.556e-05,1.667e-05,21.1,6.43133333,high Re,-0.013333,18.581865,0.065163,5.138299,0.156498,0.490072,-0.501578,21.162551,-0.004065,5.663801,0.019861,1.566103,0.047696,0.490091,-0.501635,6.439112,
EOSS-303,KC0D-1,2020-11-01 06:58:46.828,2020-11-01 06:58:45,7006.0,2135.43,1272.0,105.0,ascending,/135845h4013.65N/10404.17WO089/012!W38!/A=007006 174T7977P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135845h4013.65N/10404.17WO089/012!W38!/A=007006 174T7977P EOSS BALLOON",89.0,14.0,22.5,40.22755,-104.0696333333,0.36,0.59,63.32,17.4,290.55,79770.0,0.79,0.00185581,0.95644755,5.111e-05,1.222e-05,21.2,6.46166667,high Re,0.003333,18.843678,0.058293,4.914673,0.147834,0.479446,-0.371768,21.820847,0.001011,5.743587,0.017767,1.497938,0.045056,0.479379,-0.371893,6.640894,
