flightid,callsign,receivetime,packettime,altitude,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,latitude,longitude,temperature_k,pressure_pa,velocity_x,velocity_y,velocity_z,airflow,acceleration,velocity_mean,acceleration_mean,velocity_std,acceleration_std,velocity_norm,acceleration_norm,velocity_curvefit
EOSS-304,AE0SS-13,2020-11-07 07:01:42.583,2020-11-07 07:01:41,4633.0,69.0,0.0,ascending,/140141h4013.53N/10404.60WO124/013EOSS Baloon/A=004633!W94!,"AE0SS-13>APTT4,EOSS,qAO,N2XGL-12:/140141h4013.53N/10404.60WO124/013EOSS Baloon/A=004633!W94!",124.0,15.0,40.22565,-104.0767333333,,,2.5e-06,-1.11e-06,1.15,high Re,,1.15,,,,,,7.219875
EOSS-304,KC0D-14,2020-11-07 07:01:46.953,2020-11-07 07:01:45,4777.0,442.0,4.0,ascending,/140145h4013.53N/10404.61WO083/009/A=004777 292T8455P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/140145h4013.53N/10404.61WO083/009/A=004777 292T8455P EOSS BALLOON",83.0,10.0,40.2255,-104.0768333333,302.35,84550.0,5.56e-06,-1.111e-05,7.36666667,high Re,0.207222,4.258333,0.207222,4.395847,,0.707107,,9.108942
EOSS-304,AE0SS-13,2020-11-07 07:02:12.602,2020-11-07 07:02:11,5289.0,1312.0,30.0,ascending,/140211h4013.61N/10404.50WO035/022EOSS Baloon/A=005289!W48!,"AE0SS-13>APTT4,EOSS,qAO,N2XGL-12:/140211h4013.61N/10404.50WO035/022EOSS Baloon/A=005289!W48!",35.0,25.0,40.2269,-104.0751333333,,,5.333e-05,4.167e-05,21.86666667,high Re,0.483333,10.127778,0.345278,10.630751,0.19524,1.104239,0.707104,14.268986
EOSS-304,KC0D-14,2020-11-07 07:02:16.669,2020-11-07 07:02:15,5404.0,1254.0,34.0,ascending,/140215h4013.63N/10404.48WO047/021/A=005404 293T8276P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAR,W0ARP:/140215h4013.63N/10404.48WO047/021/A=005404 293T8276P EOSS BALLOON",47.0,24.0,40.2271666667,-104.0746666667,302.45,82760.0,7.222e-05,5.556e-05,20.9,high Re,-0.032222,12.820833,0.219444,10.215288,0.257995,0.79089,-0.975469,15.143327
EOSS-304,AE0SS-13,2020-11-07 07:02:42.546,2020-11-07 07:02:41,5877.0,1176.0,60.0,ascending,/140241h4013.76N/10404.35WO036/029EOSS Baloon/A=005877!W30!,"AE0SS-13>APTT4,EOSS,qAO,N2XGL-12:/140241h4013.76N/10404.35WO036/029EOSS Baloon/A=005877!W30!",36.0,33.0,40.2293833333,-104.0725,,,8.778e-05,8.278e-05,19.6,high Re,-0.043333,14.176667,0.15375,9.351765,0.248268,0.579926,-0.793832,17.875654
EOSS-304,AE0SS-13,2020-11-07 07:03:12.500,2020-11-07 07:03:11,6431.0,1108.0,90.0,ascending,/140311h4013.98N/10404.17WO016/028EOSS Baloon/A=006431!W91!,"AE0SS-13>APTT4,EOSS,qAO,W9CN-9:/140311h4013.98N/10404.17WO016/028EOSS Baloon/A=006431!W91!",16.0,32.0,40.23315,-104.0695166667,,,9.944e-05,0.00012556,18.46666667,high Re,-0.037778,14.891667,0.115444,8.545862,0.23144,0.418331,-0.662038,19.711412
EOSS-304,KC0D-14,2020-11-07 07:03:20.751,2020-11-07 07:03:15,6537.0,1133.0,94.0,ascending,/140315h4014.03N/10404.15WO028/036/A=006537 293T7946P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAR,W0ARP:/140315h4014.03N/10404.15WO028/036/A=006537 293T7946P EOSS BALLOON",28.0,41.0,40.2338333333,-104.0691666667,302.45,79460.0,9.167e-05,0.00011111,18.88333333,high Re,0.006944,15.461905,0.097361,7.945816,0.211692,0.430595,-0.427116,19.936477
EOSS-304,AE0SS-13,2020-11-07 07:03:42.711,2020-11-07 07:03:41,7022.0,1182.0,120.0,ascending,/140341h4014.24N/10403.99WO031/032EOSS Baloon/A=007022!W16!,"AE0SS-13>APTT4,EOSS,qAO,N2XGL-12:/140341h4014.24N/10403.99WO031/032EOSS Baloon/A=007022!W16!",31.0,37.0,40.23735,-104.0666,,,9.722e-05,0.00014,19.7,high Re,0.027222,15.991667,0.087341,7.507446,0.195058,0.493954,-0.308211,20.586476
EOSS-304,KC0D-14,2020-11-07 07:04:07.897,2020-11-07 07:03:45,7136.0,1198.0,124.0,ascending,/140345h4014.27N/10403.97WO024/030/A=007136 295T7777P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAR,W0ARP:/140345h4014.27N/10403.97WO024/030/A=007136 295T7777P EOSS BALLOON",24.0,35.0,40.2378333333,-104.0661666667,302.65,77770.0,0.0001,0.00013333,19.96666667,high Re,0.008889,16.433333,0.077535,7.146478,0.182706,0.494416,-0.375718,20.665469
EOSS-304,AE0SS-13,2020-11-07 07:04:12.601,2020-11-07 07:04:11,7557.0,1070.0,150.0,ascending,/140411h4014.47N/10403.84WO032/026EOSS Baloon/A=007557!W91!,"AE0SS-13>APTT4,EOSS,qAO,N6BA-10:/140411h4014.47N/10403.84WO032/026EOSS Baloon/A=007557!W91!",32.0,30.0,40.2413166667,-104.0640166667,,,8.611e-05,0.00013222,17.83333333,high Re,-0.071111,16.573333,0.061018,6.752294,0.177943,0.186603,-0.742536,20.780802
EOSS-304,KC0D-14,2020-11-07 07:04:34.069,2020-11-07 07:04:15,7683.0,1094.0,154.0,ascending,/140415h4014.50N/10403.83WO023/029/A=007683 298T7625P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAR,W0ARP:/140415h4014.50N/10403.83WO023/029/A=007683 298T7625P EOSS BALLOON",23.0,33.0,40.2416666667,-104.0638333333,302.95,76250.0,7.778e-05,0.00012778,18.23333333,high Re,0.013333,16.724242,0.05625,6.425312,0.168443,0.234867,-0.254786,20.77236
EOSS-304,AE0SS-13,2020-11-07 07:04:42.486,2020-11-07 07:04:41,8128.0,1142.0,180.0,ascending,/140441h4014.67N/10403.69WO023/023EOSS Baloon/A=008128!W68!,"AE0SS-13>APTT4,EOSS,qAO,W9CN-9:/140441h4014.67N/10403.69WO023/023EOSS Baloon/A=008128!W68!",23.0,26.0,40.2446,-104.0616333333,,,7.944e-05,0.00010944,19.03333333,high Re,0.026667,16.916667,0.053561,6.162451,0.160048,0.343478,-0.168037,20.634706
