flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-328,KC0D-15,2022-07-30 07:39:16.701,2022-07-30 07:39:15,5830.0,1776.98,380.0,0.0,ascending,/133915h3916.73N/10329.72WO024/015/A=005830 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W9CN-9:/133915h3916.73N/10329.72WO024/015/A=005830 EOSS BALLOON",24.0,17.0,27.4,39.2788333333,-103.4953333333,0.0,0.0,,,,,,,,5.56e-06,2.222e-05,6.33333333,1.93033333,high Re,,6.333333,,,,,,9.865684,,1.930333,,,,,,3.006996,
EOSS-328,KE0BMV-11,2022-07-30 07:39:42.252,2022-07-30 07:39:16,5803.0,1768.75,514.6,1.0,ascending,/133916h3916.73N/10329.71WO018/017/A=005803 07.8V 116F HDOP00.9 SATS09 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N6BA-9:/133916h3916.73N/10329.71WO018/017/A=005803 07.8V 116F HDOP00.9 SATS09 EOSS Balloon Beacon",18.0,20.0,32.2,39.2788333333,-103.4951666667,0.01,0.01,,,,,,,,1.282e-05,3.846e-05,8.57692308,2.61423077,high Re,0.086292,7.455128,0.086292,1.586458,,0.707107,,9.525807,0.026304,2.272282,0.026304,0.483589,,0.707106,,2.903391,
EOSS-328,KC0D-15,2022-07-30 07:39:46.725,2022-07-30 07:39:45,6500.0,1981.2,1340.0,30.0,ascending,/133945h3916.87N/10329.65WO000/016/A=006500 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-2:/133945h3916.87N/10329.65WO000/016/A=006500 EOSS BALLOON",0.0,18.0,29.0,39.2811666667,-103.4941666667,0.17,0.28,,,,,,,,3.889e-05,7.778e-05,22.33333333,6.80733333,high Re,0.458547,12.41453,0.27242,8.662876,0.263224,1.144978,0.707105,16.518778,0.13977,3.783966,0.083037,2.640548,0.080233,1.144977,0.707103,5.034989,
EOSS-328,KE0BMV-11,2022-07-30 07:40:11.783,2022-07-30 07:39:59,6879.0,2096.72,1501.4,44.0,ascending,/133959h3916.94N/10329.59WO039/025/A=006879 07.9V 110F HDOP00.8 SATS10 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,KC0L-10:/133959h3916.94N/10329.59WO039/025/A=006879 07.9V 110F HDOP00.8 SATS10 EOSS Balloon Beacon",39.0,29.0,46.7,39.2823333333,-103.4931666667,0.27,0.43,,,,,,,,4.651e-05,8.14e-05,25.02325581,7.6272093,high Re,0.062556,15.566711,0.202465,9.474981,0.222091,0.998054,-0.629962,19.029645,0.019067,4.744777,0.061714,2.888072,0.067696,0.998047,-0.629978,5.800333,
EOSS-328,KC0D-15,2022-07-30 07:40:16.754,2022-07-30 07:40:15,7210.0,2197.61,1420.0,60.0,ascending,/134015h3917.02N/10329.54WO236/012/A=007210 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-2:/134015h3917.02N/10329.54WO236/012/A=007210 EOSS BALLOON",236.0,14.0,22.5,39.2836666667,-103.4923333333,0.37,0.6,,,,,,,,6.111e-05,8.333e-05,23.66666667,7.21366667,high Re,-0.04522,17.186702,0.140544,8.969577,0.21959,0.722438,-0.845958,20.654624,-0.013785,5.238555,0.042839,2.734008,0.066934,0.722424,-0.845968,6.295648,
EOSS-328,KE0BMV-11,2022-07-30 07:40:41.891,2022-07-30 07:40:23,7384.0,2250.64,1262.5,68.0,ascending,/134023h3917.02N/10329.53WO074/000/A=007384 07.9V 109F HDOP00.8 SATS10 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N2XGL-12:/134023h3917.02N/10329.53WO074/000/A=007384 07.9V 109F HDOP00.8 SATS10 EOSS Balloon Beacon",74.0,0.0,0.0,39.2836666667,-103.4921666667,0.37,0.6,,,,,,,,4.167e-05,5.556e-05,21.04166667,6.41333333,high Re,-0.109375,17.829196,0.09056,8.175539,0.220583,0.392937,-0.906394,21.331339,-0.033347,5.434351,0.027602,2.491959,0.067238,0.392857,-0.906467,6.501898,
EOSS-328,KE0BMV-11,2022-07-30 07:41:07.077,2022-07-30 07:40:25,7411.0,2258.87,810.0,70.0,ascending,/134025h3917.02N/10329.53WO074/000/A=007411 08.0V 116F HDOP00.8 SATS10 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N6BA-9:/134025h3917.02N/10329.53WO074/000/A=007411 08.0V 116F HDOP00.8 SATS10 EOSS Balloon Beacon",74.0,0.0,0.0,39.2836666667,-103.4921666667,0.37,0.6,,,,,,,,0.0,0.0,13.5,4.115,high Re,-3.770833,17.21074,-0.553006,7.640481,1.588705,-0.485668,-2.02544,21.426552,-1.149167,5.245872,-0.168526,2.328852,0.484163,-0.485592,-2.025436,6.530921,
EOSS-328,KC0D-15,2022-07-30 07:40:46.693,2022-07-30 07:40:45,7856.0,2394.51,1292.0,90.0,ascending,/134045h3917.01N/10329.50WO132/012/A=007856 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-2:/134045h3917.01N/10329.50WO132/012/A=007856 EOSS BALLOON",132.0,14.0,22.5,39.2835,-103.4916666667,0.38,0.61,,,,,,,,2.222e-05,-5.56e-06,21.53333333,6.56333333,high Re,0.267778,17.751064,-0.435751,7.236919,1.483092,0.522635,0.474366,22.665733,0.081611,5.410555,-0.132792,2.205838,0.451977,0.522603,0.474367,6.908648,
EOSS-328,KC0D-15,2022-07-30 07:41:16.648,2022-07-30 07:41:15,8527.0,2599.03,1342.0,120.0,ascending,/134115h3916.96N/10329.43WO166/007/A=008527 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-2:/134115h3916.96N/10329.43WO166/007/A=008527 EOSS BALLOON",166.0,8.0,12.9,39.2826666667,-103.4905,0.37,0.6,,,,,,,,3.889e-05,-2.778e-05,22.36666667,6.81733333,high Re,0.027778,18.263909,-0.37781,6.942151,1.382822,0.590992,0.293305,23.622813,0.008467,5.566864,-0.115135,2.115986,0.42142,0.590963,0.293299,7.20037,
EOSS-328,KE0BMV-11,2022-07-30 07:41:36.000,2022-07-30 07:41:31,8923.0,2719.73,1374.5,136.0,ascending,/134131h3916.92N/10329.40WO134/008/A=008923 07.9V 110F HDOP00.8 SATS10 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,KC0L-10:/134131h3916.92N/10329.40WO134/008/A=008923 07.9V 110F HDOP00.8 SATS10 EOSS Balloon Beacon",134.0,9.0,14.5,39.282,-103.49,0.36,0.58,,,,,,,,3.283e-05,-2.525e-05,22.90909091,6.98272727,high Re,0.008219,18.728427,-0.334918,6.707935,1.299896,0.623242,0.263973,23.837373,0.002506,5.70845,-0.102064,2.044597,0.396148,0.623241,0.263967,7.265767,
