balloonsize,beacons,day,detected_burst.burst_ft,detected_burst.burst_m,detected_burst.detected,flight,flighttime,flighttime_secs,h2fill,landing_location.altitude_ft,landing_location.altitude_m,landing_location.distance_from_launch_km,landing_location.distance_from_launch_mi,landing_location.latitude,landing_location.longitude,launch_location.altitude_ft,launch_location.altitude_m,launch_location.latitude,launch_location.longitude,liftfactor,maxaltitude_ft,maxaltitude_m,numpoints,parachute.description,parachute.size_ft,parachute.size_m,parachute.weight_kg,parachute.weight_lb,range_distance_traveled_km,range_distance_traveled_mi,reynolds_transitions,weights.balloon_kg,weights.balloon_lb,weights.client_kg,weights.client_lb,weights.eoss_kg,weights.eoss_lb,weights.gross_kg,weights.gross_lb,weights.necklift_kg,weights.necklift_lb,weights.neckload_kg,weights.neckload_lb,weights.parachute_kg,weights.parachute_lb
3000gm,"[""KC0D-14"",""AE0SS-12""]",2023-04-16,105379.0,32119.52,true,EOSS-338,1hrs 58mins 0secs,7080.0,445,5740.0,1749.55,87.27,54.23,39.215666666666664,-103.16183333333332,5212.0,1588.62,39.60816666666667,-104.0425,1.20,105170.0,32055.82,461,Rocketman,12.0,3.66,0.52,1.15,87.27,54.23,"[{""altitude_ft"":12357.0,""altitude_m"":3766.41,""transition"":""low_to_high""},{""altitude_ft"":58636.0,""altitude_m"":17872.25,""transition"":""high_to_low""}]",3.0,6.61,6.8,15.0,2.14,4.71,12.46,27.47,11.95,26.35,9.46,20.86,0.52,1.15
1500gm,"[""KC0D-14"",""AE0SS-12""]",2023-04-22,97284.0,29652.16,true,EOSS-339,2hrs 12mins 27secs,7947.0,289,4764.0,1452.07,122.42,76.07,39.0711,-102.79733333333331,5237.0,1596.24,39.60783333333333,-104.04133333333333,1.30,97223.0,29633.57,506,Rocketman,12.0,3.66,0.77,1.7,122.42,76.07,"[{""altitude_ft"":13693.0,""altitude_m"":4173.63,""transition"":""low_to_high""},{""altitude_ft"":53644.0,""altitude_m"":16350.69,""transition"":""high_to_low""}]",1.5,3.31,3.25,7.16,1.95,4.29,7.47,16.46,8.21,18.09,5.96,13.15,0.77,1.7
1500gm,"[""KC0D-1"",""AE0SS-13""]",2023-04-22,92098.0,28071.47,true,EOSS-340,2hrs 4mins 30secs,7470.0,269,4945.0,1507.24,115.47,71.75,39.11175,-102.86015,5234.0,1595.32,39.60775,-104.04128333333334,1.30,92029.0,28050.44,460,Rocketman,12.0,3.66,0.77,1.7,115.47,71.75,"[{""altitude_ft"":57817.0,""altitude_m"":17622.62,""transition"":""high_to_low""}]",1.5,3.31,2.73,6.01,1.95,4.29,6.94,15.31,7.53,16.59,5.44,12.0,0.77,1.7
1500gm,"[""KC0D-14"",""AE0SS-12""]",2023-05-04,84935.0,25888.19,true,EOSS-341,2hrs 4mins 57secs,7497.0,218,4823.0,1470.05,61.14,37.99,40.07435,-104.40935,5729.0,1746.2,39.7555,-104.994,1.35,84841.0,25859.54,427,Rocketman,12.0,3.66,0.74,1.63,61.14,37.99,"[{""altitude_ft"":20350.0,""altitude_m"":6202.68,""transition"":""low_to_high""},{""altitude_ft"":65268.0,""altitude_m"":19893.69,""transition"":""high_to_low""}]",1.5,3.31,1.27,2.8,1.91,4.22,5.42,11.96,5.83,12.85,3.93,8.66,0.74,1.63
1500gm,"[""KC0D-14"",""AE0SS-12""]",2023-06-03,101426.0,30914.64,true,EOSS-342,1hrs 46mins 30secs,6390.0,255,4915.0,1498.09,66.29,41.19,40.56565,-104.72238333333334,4561.0,1390.19,40.226483333333334,-104.07788333333332,1.30,101223.0,30852.77,413,Rocketman,10.0,3.05,0.63,1.39,66.29,41.19,"[{""altitude_ft"":45650.0,""altitude_m"":13914.12,""transition"":""high_to_low""}]",1.5,3.31,2.53,5.58,1.91,4.22,6.58,14.5,7.05,15.55,5.08,11.2,0.63,1.39
3000gm,"[""KC0D-12"",""AE0SS-9""]",2023-06-17,0.0,0.0,false,EOSS-343,1hrs 55mins 15secs,6915.0,243,9711.0,2959.91,64.28,39.94,34.38668333333333,-86.07745,705.0,214.88,34.72516666666667,-86.647,1.20,78749.0,24002.7,195,Spherachute,10.0,3.05,1.09,2.4,64.28,39.94,"[{""altitude_ft"":26904.0,""altitude_m"":8200.34,""transition"":""low_to_high""},{""altitude_ft"":60621.0,""altitude_m"":18477.28,""transition"":""high_to_low""}]",3.0,6.61,1.42,3.13,1.3,2.87,6.81,15.01,5.17,11.4,3.81,8.4,1.09,2.4
3000gm,"[""KC0D-2"",""AE0SS-13""]",2023-07-22,103313.0,31489.8,true,EOSS-344,1hrs 50mins 26secs,6626.0,363,9506.0,2897.43,51.55,32.03,38.8373,-103.30915,5652.0,1722.73,39.278,-103.49566666666666,1.20,103257.0,31472.73,434,Rocketman,12.0,3.66,0.74,1.63,51.55,32.03,"[{""altitude_ft"":52066.0,""altitude_m"":15869.72,""transition"":""high_to_low""}]",3.0,6.61,3.66,8.07,2.76,6.09,10.16,22.4,9.19,20.27,7.16,15.79,0.74,1.63
3000gm,"[""KC0D-2"",""AE0SS-13""]",2023-07-29,102479.0,31235.6,true,EOSS-345,1hrs 39mins 4secs,5944.0,335,5509.0,1679.14,12.09,7.51,39.151833333333336,-103.60816666666666,5408.0,1648.36,39.23613333333333,-103.69693333333332,1.20,102087.0,31116.12,392,Rocketman,12.0,3.66,0.74,1.63,12.09,7.51,"[{""altitude_ft"":41108.0,""altitude_m"":12529.72,""transition"":""low_to_high""}]",3.0,6.61,3.41,7.52,2.23,4.91,9.38,20.67,8.25,18.19,6.37,14.05,0.74,1.63
1500gm,"[""KC0D-14"",""KC0D-1"",""AE0SS-13""]",2023-09-09,0.0,0.0,false,EOSS-346,2hrs 9mins 30secs,7770.0,247,5821.0,1774.24,62.19,38.64,39.31283333333333,-103.42383333333332,5224.0,1592.28,39.607400000000005,-104.04015,1.30,96229.0,29330.6,376,Rocketman,12.0,3.66,0.77,1.7,62.19,38.64,"[{""altitude_ft"":40575.0,""altitude_m"":12367.26,""transition"":""high_to_low""}]",1.5,3.31,0.46,1.02,3.65,8.04,6.38,14.06,6.79,14.97,4.88,10.75,0.77,1.7
1500gm,"[""KC0D-1"",""AE0SS-13""]",2023-10-21,87189.0,26575.21,true,EOSS-347,1hrs 52mins 0secs,6720.0,282,5027.0,1532.23,76.96,47.82,39.60196666666666,-103.14315,5240.0,1597.15,39.60836666666667,-104.04205,1.30,86937.0,26498.4,378,Rocketman,12.0,3.66,0.77,1.7,76.96,47.82,"[{""altitude_ft"":50582.0,""altitude_m"":15417.39,""transition"":""high_to_low""}]",1.5,3.31,2.24,4.93,2.79,6.15,7.29,16.08,7.98,17.6,5.8,12.78,0.77,1.7
3000gm,"[""KC0D-2"",""AE0SS-1"",""AE0SS-12""]",2023-11-04,74857.0,22816.41,true,EOSS-348,1hrs 24mins 15secs,5055.0,469,4686.0,1428.29,104.04,64.65,38.904333333333334,-103.24366666666668,5225.0,1592.58,39.60766666666667,-104.04183333333332,1.20,74803.0,22799.95,486,Rocketman,12.0,3.66,0.77,1.7,104.04,64.65,"[{""altitude_ft"":19724.0,""altitude_m"":6011.88,""transition"":""low_to_high""},{""altitude_ft"":63151.0,""altitude_m"":19248.42,""transition"":""high_to_low""}]",3.0,6.61,6.53,14.39,2.81,6.2,13.11,28.9,12.73,28.06,10.11,22.28,0.77,1.7
3000gm,"[""KC0D-1"",""AE0SS-13""]",2023-11-04,100897.0,30753.41,true,EOSS-349,1hrs 56mins 49secs,7009.0,401,5042.0,1536.8,129.12,80.23,38.834666666666664,-102.922,5217.0,1590.14,39.60776666666667,-104.04185,1.20,100589.0,30659.53,395,Rocketman,12.0,3.66,0.77,1.7,129.12,80.23,"[{""altitude_ft"":16636.0,""altitude_m"":5070.65,""transition"":""low_to_high""},{""altitude_ft"":64772.0,""altitude_m"":19742.51,""transition"":""high_to_low""}]",3.0,6.61,5.5,12.12,1.96,4.32,11.23,24.75,10.47,23.09,8.23,18.14,0.77,1.7
3000gm,"[""KC0D-2"",""AE0SS-12""]",2023-11-11,79405.0,24202.64,true,EOSS-350,1hrs 42mins 48secs,6168.0,461,4717.0,1437.74,90.53,56.25,39.5215,-102.9915,5237.0,1596.24,39.608183333333336,-104.04231666666666,1.20,79183.0,24134.98,388,Rocketman,12.0,3.66,0.77,1.7,90.53,56.25,"[{""altitude_ft"":10313.0,""altitude_m"":3143.4,""transition"":""low_to_high""},{""altitude_ft"":45725.0,""altitude_m"":13936.98,""transition"":""high_to_low""}]",3.0,6.61,6.33,13.95,2.81,6.2,12.91,28.46,12.49,27.54,9.91,21.85,0.77,1.7
1500gm,"[""KC0D-2"",""AE0SS-12""]",2023-12-02,67334.0,20523.4,true,EOSS-351,1hrs 23mins 18secs,4998.0,290,4969.0,1514.55,65.74,40.85,39.735,-103.29116666666668,5175.0,1577.34,39.60843333333334,-104.042,1.30,67108.0,20454.52,295,Rocketman,12.0,3.66,0.77,1.7,65.74,40.85,"[{""altitude_ft"":29928.0,""altitude_m"":9122.05,""transition"":""low_to_high""}]",1.5,3.31,3.63,8.0,1.6,3.52,7.49,16.52,8.24,18.17,5.99,13.21,0.77,1.7
1500gm,"[""KC0D-1"",""KC0D-3""]",2023-12-02,72420.0,22073.62,true,EOSS-352,1hrs 31mins 20secs,5480.0,287,4894.0,1491.69,71.55,44.46,39.7375,-103.2225,5213.0,1588.92,39.608333333333334,-104.042,1.30,72356.0,22054.11,362,Rocketman,12.0,3.66,0.77,1.7,71.55,44.46,"[{""altitude_ft"":17492.0,""altitude_m"":5331.56,""transition"":""low_to_high""},{""altitude_ft"":65571.0,""altitude_m"":19986.04,""transition"":""high_to_low""}]",1.5,3.31,4.15,9.14,0.99,2.19,7.41,16.33,8.13,17.93,5.91,13.03,0.77,1.7
1500gm,"[""AE0SS-2"",""K0SCC-14""]",2023-12-02,72430.0,22076.66,true,EOSS-353,1hrs 36mins 48secs,5808.0,292,4814.0,1467.31,77.67,48.26,39.744600000000005,-103.15128333333334,5201.0,1585.26,39.60841666666667,-104.04205,1.30,72421.0,22073.92,282,Rocketman,12.0,3.66,0.82,1.81,77.67,48.26,"[{""altitude_ft"":16931.0,""altitude_m"":5160.57,""transition"":""low_to_high""},{""altitude_ft"":46196.0,""altitude_m"":14080.54,""transition"":""high_to_low""}]",1.5,3.31,4.02,8.86,1.21,2.67,7.55,16.64,8.31,18.33,6.05,13.34,0.82,1.81
2000gm,"[""AE0SS-12"",""KC0D-3""]",2024-03-17,98888.0,30141.06,true,EOSS-354,1hrs 49mins 47secs,6587.0,295,6175.0,1882.14,35.34,21.96,39.336299999999994,-103.82846666666669,5225.0,1592.58,39.608333333333334,-104.042,1.25,98821.0,30120.64,420,Rocketman,12.0,3.66,0.82,1.81,35.34,21.96,"[{""altitude_ft"":10274.0,""altitude_m"":3131.52,""transition"":""low_to_high""},{""altitude_ft"":55168.0,""altitude_m"":16815.21,""transition"":""high_to_low""}]",2.0,4.41,3.66,8.06,1.45,3.19,7.92,17.47,7.9,17.42,5.92,13.06,0.82,1.81
3000gm,"[""AE0SS-3"",""KC0D-1""]",2024-04-21,109893.0,33495.39,true,EOSS-355,2hrs 18mins 0secs,8280.0,317,4499.0,1371.3,131.72,81.85,38.95666666666666,-102.7625,5227.0,1593.19,39.608,-104.04216666666666,1.20,109752.0,33452.41,479,Rocketman,12.0,3.66,0.77,1.7,131.72,81.85,"[{""altitude_ft"":68226.0,""altitude_m"":20795.28,""transition"":""high_to_low""}]",3.0,6.61,4.09,9.01,1.0,2.21,8.86,19.53,7.63,16.82,5.86,12.91,0.77,1.7
1500gm,"[""AE0SS-2"",""KC0D-2""]",2024-04-21,90576.0,27607.56,true,EOSS-356,1hrs 54mins 26secs,6866.0,299,5134.0,1564.84,119.62,74.33,38.9375,-102.95416666666668,5212.0,1588.62,39.608,-104.04216666666666,1.30,90473.0,27576.17,381,Rocketman,12.0,3.66,0.77,1.7,119.62,74.33,"[{""altitude_ft"":51858.0,""altitude_m"":15806.32,""transition"":""high_to_low""}]",1.5,3.31,4.0,8.82,1.44,3.18,7.71,17.0,8.53,18.8,6.21,13.7,0.77,1.7
1500gm,"[""AE0SS-12"",""KC0D-3""]",2024-04-21,0.0,0.0,false,EOSS-357,1hrs 52mins 17secs,6737.0,301,6746.0,2056.18,115.81,71.96,38.95001666666667,-102.998,5223.0,1591.97,39.608,-104.04216666666666,1.30,89552.0,27295.45,226,Rocketman,12.0,3.66,0.82,1.81,115.81,71.96,"[{""altitude_ft"":49662.0,""altitude_m"":15136.98,""transition"":""high_to_low""}]",1.5,3.31,2.82,6.21,2.63,5.79,7.76,17.11,8.59,18.94,6.26,13.81,0.82,1.81
1500gm,"[""AE0SS-4"",""KC0D-3""]",2024-05-04,89727.0,27348.79,true,EOSS-358,1hrs 28mins 19secs,5299.0,267,45636.0,13909.85,60.13,37.36,39.76466666666666,-103.369,5213.0,1588.92,39.60816666666667,-104.04216666666666,1.30,89485.0,27275.03,152,Rocketman,12.0,3.66,0.82,1.81,60.13,37.36,"[{""altitude_ft"":34239.0,""altitude_m"":10436.05,""transition"":""low_to_high""},{""altitude_ft"":66163.0,""altitude_m"":20166.48,""transition"":""high_to_low""}]",1.5,3.31,3.01,6.64,1.56,3.44,6.89,15.19,7.46,16.45,5.39,11.89,0.82,1.81
3000gm,"[""AE0SS-1"",""AE0SS-3"",""KC0D-1""]",2024-05-04,101954.0,31075.58,true,EOSS-359,1hrs 48mins 59secs,6539.0,353,34398.0,10484.51,60.22,37.42,39.75983333333333,-103.366,5242.0,1597.76,39.60816666666667,-104.04216666666666,1.20,101911.0,31062.47,527,Rocketman,12.0,3.66,0.77,1.7,60.22,37.42,"[{""altitude_ft"":58771.0,""altitude_m"":17913.4,""transition"":""high_to_low""}]",3.0,6.61,3.86,8.5,2.26,4.99,9.88,21.79,8.86,19.54,6.89,15.18,0.77,1.7
3000gm,"[""AE0SS-1"",""AE0SS-4"",""KC0D-3"",""KC0D-1""]",2024-05-18,100123.0,30517.49,true,EOSS-360,1hrs 47mins 30secs,6450.0,482,5285.0,1610.87,52.64,32.71,39.72983333333333,-103.44733333333332,5222.0,1591.67,39.608,-104.04216666666666,1.20,99980.0,30473.9,627,Rocketman,12.0,3.66,0.77,1.7,52.64,32.71,"[{""altitude_ft"":64226.0,""altitude_m"":19576.08,""transition"":""high_to_low""}]",3.0,6.61,6.71,14.79,3.02,6.65,13.5,29.76,13.2,29.09,10.5,23.14,0.77,1.7
3000gm,"[""KC0D-2"",""AE0SS-4"",""AE0SS-2""]",2024-08-03,99227.0,30244.39,true,EOSS-361,1hrs 35mins 23secs,5723.0,415,5610.0,1709.93,44.0,27.34,38.81883333333333,-103.96616666666668,27831.0,8482.89,39.151833333333336,-103.69066666666669,1.20,99136.0,30216.65,497,Rocketman,12.0,3.66,0.77,1.7,44.0,27.34,"[{""altitude_ft"":60541.0,""altitude_m"":18452.9,""transition"":""high_to_low""}]",3.0,6.61,5.57,12.29,2.28,5.02,11.62,25.62,10.95,24.13,8.62,19.01,0.77,1.7
2000gm,"[""KC0D-3"",""AE0SS-1"",""KC0D-2""]",2024-10-20,99384.0,30292.24,true,EOSS-362,1hrs 40mins 45secs,6045.0,290,11560.0,3523.49,62.3,38.71,40.077,-103.642,5222.0,1591.67,39.608,-104.04216666666666,1.25,98987.0,30171.24,428,Rocketman,12.0,3.66,0.82,1.81,62.3,38.71,"[{""altitude_ft"":57841.0,""altitude_m"":17629.94,""transition"":""high_to_low""}]",2.0,4.41,2.64,5.81,2.32,5.12,7.78,17.15,7.72,17.02,5.78,12.74,0.82,1.81
3000gm,"[""KC0D-3"",""AE0SS-4""]",2024-11-16,106225.0,32377.38,true,EOSS-363,2hrs 11mins 26secs,7886.0,443,3989.0,1215.85,157.31,97.75,40.466,-102.57083333333334,5219.0,1590.75,39.608333333333334,-104.04216666666666,1.20,106085.0,32334.71,488,Rocketman,12.0,3.66,0.82,1.81,157.31,97.75,"[{""altitude_ft"":11797.0,""altitude_m"":3595.73,""transition"":""low_to_high""},{""altitude_ft"":60694.0,""altitude_m"":18499.53,""transition"":""high_to_low""}]",3.0,6.61,7.09,15.62,1.5,3.31,12.41,27.35,11.89,26.21,9.41,20.74,0.82,1.81
3000gm,"[""KC0D-1"",""AE0SS-3""]",2024-11-16,0.0,0.0,true,EOSS-364,1hrs 26mins 40secs,5200.0,370,4698.0,1431.95,135.07,83.93,40.398666666666664,-102.8365,5226.0,1592.88,39.608333333333334,-104.04216666666666,1.20,84498.0,25754.99,285,Rocketman,12.0,3.66,0.77,1.7,135.07,83.93,"[{""altitude_ft"":16428.0,""altitude_m"":5007.25,""transition"":""low_to_high""},{""altitude_ft"":65939.0,""altitude_m"":20098.21,""transition"":""high_to_low""}]",3.0,6.61,5.0,11.03,1.57,3.47,10.35,22.82,9.42,20.77,7.35,16.21,0.77,1.7
3000gm,"[""KC0D-3"",""AE0SS-4""]",2024-12-07,90628.0,27623.41,true,EOSS-365,1hrs 57mins 34secs,7054.0,351,6055.0,1845.56,57.45,35.7,39.096833333333336,-103.93983333333334,5212.0,1588.62,39.60783333333333,-104.04216666666666,1.20,90615.0,27619.45,427,Rocketman,12.0,3.66,0.82,1.81,57.45,35.7,"[{""altitude_ft"":17172.0,""altitude_m"":5234.03,""transition"":""low_to_high""},{""altitude_ft"":59200.0,""altitude_m"":18044.16,""transition"":""high_to_low""}]",3.0,6.61,4.5,9.91,1.5,3.31,9.82,21.64,8.78,19.35,6.81,15.02,0.82,1.81
3000gm,"[""KC0D-1"",""AE0SS-3""]",2024-12-07,88433.0,26954.38,true,EOSS-366,1hrs 55mins 0secs,6900.0,391,6018.0,1834.29,52.85,32.84,39.14266666666666,-103.91616666666668,5218.0,1590.45,39.60816666666667,-104.04216666666666,1.20,88137.0,26864.16,375,Rocketman,12.0,3.66,0.77,1.7,52.85,32.84,"[{""altitude_ft"":52910.0,""altitude_m"":16126.97,""transition"":""high_to_low""}]",3.0,6.61,5.59,12.33,1.57,3.47,10.94,24.12,10.12,22.32,7.94,17.5,0.77,1.7
1500gm,"[""KC0L-11"",""AE0SS-4""]",2025-02-01,89528.0,27288.13,true,EOSS-367,2hrs 1mins 30secs,7290.0,276,4276.0,1303.32,131.63,81.79,39.38133333333333,-102.5355,5208.0,1587.4,39.608,-104.04216666666666,1.30,89245.0,27201.88,309,Rocketman,12.0,3.66,0.82,1.81,131.63,81.79,"[{""altitude_ft"":43920.0,""altitude_m"":13386.82,""transition"":""high_to_low""}]",1.5,3.31,3.32,7.31,1.5,3.31,7.14,15.73,7.77,17.14,5.64,12.43,0.82,1.81
1500gm,"[""KC0D-1"",""AE0SS-3""]",2025-02-01,0.0,0.0,true,EOSS-368,2hrs 9mins 30secs,7770.0,267,4168.0,1270.41,140.45,87.27,39.355333333333334,-102.43766666666669,5212.0,1588.62,39.608,-104.04216666666666,1.30,91544.0,27902.61,503,Rocketman,12.0,3.66,0.77,1.7,140.45,87.27,"[{""altitude_ft"":44479.0,""altitude_m"":13557.2,""transition"":""high_to_low""}]",1.5,3.31,3.04,6.7,1.57,3.47,6.89,15.18,7.45,16.43,5.38,11.87,0.77,1.7
2000gm,"[""KC0D-3"",""AE0SS-4""]",2025-03-23,0.0,0.0,false,EOSS-369,1hrs 49mins 4secs,6544.0,333,5125.0,1562.1,97.99,60.89,39.10016666666667,-103.10983333333331,5215.0,1589.53,39.608,-104.04216666666666,1.25,95515.0,29112.97,258,Rocketman,12.0,3.66,0.82,1.81,97.99,60.89,"[{""altitude_ft"":61230.0,""altitude_m"":18662.9,""transition"":""high_to_low""}]",2.0,4.41,4.08,8.99,2.03,4.48,8.93,19.69,9.17,20.21,6.93,15.28,0.82,1.81
3000gm,"[""KC0D-3"",""AE0SS-4"",""AE0SS-12""]",2025-04-06,94023.0,28658.21,true,EOSS-370,1hrs 57mins 30secs,7050.0,367,5847.0,1782.17,48.18,29.94,39.17483333333333,-104.01716666666668,5229.0,1593.8,39.608,-104.04216666666666,1.20,93949.0,28635.66,695,Rocketman,12.0,3.66,0.82,1.81,48.18,29.94,"[{""altitude_ft"":58653.0,""altitude_m"":17877.43,""transition"":""high_to_low""}]",3.0,6.61,3.98,8.77,2.48,5.47,10.28,22.66,9.33,20.57,7.28,16.04,0.82,1.81
3000gm,"[""KC0D-1"",""KC0D-14"",""AE0SS-3""]",2025-04-06,94121.0,28688.08,true,EOSS-371,1hrs 48mins 0secs,6480.0,389,6014.0,1833.07,41.54,25.81,39.23583333333333,-103.99866666666668,5231.0,1594.41,39.60816666666667,-104.04216666666666,1.20,94074.0,28673.76,620,Rocketman,12.0,3.66,0.77,1.7,41.54,25.81,"[{""altitude_ft"":52845.0,""altitude_m"":16107.16,""transition"":""high_to_low""}]",3.0,6.61,5.0,11.03,2.1,4.63,10.87,23.97,10.05,22.15,7.87,17.36,0.77,1.7
1500gm,"[""KC0D-3"",""AE0SS-12""]",2025-04-12,91249.0,27812.7,true,EOSS-372,2hrs 4mins 47secs,7487.0,288,4778.0,1456.33,87.34,54.27,39.44656666666667,-103.04481666666668,5223.0,1591.97,39.608,-104.04216666666666,1.30,91254.0,27814.22,487,Rocketman,12.0,3.66,0.82,1.81,87.34,54.27,"[{""altitude_ft"":42161.0,""altitude_m"":12850.67,""transition"":""high_to_low""}]",1.5,3.31,3.11,6.85,2.01,4.43,7.44,16.4,8.17,18.01,5.94,13.09,0.82,1.81
3000gm,"[""KC0D-1"",""AE0SS-3""]",2025-04-12,0.0,0.0,true,EOSS-373,1hrs 55mins 20secs,6920.0,478,5084.0,1549.6,65.37,40.62,39.5005,-103.29216666666667,5219.0,1590.75,39.608,-104.04233333333332,1.20,99763.0,30407.76,444,Rocketman,12.0,3.66,0.77,1.7,65.37,40.62,"[{""altitude_ft"":64800.0,""altitude_m"":19751.04,""transition"":""high_to_low""}]",3.0,6.61,8.03,17.7,1.57,3.47,13.38,29.49,13.05,28.77,10.37,22.87,0.77,1.7
1500gm,"[""KC0D-1"",""AE0SS-3""]",2025-05-03,89887.0,27397.56,true,EOSS-374,1hrs 59mins 30secs,7170.0,295,5110.0,1557.53,40.3,25.04,38.880833333333335,-103.6035,5408.0,1648.36,39.23616666666667,-103.69683333333332,1.30,89886.0,27397.25,424,Rocketman,12.0,3.66,0.77,1.7,40.3,25.04,"[{""altitude_ft"":46052.0,""altitude_m"":14036.65,""transition"":""high_to_low""}]",1.5,3.31,3.77,8.32,1.57,3.47,7.62,16.79,8.41,18.53,6.12,13.49,0.77,1.7
1500gm,"[""KC0D-3"",""AE0SS-4"",""AE0SS-2""]",2025-05-03,87363.0,26628.24,true,EOSS-375,1hrs 57mins 36secs,7056.0,296,5136.0,1565.45,39.04,24.26,38.89183333333333,-103.60666666666668,5402.0,1646.53,39.23616666666667,-103.69683333333332,1.30,87039.0,26529.49,673,Rocketman,12.0,3.66,0.82,1.81,39.04,24.26,"[{""altitude_ft"":45552.0,""altitude_m"":13884.25,""transition"":""high_to_low""}]",1.5,3.31,3.36,7.41,1.97,4.35,7.65,16.87,8.45,18.63,6.16,13.57,0.82,1.81
1500gm,"[""KC0D-1"",""AE0SS-3""]",2025-05-10,0.0,0.0,true,EOSS-376,2hrs 8mins 20secs,7700.0,257,5260.0,1603.25,36.16,22.47,38.913,-103.65,5401.0,1646.22,39.236333333333334,-103.697,1.30,93577.0,28522.27,456,Rocketman,12.0,3.66,0.77,1.7,36.16,22.47,"[{""altitude_ft"":43536.0,""altitude_m"":13269.77,""transition"":""high_to_low""}]",1.5,3.31,2.85,6.28,1.51,3.34,6.63,14.62,7.13,15.71,5.13,11.32,0.77,1.7
3000gm,"[""KC0D-2"",""AE0SS-1"",""AE0SS-2""]",2025-05-10,63174.0,19255.44,true,EOSS-377,1hrs 15mins 38secs,4538.0,462,5359.0,1633.42,25.56,15.88,39.0065,-103.68016666666666,5402.0,1646.53,39.23616666666667,-103.69683333333332,1.20,63097.0,19231.97,434,Rocketman,12.0,3.66,0.77,1.7,25.56,15.88,"[{""altitude_ft"":54081.0,""altitude_m"":16483.89,""transition"":""high_to_low""}]",3.0,6.61,6.86,15.13,2.28,5.02,12.91,28.47,12.5,27.55,9.91,21.85,0.77,1.7
2000gm,"[""KC0D-3"",""KC0D-12""]",2025-06-14,0.0,0.0,false,EOSS-378,2hrs 28mins 30secs,8910.0,167,2613.0,796.44,30.75,19.11,38.19698333,-97.4275,2373.0,723.29,38.14468333,-97.77328333,1.25,89165.0,27177.49,216,Rocketman,12.0,3.66,0.82,1.81,30.75,19.11,"[{""altitude_ft"":48702.0,""altitude_m"":14844.37,""transition"":""high_to_low""}]",2.0,4.41,0.59,1.31,1.07,2.35,4.48,9.87,3.6,7.93,2.48,5.46,0.82,1.81
1500gm,"[""KC0D-1"",""AE0SS-3""]",2025-06-17,97006.0,29567.43,true,EOSS-379,2hrs 36mins 10secs,9370.0,219,4889.0,1490.17,57.57,35.77,40.039,-104.36366666666666,5532.0,1686.15,39.882333333333335,-105.00783333333334,1.30,96874.0,29527.2,571,Rocketman,12.0,3.66,0.77,1.7,57.57,35.77,"[{""altitude_ft"":31977.0,""altitude_m"":9746.59,""transition"":""high_to_low""}]",1.5,3.31,1.8,3.97,1.57,3.47,5.65,12.45,5.84,12.87,4.15,9.14,0.77,1.7
3000gm,"[""KC0D-1"",""AE0SS-1"",""KC0D-14"",""AE0SS-3""]",2025-07-26,98168.0,29921.61,true,EOSS-380,1hrs 38mins 0secs,5880.0,392,5273.0,1607.21,35.49,22.05,39.596833333333336,-103.462,5786.0,1763.57,39.2785,-103.49516666666666,1.20,98123.0,29907.89,709,Rocketman,12.0,3.66,0.77,1.7,35.49,22.05,"[{""altitude_ft"":27499.0,""altitude_m"":8381.7,""transition"":""low_to_high""},{""altitude_ft"":65789.0,""altitude_m"":20052.49,""transition"":""high_to_low""}]",3.0,6.61,4.35,9.59,2.85,6.28,10.97,24.18,10.16,22.4,7.97,17.56,0.77,1.7
1500gm,"[""KC0D-1"",""AE0SS-3""]",2025-08-02,94809.0,28897.78,true,EOSS-381,2hrs 20mins 20secs,8420.0,242,5106.0,1556.31,54.99,34.17,39.03216666666667,-103.11566666666668,5403.0,1646.83,39.23616666666667,-103.697,1.30,94633.0,28844.14,487,Rocketman,12.0,3.66,0.77,1.7,54.99,34.17,"[{""altitude_ft"":45792.0,""altitude_m"":13957.4,""transition"":""high_to_low""}]",1.5,3.31,2.39,5.28,1.57,3.47,6.24,13.76,6.61,14.58,4.74,10.45,0.77,1.7
1500gm,"[""KC0D-2"",""AE0SS-2""]",2025-08-02,96821.0,29511.04,true,EOSS-382,2hrs 19mins 53secs,8393.0,242,5143.0,1567.59,52.75,32.78,39.038333333333334,-103.1405,5395.0,1644.4,39.236,-103.697,1.30,96468.0,29403.45,542,Rocketman,12.0,3.66,0.77,1.7,52.75,32.78,"[{""altitude_ft"":51661.0,""altitude_m"":15746.27,""transition"":""high_to_low""}]",1.5,3.31,2.51,5.53,1.47,3.24,6.25,13.78,6.62,14.6,4.75,10.47,0.77,1.7
1500gm,"[""KC0D-1"",""AE0SS-3""]",2025-10-18,96576.0,29436.36,true,EOSS-383,2hrs 26mins 30secs,8790.0,219,4276.0,1303.32,121.7,75.62,38.92016666666667,-102.34566666666667,5420.0,1652.02,39.236,-103.69666666666669,1.30,96350.0,29367.48,449,Rocketman,12.0,3.66,0.77,1.7,121.7,75.62,"[{""altitude_ft"":40983.0,""altitude_m"":12491.62,""transition"":""high_to_low""}]",1.5,3.31,1.61,3.54,1.77,3.9,5.64,12.44,5.84,12.87,4.15,9.14,0.77,1.7
