flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-299,KC0D-12,2020-05-30 06:33:31.883,2020-05-30 06:33:30,5316.0,1620.32,98.0,0.0,ascending,/123330h3936.50N/10402.51WO088/006!W31!/A=005316 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator,"KC0D-12>APZEOS,EOSS,qAO,W0ARP-1:/123330h3936.50N/10402.51WO088/006!W31!/A=005316 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator",88.0,7.0,11.3,39.6083833333,-104.04185,0.0,0.0,,,,,,,,2.78e-06,1.67e-06,1.63333333,0.498,high Re,,1.633333,,,,,,11.902385,,0.498,,,,,,2.75212,
EOSS-299,AE0SS-12,2020-05-30 06:33:58.636,2020-05-30 06:33:57,5880.0,1792.22,1274.0,27.0,ascending,/123357h3936.48N/10402.39WO128/013In Memory N0KKZ(sk) EOSS Ultimate Prognosticator/A=005880!W61!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-1:/123357h3936.48N/10402.39WO128/013In Memory N0KKZ(sk) EOSS Ultimate Prognosticator/A=005880!W61!",128.0,15.0,24.1,39.6081,-104.03985,0.11,0.17,,,,,,,,6.889e-05,-8.33e-06,21.23333333,6.47166667,high Re,0.653333,11.433333,0.653333,13.859293,,0.707107,,15.774276,0.199122,3.484833,0.199122,4.22402,,0.707107,,4.816144,
EOSS-299,KC0D-12,2020-05-30 06:34:01.845,2020-05-30 06:34:00,6000.0,1828.8,1368.0,30.0,ascending,/123400h3936.48N/10402.38WO154/011!W04!/A=006000 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator,"KC0D-12>APZEOS,EOSS,qAO,W0ARP-1:/123400h3936.48N/10402.38WO154/011!W04!/A=006000 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator",154.0,13.0,20.9,39.608,-104.0397333333,0.12,0.19,,,,,,,,7.056e-05,-1.278e-05,22.8,6.94933333,high Re,0.052222,15.222222,0.352778,11.794365,0.42505,0.642491,-0.707107,16.467703,0.015922,4.639667,0.107522,3.594731,0.129542,0.642514,-0.707107,5.147081,
EOSS-299,KC0D-12,2020-05-30 06:34:31.907,2020-05-30 06:34:30,6671.0,2033.32,1342.0,60.0,ascending,/123430h3936.45N/10402.32WO187/003!W78!/A=006671 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator,"KC0D-12>APZEOS,EOSS,qAO,W0ARP-1:/123430h3936.45N/10402.32WO187/003!W78!/A=006671 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator",187.0,3.0,4.8,39.6076166667,-104.0388,0.17,0.27,,,,,,,,3.111e-05,-1.278e-05,22.36666667,6.81733333,high Re,-0.014444,17.008333,0.23037,10.271261,0.36781,0.521682,-0.665599,19.628203,-0.0044,5.184083,0.070215,3.130541,0.112098,0.521715,-0.665623,6.464684,
EOSS-299,AE0SS-12,2020-05-30 06:34:58.767,2020-05-30 06:34:57,7235.0,2205.23,1355.0,87.0,ascending,/123457h3936.43N/10402.38WO234/014In Memory N0KKZ(sk) EOSS Ultimate Prognosticator/A=007235!W19!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/123457h3936.43N/10402.38WO234/014In Memory N0KKZ(sk) EOSS Ultimate Prognosticator/A=007235!W19!",234.0,16.0,25.7,39.6071833333,-104.0398166667,0.14,0.22,,,,,,,,5.6e-07,-1.528e-05,22.58333333,6.8835,high Re,0.003611,18.123333,0.173681,9.237977,0.321005,0.48279,-0.529805,21.489575,0.001103,5.523967,0.052937,2.815638,0.097834,0.482851,-0.529816,7.048515,
EOSS-299,KC0D-12,2020-05-30 06:35:01.898,2020-05-30 06:35:00,7360.0,2243.33,1378.0,90.0,ascending,/123500h3936.42N/10402.40WO228/009!W70!/A=007360 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator,"KC0D-12>APZEOS,EOSS,qAO,W0ARP-1:/123500h3936.42N/10402.40WO228/009!W70!/A=007360 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator",228.0,10.0,16.1,39.6071166667,-104.04,0.13,0.21,,,,,,,,-4e-05,-1.667e-05,22.96666667,7.00033333,high Re,0.012778,18.930556,0.1415,8.495989,0.287161,0.475061,-0.448257,21.820124,0.003894,5.770028,0.043128,2.589504,0.087519,0.475112,-0.448291,7.131276,
EOSS-299,AE0SS-12,2020-05-30 06:35:28.475,2020-05-30 06:35:27,7928.0,2416.45,1386.0,117.0,ascending,/123527h3936.34N/10402.45WO173/010In Memory N0KKZ(sk) EOSS Ultimate Prognosticator/A=007928!W71!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-1:/123527h3936.34N/10402.45WO173/010In Memory N0KKZ(sk) EOSS Ultimate Prognosticator/A=007928!W71!",173.0,12.0,19.3,39.6057833333,-104.04085,0.19,0.3,,,,,,,,-3.444e-05,-4.667e-05,23.1,7.04066667,high Re,0.004444,19.52619,0.118657,7.914227,0.262868,0.451568,-0.434488,23.007531,0.001344,5.951548,0.036164,2.412175,0.080117,0.451509,-0.434614,7.353635,
EOSS-299,KC0D-12,2020-05-30 06:35:31.909,2020-05-30 06:35:30,8049.0,2453.34,1378.0,120.0,ascending,/123530h3936.33N/10402.45WO173/014!W70!/A=008049 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator,"KC0D-12>APZEOS,EOSS,qAO,W0ARP-1:/123530h3936.33N/10402.45WO173/014!W70!/A=008049 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator",173.0,16.0,25.7,39.6056166667,-104.0408333333,0.2,0.32,,,,,,,,-2.778e-05,-5e-05,22.96666667,7.00033333,high Re,-0.004444,19.95625,0.101071,7.427432,0.244434,0.405311,-0.431671,23.201297,-0.001344,6.082646,0.030806,2.263814,0.074498,0.405372,-0.431555,7.375183,
EOSS-299,AE0SS-12,2020-05-30 06:35:58.762,2020-05-30 06:35:57,8617.0,2626.46,1378.0,147.0,ascending,/123557h3936.22N/10402.44WO174/019In Memory N0KKZ(sk) EOSS Ultimate Prognosticator/A=008617!W22!,"AE0SS-12>APTT4,EOSS,qAO,AE0SS-9:/123557h3936.22N/10402.44WO174/019In Memory N0KKZ(sk) EOSS Ultimate Prognosticator/A=008617!W22!",174.0,22.0,35.4,39.6037,-104.0407,0.33,0.53,,,,,,,,5e-06,-6.944e-05,22.96666667,7.00033333,high Re,0.0,20.290741,0.088438,7.019819,0.229106,0.381196,-0.386013,23.881721,0.0,6.184611,0.026955,2.139584,0.069826,0.381253,-0.386031,7.395046,
EOSS-299,KC0D-12,2020-05-30 06:36:02.130,2020-05-30 06:36:00,8728.0,2660.29,1358.0,150.0,ascending,/123600h3936.20N/10402.44WO187/016!W64!/A=008728 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator,"KC0D-12>APZEOS,EOSS,qAO,W0ARP-1:/123600h3936.20N/10402.44WO187/016!W64!/A=008728 In Memory N0KKZ(SK)EOSS Ultimate Prognosticator",187.0,18.0,29.0,39.6034333333,-104.0407333333,0.35,0.56,,,,,,,,3.33e-06,-7.278e-05,22.63333333,6.89833333,high Re,-0.011111,20.525,0.077377,6.659678,0.216863,0.316582,-0.408036,23.97592,-0.0034,6.255983,0.023582,2.029806,0.066095,0.316459,-0.408231,7.387241,
