flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-360,AE0SS-4,2024-05-18 07:07:53.623,2024-05-18 07:07:51.000,5222.0,1591.67,8.0,0.0,ascending,True,/130751h3936.48N/10402.53WO152/000/A=005222 136T8391P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:/130751h3936.48N/10402.53WO152/000/A=005222 136T8391P EOSS BALLOON",152.0,0.0,0.0,39.608,-104.0421666667,0.0,0.0,56.48,13.6,286.75,83910.0,0.83,0.001978,1.01941905,0.0,0.0,0.13333333,0.04066667,high Re,,0.133333,,,,,,13.724001,,0.040667,,,,,,1.260446,
EOSS-360,KC0D-1,2024-05-18 07:08:01.898,2024-05-18 07:08:00.000,5234.0,1595.32,16.0,9.0,ascending,True,/130800h3936.49N/10402.53WO210/000/A=005234 246T8415P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/130800h3936.49N/10402.53WO210/000/A=005234 246T8415P EOSS BALLOON",210.0,0.0,0.0,39.6081666667,-104.0421666667,0.01,0.02,76.28,24.6,297.75,84150.0,0.83,0.00191037,0.98456592,0.0,0.0,0.26666667,0.08133333,high Re,0.004444,0.2,0.004444,0.094281,,0.707106,,13.751389,0.001356,0.061,0.001356,0.028756,,0.707099,,1.333504,
EOSS-360,KC0D-1,2024-05-18 07:08:04.644,2024-05-18 07:08:04.644,0.0,0.0,,,,False,>130800 Lk=3Diff/12 Itemp=76F bAlt=5045Ft Rel:7.5V 7.6V,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:>130800 Lk=3Diff/12 Itemp=76F bAlt=5045Ft Rel:7.5V 7.6V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-360,KC0D-3,2024-05-18 07:08:14.975,2024-05-18 07:08:10.000,5394.0,1644.09,328.0,19.0,ascending,True,/130810h3936.46N/10402.55WO253/011/A=005394 T8326P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/130810h3936.46N/10402.55WO253/011/A=005394 T8326P EOSS BALLOON",253.0,13.0,20.9,39.6076666667,-104.0425,0.03,0.05,,,,,,,,-1.111e-05,-1.111e-05,5.46666667,1.66633333,high Re,0.173333,1.955556,0.088888,3.041442,0.119423,1.154423,0.707108,14.112704,0.052833,0.596111,0.027094,0.927063,0.0364,1.154422,0.707115,2.250538,
EOSS-360,KC0D-3,2024-05-18 07:08:12.403,2024-05-18 07:08:12.403,0.0,0.0,,,,False,>130810 Lk=3Diff/15 Itemp=89F bAlt=5331Ft Rel:9.1V 3.6V,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:>130810 Lk=3Diff/15 Itemp=89F bAlt=5331Ft Rel:9.1V 3.6V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-360,AE0SS-4,2024-05-18 07:08:26.114,2024-05-18 07:08:21.000,5552.0,1692.25,660.0,30.0,ascending,True,/130821h3936.42N/10402.59WO236/014/A=005552 132T8291P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/130821h3936.42N/10402.59WO236/014/A=005552 132T8291P EOSS BALLOON",236.0,16.0,25.7,39.607,-104.0431666667,0.09,0.14,55.76,13.2,286.35,82910.0,0.82,0.00195716,1.00867714,-3.333e-05,-3.333e-05,11.0,3.35266667,high Re,0.184444,4.216667,0.12074,5.159206,0.100869,1.314802,0.631552,14.462503,0.056211,1.28525,0.0368,1.572454,0.030742,1.314771,0.631416,3.054141,
EOSS-360,AE0SS-4,2024-05-18 07:08:23.516,2024-05-18 07:08:23.516,0.0,0.0,,,,False,>130821 Lk=3Diff/15 Itemp=65F Xtemp=56F bAlt=5427Ft 3.7V,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:>130821 Lk=3Diff/15 Itemp=65F Xtemp=56F bAlt=5427Ft 3.7V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-360,KC0D-1,2024-05-18 07:08:31.710,2024-05-18 07:08:30.000,5796.0,1766.62,1124.0,39.0,ascending,True,/130830h3936.39N/10402.63WO216/016/A=005796 248T8240P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/130830h3936.39N/10402.63WO216/016/A=005796 248T8240P EOSS BALLOON",216.0,18.0,29.0,39.6065,-104.0438333333,0.14,0.22,76.64,24.8,297.95,82400.0,0.81,0.00186939,0.96344354,-5.556e-05,-5.556e-05,18.73333333,5.71,high Re,0.257778,7.12,0.155,7.880976,0.107135,1.473591,0.959332,14.989191,0.078578,2.1702,0.047244,2.402112,0.032656,1.47362,0.959517,4.115029,
EOSS-360,KC0D-3,2024-05-18 07:08:42.310,2024-05-18 07:08:40.000,6058.0,1846.48,1328.0,49.0,ascending,True,/130840h3936.35N/10402.68WO226/016/A=006058 T8125P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/130840h3936.35N/10402.68WO226/016/A=006058 T8125P EOSS BALLOON",226.0,18.0,29.0,39.6058333333,-104.0446666667,0.2,0.32,,,,,,,,-7.222e-05,-6.111e-05,22.13333333,6.74633333,high Re,0.113333,9.622222,0.146666,9.341013,0.094634,1.339374,-0.352231,15.536728,0.034544,2.932889,0.044704,2.847153,0.028845,1.339389,-0.352227,5.038755,
EOSS-360,AE0SS-4,2024-05-18 07:08:53.412,2024-05-18 07:08:51.000,6228.0,1898.29,1352.0,60.0,ascending,True,/130851h3936.31N/10402.71WO211/016/A=006228 134T8090P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/130851h3936.31N/10402.71WO211/016/A=006228 134T8090P EOSS BALLOON",211.0,18.0,29.0,39.6051666667,-104.0451666667,0.25,0.41,56.12,13.4,286.55,80900.0,0.8,0.00190838,0.98353667,-6.667e-05,-6.111e-05,22.53333333,6.868,high Re,0.013333,11.466667,0.124444,9.824761,0.100635,1.126406,-1.104099,15.88217,0.004056,3.495048,0.03793,2.99456,0.030676,1.12636,-1.104251,5.533128,
