flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-302,AE0SS-12,2020-10-03 08:21:28.772,2020-10-03 08:21:27,5211.0,1588.31,8.0,0.0,ascending,True,/142127h3936.49N/10402.52WO000/000EOSS Balloon  www.eoss.org/A=005211!W97!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/142127h3936.49N/10402.52WO000/000EOSS Balloon  www.eoss.org/A=005211!W97!",0.0,0.0,0.0,39.6083166667,-104.0421166667,0.0,0.0,,,,,,,,-1.67e-06,0.0,0.13333333,0.04066667,high Re,,0.133333,,,,,,4.890945,,0.040667,,,,,,1.490799,
EOSS-302,KC0D-14,2020-10-03 08:21:46.956,2020-10-03 08:21:45,5243.0,1598.07,34.0,18.0,ascending,True,/142145h3936.50N/10402.52WO168/008/A=005243 281T8472P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/142145h3936.50N/10402.52WO168/008/A=005243 281T8472P EOSS BALLOON",168.0,9.0,14.5,39.6083333333,-104.042,0.01,0.01,82.58,28.1,301.25,84720.0,0.84,0.00190097,0.97971857,0.0,0.0,0.56666667,0.173,high Re,0.014444,0.35,0.014444,0.306413,,0.707107,,5.355164,0.004411,0.106833,0.004411,0.093574,,0.707109,,1.632384,
EOSS-302,AE0SS-12,2020-10-03 08:21:58.930,2020-10-03 08:21:57,5398.0,1645.31,374.0,30.0,ascending,True,/142157h3936.49N/10402.50WO103/017EOSS Balloon  www.eoss.org/A=005398!W21!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/142157h3936.49N/10402.50WO103/017EOSS Balloon  www.eoss.org/A=005398!W21!",103.0,20.0,32.2,39.6082,-104.0416833333,0.02,0.04,,,,,,,,1.444e-05,-3.89e-06,6.23333333,1.9,high Re,0.188889,2.311111,0.101666,3.403647,0.123351,1.152359,0.707112,7.477832,0.057567,0.704556,0.030989,1.037398,0.037587,1.152348,0.707106,2.279307,
EOSS-302,KC0D-14,2020-10-03 08:22:16.775,2020-10-03 08:22:15,5838.0,1779.42,1190.0,48.0,ascending,True,/142215h3936.43N/10402.44WO162/017/A=005838 282T8285P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,W0ARP-2:/142215h3936.43N/10402.44WO162/017/A=005838 282T8285P EOSS BALLOON",162.0,20.0,32.2,39.6071666667,-104.0406666667,0.11,0.18,82.76,28.2,301.35,82850.0,0.82,0.00185839,0.95777559,4.444e-05,-3.889e-05,19.83333333,6.045,high Re,0.453333,6.691667,0.218889,9.191315,0.220977,1.429792,1.060943,12.471894,0.138167,2.039667,0.066715,2.801348,0.067346,1.429788,1.060969,3.801457,
EOSS-302,AE0SS-12,2020-10-03 08:22:28.696,2020-10-03 08:22:27,5988.0,1825.14,1180.0,60.0,ascending,True,/142227h3936.36N/10402.42WO157/023EOSS Balloon  www.eoss.org/A=005988!W41!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/142227h3936.36N/10402.42WO157/023EOSS Balloon  www.eoss.org/A=005988!W41!",157.0,26.0,41.8,39.6060666667,-104.04035,0.18,0.29,,,,,,,,4.444e-05,-7.111e-05,19.66666667,5.99433333,high Re,-0.005556,9.286667,0.162778,9.850398,0.21248,1.053764,-0.792235,13.865178,-0.001689,2.8306,0.049614,3.002256,0.064756,1.053785,-0.792251,4.226126,
EOSS-302,KC0D-14,2020-10-03 08:22:46.835,2020-10-03 08:22:45,6423.0,1957.73,1170.0,78.0,ascending,True,/142245h3936.27N/10402.39WO145/017/A=006423 283T8109P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,W0ARP-2:/142245h3936.27N/10402.39WO145/017/A=006423 283T8109P EOSS BALLOON",145.0,20.0,32.2,39.6045,-104.0398333333,0.29,0.47,82.94,28.3,301.45,81090.0,0.8,0.00181831,0.93711839,2.778e-05,-8.889e-05,19.5,5.94366667,high Re,-0.005556,10.988889,0.129111,9.747288,0.198817,0.873177,-0.677341,17.156436,-0.001689,3.349444,0.039353,2.970863,0.060592,0.873222,-0.67735,5.229306,
EOSS-302,AE0SS-12,2020-10-03 08:22:58.670,2020-10-03 08:22:57,6569.0,2002.23,1162.0,90.0,ascending,True,/142257h3936.21N/10402.34WO152/027EOSS Balloon  www.eoss.org/A=006569!W45!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/142257h3936.21N/10402.34WO152/027EOSS Balloon  www.eoss.org/A=006569!W45!",152.0,31.0,49.9,39.6035666667,-104.0390833333,0.37,0.59,,,,,,,,4.222e-05,-8.333e-05,19.36666667,5.903,high Re,-0.004444,12.185714,0.106852,9.444651,0.185998,0.76032,-0.598372,18.041042,-0.001356,3.714238,0.032569,2.878636,0.056687,0.760347,-0.598462,5.498925,
EOSS-302,KC0D-14,2020-10-03 08:23:16.788,2020-10-03 08:23:15,7054.0,2150.06,1262.0,108.0,ascending,True,/142315h3936.12N/10402.29WO165/018/A=007054 283T7925P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,W0ARP-2:/142315h3936.12N/10402.29WO165/018/A=007054 283T7925P EOSS BALLOON",165.0,21.0,33.8,39.602,-104.0381666667,0.48,0.78,82.94,28.3,301.45,79250.0,0.78,0.00177705,0.91585439,5.556e-05,-8.333e-05,21.03333333,6.411,high Re,0.055556,13.291667,0.099524,9.286733,0.170896,0.833626,-0.257279,20.324524,0.016933,4.051333,0.030335,2.830516,0.052084,0.833653,-0.257315,6.19493,
EOSS-302,AE0SS-12,2020-10-03 08:23:28.835,2020-10-03 08:23:27,7219.0,2200.35,1300.0,120.0,ascending,True,/142327h3936.07N/10402.26WO147/027EOSS Balloon  www.eoss.org/A=007219!W66!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/142327h3936.07N/10402.26WO147/027EOSS Balloon  www.eoss.org/A=007219!W66!",147.0,31.0,49.9,39.6012666667,-104.0377666667,0.54,0.87,,,,,,,,4.389e-05,-7.667e-05,21.66666667,6.604,high Re,0.021111,14.222222,0.089722,9.124494,0.160629,0.815875,-0.42714,20.903842,0.006433,4.334963,0.027347,2.78107,0.048955,0.815886,-0.427209,6.371496,
EOSS-302,KC0D-14,2020-10-03 08:23:46.712,2020-10-03 08:23:45,7681.0,2341.17,1254.0,138.0,ascending,True,/142345h3935.98N/10402.24WO177/019/A=007681 282T7741P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,W0ARP-2:/142345h3935.98N/10402.24WO177/019/A=007681 282T7741P EOSS BALLOON",177.0,22.0,35.4,39.5996666667,-104.0373333333,0.65,1.04,82.76,28.2,301.35,77410.0,0.76,0.00173637,0.89488725,2.778e-05,-7.778e-05,20.9,6.37033333,high Re,-0.025556,14.89,0.076913,8.858044,0.15509,0.678479,-0.660707,22.098503,-0.007789,4.5385,0.023443,2.699862,0.047267,0.678491,-0.660757,6.73563,
