flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-350,AE0SS-12,2023-11-11 06:56:58.564,2023-11-11 06:56:57.000,5237.0,1596.24,46.0,0.0,ascending,True,/135657h3936.49N/10402.53WO000/000EOSS Balloon  www.eoss.org/A=005237!W19!,"AE0SS-12>APTT4,EOSS,qAO,AE0SS-9:/135657h3936.49N/10402.53WO000/000EOSS Balloon  www.eoss.org/A=005237!W19!",0.0,0.0,0.0,39.6081833333,-104.0423166667,0.0,0.0,,,,,,,,-5.6e-07,1.11e-06,0.76666667,0.23366667,low Re,,0.766667,,,,,,3.775832,,0.233667,,,,,,1.150907,
EOSS-350,KC0D-2,2023-11-11 06:57:16.910,2023-11-11 06:57:15.000,5214.0,1589.23,10.0,18.0,ascending,True,/135715h3936.48N/10402.53WO282/000/A=005214 170T8451P EOSS Balloon,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:/135715h3936.48N/10402.53WO282/000/A=005214 170T8451P EOSS Balloon",282.0,0.0,0.0,39.608,-104.0421666667,0.01,0.02,62.6,17.0,290.15,84510.0,0.83,0.0019688,1.01467737,0.0,0.0,0.16666667,0.051,low Re,-0.02,0.466667,-0.02,0.424264,,-0.707108,,3.355475,-0.006089,0.142333,-0.006089,0.129165,,-0.707103,,1.02279,
EOSS-350,AE0SS-12,2023-11-11 06:57:28.513,2023-11-11 06:57:27.000,5434.0,1656.28,394.0,30.0,ascending,True,/135727h3936.51N/10402.53WO036/008EOSS Balloon  www.eoss.org/A=005434!W13!,"AE0SS-12>APTT4,EOSS,qAO,AE0SS-9:/135727h3936.51N/10402.53WO036/008EOSS Balloon  www.eoss.org/A=005434!W13!",36.0,9.0,14.5,39.6085166667,-104.0422166667,0.02,0.04,,,,,,,,3.33e-06,1.111e-05,6.56666667,2.00133333,low Re,0.213333,2.5,0.096666,3.534591,0.164991,1.150534,0.707111,7.05228,0.065011,0.762,0.029461,1.077173,0.050275,1.150543,0.707111,2.149481,
EOSS-350,KC0D-2,2023-11-11 06:57:46.617,2023-11-11 06:57:45.000,5751.0,1752.9,1074.0,48.0,ascending,True,/135745h3936.52N/10402.45WO085/012/A=005751 170T8282P EOSS Balloon,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/135745h3936.52N/10402.45WO085/012/A=005751 170T8282P EOSS Balloon",85.0,14.0,22.5,39.6086666667,-104.0408333333,0.09,0.14,62.6,17.0,290.15,82820.0,0.82,0.00192943,0.99438623,4.444e-05,2.222e-05,17.9,5.45566667,low Re,0.377778,6.35,0.19037,8.223071,0.199881,1.404585,0.937598,11.239833,0.115144,1.935417,0.058022,2.506225,0.060918,1.404602,0.937687,3.425847,
EOSS-350,KC0D-2,2023-11-11 06:57:49.177,2023-11-11 06:57:49.177,0.0,0.0,,,,False,>135745 Lk=3Diff/8 Itemp=63F bAlt=5471Ft Rel:7.5V 7.8V,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:>135745 Lk=3Diff/8 Itemp=63F bAlt=5471Ft Rel:7.5V 7.8V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-350,AE0SS-12,2023-11-11 06:57:53.909,2023-11-11 06:57:53.909,0.0,0.0,,,,False,EOSS Balloon Vbat=8.1V  T=47F,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:EOSS Balloon Vbat=8.1V  T=47F",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-350,AE0SS-12,2023-11-11 06:57:58.334,2023-11-11 06:57:57.000,5896.0,1797.1,924.0,60.0,ascending,True,/135757h3936.52N/10402.39WO072/009EOSS Balloon  www.eoss.org/A=005896!W09!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/135757h3936.52N/10402.39WO072/009EOSS Balloon  www.eoss.org/A=005896!W09!",72.0,10.0,16.1,39.6086666667,-104.0399833333,0.13,0.21,,,,,,,,7.444e-05,5e-06,15.4,4.694,low Re,-0.083333,8.16,0.121944,8.191133,0.212986,0.883883,-0.963805,12.771053,-0.025389,2.487133,0.037169,2.496563,0.06491,0.883962,-0.963765,3.892612,
EOSS-350,KC0D-2,2023-11-11 06:58:16.656,2023-11-11 06:58:15.000,6328.0,1928.77,1154.0,78.0,ascending,True,/135815h3936.51N/10402.33WO120/010/A=006328 171T8108P EOSS Balloon,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/135815h3936.51N/10402.33WO120/010/A=006328 171T8108P EOSS Balloon",120.0,12.0,19.3,39.6085,-104.0388333333,0.19,0.3,62.78,17.1,290.25,81080.0,0.8,0.00188824,0.97315935,6.667e-05,-5.56e-06,19.23333333,5.86233333,low Re,0.127778,10.005556,0.123111,8.608843,0.18447,1.071895,0.0253,16.174019,0.038944,3.049667,0.037524,2.623914,0.05622,1.071935,0.025258,4.929821,
EOSS-350,AE0SS-12,2023-11-11 06:58:28.249,2023-11-11 06:58:27.000,6448.0,1965.35,1104.0,90.0,ascending,True,/135827h3936.49N/10402.30WO098/012EOSS Balloon  www.eoss.org/A=006448!W81!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/135827h3936.49N/10402.30WO098/012EOSS Balloon  www.eoss.org/A=006448!W81!",98.0,14.0,22.5,39.6083,-104.03835,0.21,0.34,,,,,,,,5.444e-05,-1.222e-05,18.4,5.60833333,low Re,-0.027778,11.204762,0.097963,8.475071,0.176119,0.848989,-0.713955,16.860213,-0.008467,3.41519,0.029859,2.583155,0.053675,0.849017,-0.714038,5.138998,
EOSS-350,KC0D-2,2023-11-11 06:58:46.621,2023-11-11 06:58:45.000,6861.0,2091.23,1066.0,108.0,ascending,True,/135845h3936.47N/10402.24WO110/011/A=006861 171T7949P EOSS Balloon,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/135845h3936.47N/10402.24WO110/011/A=006861 171T7949P EOSS Balloon",110.0,13.0,20.9,39.6078333333,-104.0373333333,0.27,0.43,62.78,17.1,290.25,79490.0,0.78,0.00185121,0.95407544,5e-05,-2.222e-05,17.76666667,5.41533333,low Re,-0.021111,12.025,0.080952,8.182186,0.166955,0.701728,-0.61132,18.554086,-0.006433,3.665208,0.024674,2.493897,0.050882,0.701763,-0.611356,5.655286,
