flightid,callsign,receivetime,packettime,altitude,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,latitude,longitude,distance_from_launch,temperature_k,pressure_pa,airdensity_slugs,airdensity_kgm3,velocity_x,velocity_y,velocity_z,airflow,acceleration,velocity_mean,acceleration_mean,velocity_std,acceleration_std,velocity_norm,acceleration_norm,velocity_curvefit,reynolds_transition
EOSS-305,K0SCC-14,2020-11-07 06:48:30.305,2020-11-07 06:48:10,5115.0,1104.8,0.0,ascending,/134810h4013.58N/10404.54WO041/015eEOSS.org Balloon/A=005115!W72!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,N2XGL-12:/134810h4013.58N/10404.54WO041/015eEOSS.org Balloon/A=005115!W72!",41.0,17.0,40.22645,-104.0757,0.0,,,,,4.195e-05,2.586e-05,18.4137931,high Re,,18.413793,,,,,,15.485041,
EOSS-305,KC0D-1,2020-11-07 06:48:16.796,2020-11-07 06:48:15,5329.0,772.0,5.0,ascending,/134815h4013.61N/10404.51WO043/022!W45!/A=005329 239T8306P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/134815h4013.61N/10404.51WO043/022!W45!/A=005329 239T8306P EOSS BALLOON",43.0,25.0,40.2269,-104.07525,0.04,297.05,83060.0,0.00189007,0.97410286,2.833e-05,1.917e-05,12.86666667,high Re,-0.092452,15.64023,-0.092452,3.922411,,-0.707107,,17.313109,
EOSS-305,KC0D-1,2020-11-07 06:48:46.745,2020-11-07 06:48:45,6020.0,1382.0,35.0,ascending,/134845h4013.76N/10404.35WO042/024!W84!/A=006020 242T8101P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/134845h4013.76N/10404.35WO042/024!W84!/A=006020 242T8101P EOSS BALLOON",42.0,28.0,40.2294666667,-104.0725666667,0.27,297.35,81010.0,0.00184156,0.94910255,8.944e-05,8.556e-05,23.03333333,high Re,0.338889,18.104598,0.123218,5.090381,0.305004,0.968245,0.707109,21.266183,
EOSS-305,K0SCC-14,2020-11-07 06:49:12.742,2020-11-07 06:49:08,6503.0,1435.9,58.0,ascending,/134908h4013.93N/10404.21WO016/029eEOSS.org Balloon/A=006503!W38!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,N6BA-10:/134908h4013.93N/10404.21WO016/029eEOSS.org Balloon/A=006503!W38!",16.0,33.0,40.2322166667,-104.0703,0.49,,,,,9.31e-05,9.943e-05,23.93103448,high Re,0.015478,19.561207,0.087305,5.075578,0.224462,0.860952,-0.319996,22.744834,
EOSS-305,KC0D-1,2020-11-07 06:49:16.800,2020-11-07 06:49:15,6713.0,1386.0,65.0,ascending,/134915h4013.99N/10404.16WO030/032!W13!/A=006713 242T7902P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-9:/134915h4013.99N/10404.16WO030/032!W13!/A=006713 242T7902P EOSS BALLOON",30.0,37.0,40.2331833333,-104.0693833333,0.57,297.35,79020.0,0.00179633,0.92578797,0.00010611,0.00012389,23.1,high Re,-0.027701,20.268966,0.058553,4.671802,0.192082,0.605983,-0.449048,23.157637,
EOSS-305,K0SCC-14,2020-11-07 06:49:47.506,2020-11-07 06:49:37,7150.0,1338.6,87.0,ascending,/134937h4014.17N/10404.01WO029/044eEOSS.org Balloon/A=007150!W34!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,N6BA-9:/134937h4014.17N/10404.01WO029/044eEOSS.org Balloon/A=007150!W34!",29.0,51.0,40.2362166667,-104.0669,0.82,,,,,0.00011724,0.00013793,22.31034483,high Re,-0.027229,20.609195,0.041397,4.260883,0.170714,0.399248,-0.401994,23.690816,
EOSS-305,KC0D-1,2020-11-07 06:49:46.699,2020-11-07 06:49:45,7401.0,1376.0,95.0,ascending,/134945h4014.23N/10403.96WO026/033!W83!/A=007401 239T7710P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-9:/134945h4014.23N/10403.96WO026/033!W83!/A=007401 239T7710P EOSS BALLOON",26.0,38.0,40.2373,-104.06605,0.91,297.05,77100.0,0.00175445,0.90420576,0.00011111,0.00013722,22.93333333,high Re,0.020766,20.941215,0.037958,3.987597,0.152923,0.499579,-0.112423,23.845594,
EOSS-305,K0SCC-14,2020-11-07 06:50:23.553,2020-11-07 06:50:06,7865.0,1479.3,116.0,ascending,/135006h4014.39N/10403.83WO029/021eEOSS.org Balloon/A=007865!W66!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,KB0TVJ-1:/135006h4014.39N/10403.83WO029/021eEOSS.org Balloon/A=007865!W66!",29.0,24.0,40.2399333333,-104.0639333333,1.12,,,,,0.0001023,0.00012816,24.65517241,high Re,0.059374,21.40546,0.041018,3.918361,0.139834,0.829355,0.13127,23.934787,
EOSS-305,KC0D-1,2020-11-07 06:50:16.769,2020-11-07 06:50:15,8160.0,1518.0,125.0,ascending,/135015h4014.45N/10403.79WO042/027!W42!/A=008160 240T7501P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135015h4014.45N/10403.79WO042/027!W42!/A=008160 240T7501P EOSS BALLOON",42.0,31.0,40.2409,-104.0632,1.2,297.15,75010.0,0.00170632,0.87939882,9.5e-05,0.00012,25.3,high Re,0.021494,21.838186,0.038577,3.888397,0.129645,0.890293,-0.131768,23.901815,
EOSS-305,K0SCC-14,2020-11-07 06:50:59.943,2020-11-07 06:50:35,8551.0,1419.3,145.0,ascending,/135035h4014.55N/10403.67WO046/029eEOSS.org Balloon/A=008551!W94!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,KB0TVJ-1:/135035h4014.55N/10403.67WO046/029eEOSS.org Balloon/A=008551!W94!",46.0,33.0,40.24265,-104.0612333333,1.35,,,,,9.31e-05,9.368e-05,23.65517241,high Re,-0.056718,22.019885,0.027989,3.71077,0.125363,0.440687,-0.675694,23.795996,
EOSS-305,KC0D-1,2020-11-07 06:50:46.747,2020-11-07 06:50:45,8834.0,1348.0,155.0,ascending,/135045h4014.60N/10403.61WO039/023!W15!/A=008834 239T7318P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-9:/135045h4014.60N/10403.61WO039/023!W15!/A=008834 239T7318P EOSS BALLOON",39.0,26.0,40.24335,-104.06025,1.42,297.05,73180.0,0.00166525,0.85823317,9.833e-05,8.167e-05,22.46666667,high Re,-0.039617,22.060502,0.021228,3.522922,0.120111,0.115292,-0.506573,23.69537,
EOSS-305,K0SCC-14,2020-11-07 06:51:06.510,2020-11-07 06:51:04,9197.0,1336.6,174.0,ascending,/135104h4014.69N/10403.50WO043/025eEOSS.org Balloon/A=009197!W16!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,N6BA-9:/135104h4014.69N/10403.50WO043/025eEOSS.org Balloon/A=009197!W16!",43.0,29.0,40.24485,-104.0584333333,1.56,,,,,9.655e-05,7.586e-05,22.27586207,high Re,-0.006579,22.078448,0.0187,3.35955,0.114255,0.058762,-0.221251,23.55621,
EOSS-305,KC0D-1,2020-11-07 06:51:16.803,2020-11-07 06:51:15,9515.0,1362.0,185.0,ascending,/135115h4014.74N/10403.45WO035/019!W45!/A=009515 240T7138P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135115h4014.74N/10403.45WO035/019!W45!/A=009515 240T7138P EOSS BALLOON",35.0,22.0,40.2457333333,-104.0575833333,1.64,297.15,71380.0,0.00162374,0.83684159,8.889e-05,7.944e-05,22.7,high Re,0.014138,22.12626,0.01832,3.22114,0.108946,0.178117,-0.038386,23.436642,
EOSS-305,KC0D-1,2020-11-07 06:51:46.749,2020-11-07 06:51:45,10223.0,1416.0,215.0,ascending,/135145h4014.87N/10403.31WO046/018!W18!/A=010223 239T6954P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135145h4014.87N/10403.31WO046/018!W18!/A=010223 239T6954P EOSS BALLOON",46.0,21.0,40.24785,-104.0553,1.83,297.05,69540.0,0.00158242,0.81554434,7.611e-05,7.056e-05,23.6,high Re,0.03,22.231527,0.019219,3.119735,0.104358,0.43865,0.103308,23.211322,
EOSS-305,K0SCC-14,2020-11-07 06:52:18.469,2020-11-07 06:52:02,10559.0,1409.0,232.0,ascending,/135202h4014.96N/10403.24WO024/029eEOSS.org Balloon/A=010559!W06!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,KB0TVJ-1:/135202h4014.96N/10403.24WO024/029eEOSS.org Balloon/A=010559!W06!",24.0,33.0,40.2493333333,-104.0541,1.95,,,,,7.471e-05,7.73e-05,23.48275862,high Re,-0.002021,22.314943,0.017702,3.023561,0.100425,0.386238,-0.196395,23.131155,
EOSS-305,KC0D-1,2020-11-07 06:52:16.797,2020-11-07 06:52:15,10943.0,1440.0,245.0,ascending,/135215h4015.03N/10403.19WO026/018!W14!/A=010943 241T6771P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135215h4015.03N/10403.19WO026/018!W14!/A=010943 241T6771P EOSS BALLOON",26.0,21.0,40.2505166667,-104.0532333333,2.04,297.25,67710.0,0.00153974,0.79354836,6.889e-05,8.889e-05,24.0,high Re,0.017241,22.420259,0.017671,2.951258,0.096772,0.535277,-0.004443,23.061231,
EOSS-305,K0SCC-14,2020-11-07 06:52:54.582,2020-11-07 06:52:31,11265.0,1460.7,261.0,ascending,/135231h4015.12N/10403.14WO012/013eEOSS.org Balloon/A=011265!W01!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,KB0TVJ-1:/135231h4015.12N/10403.14WO012/013eEOSS.org Balloon/A=011265!W01!",12.0,15.0,40.252,-104.05235,2.15,,,,,6.034e-05,9.195e-05,24.34482759,high Re,0.011891,22.533469,0.01731,2.895416,0.093502,0.625595,-0.057956,23.018645,
EOSS-305,KC0D-1,2020-11-07 06:52:46.783,2020-11-07 06:52:45,11641.0,1396.0,275.0,ascending,/135245h4015.20N/10403.08WO025/022!W33!/A=011641 240T6598P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135245h4015.20N/10403.08WO025/022!W33!/A=011641 240T6598P EOSS BALLOON",25.0,25.0,40.2533833333,-104.0513833333,2.26,297.15,65980.0,0.0015009,0.77353332,6.167e-05,9.556e-05,23.26666667,high Re,-0.035939,22.574202,0.014177,2.814277,0.091449,0.246054,-0.548021,22.984002,
EOSS-305,KC0D-1,2020-11-07 06:53:16.758,2020-11-07 06:53:15,12321.0,1360.0,305.0,ascending,/135315h4015.39N/10402.92WO028/031!W20!/A=012321 241T6434P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-9:/135315h4015.39N/10402.92WO028/031!W20!/A=012321 241T6434P EOSS BALLOON",28.0,36.0,40.2565333333,-104.0486666667,2.52,297.25,64340.0,0.0014631,0.7540526,9.056e-05,0.000105,22.66666667,high Re,-0.02,22.579068,0.012279,2.735068,0.089084,0.032028,-0.362343,22.947602,
EOSS-305,K0SCC-14,2020-11-07 06:53:38.076,2020-11-07 06:53:29,12626.0,1407.9,319.0,ascending,/135329h4015.48N/10402.84WO030/026eEOSS.org Balloon/A=012626!W13!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,N6BA-10:/135329h4015.48N/10402.84WO030/026eEOSS.org Balloon/A=012626!W13!",30.0,30.0,40.2580166667,-104.0473833333,2.64,,,,,8.563e-05,0.00010374,23.46551724,high Re,0.013773,22.623391,0.012357,2.669489,0.086574,0.315463,0.016356,22.935652,
EOSS-305,KC0D-1,2020-11-07 06:53:46.767,2020-11-07 06:53:45,13025.0,1408.0,335.0,ascending,/135345h4015.60N/10402.75WO032/032!W35!/A=013025 240T6267P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N6BA-9:/135345h4015.60N/10402.75WO032/032!W35!/A=013025 240T6267P EOSS BALLOON",32.0,37.0,40.26005,-104.0459166667,2.8,297.15,62670.0,0.00142561,0.73472769,9.167e-05,0.00011722,23.46666667,high Re,3.8e-05,22.663547,0.011741,2.608395,0.08431,0.307898,-0.138809,22.918032,
EOSS-305,KC0D-1,2020-11-07 06:54:16.754,2020-11-07 06:54:15,13706.0,1362.0,365.0,ascending,/135415h4015.84N/10402.59WO039/028!W08!/A=013706 241T6108P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135415h4015.84N/10402.59WO039/028!W08!/A=013706 241T6108P EOSS BALLOON",39.0,32.0,40.264,-104.0433,3.1,297.25,61080.0,0.00138897,0.71584602,8.722e-05,0.00013167,22.7,high Re,-0.025556,22.665204,0.009965,2.545545,0.082578,0.013669,-0.430151,22.868951,
EOSS-305,K0SCC-14,2020-11-07 06:54:48.546,2020-11-07 06:54:27,13903.0,1321.0,377.0,ascending,/135427h4015.92N/10402.52WO033/022eEOSS.org Balloon/A=013903!W27!,"K0SCC-14>APTT4,EOSSD,EOSSD,qAO,N6BA-9:/135427h4015.92N/10402.52WO033/022eEOSS.org Balloon/A=013903!W27!",33.0,25.0,40.2653666667,-104.0421166667,3.22,,,,,9.08e-05,0.00012672,22.01724138,high Re,-0.011772,22.637031,0.008977,2.490686,0.080721,-0.248843,-0.257046,22.847794,
EOSS-305,KC0D-1,2020-11-07 06:54:46.822,2020-11-07 06:54:45,14369.0,1326.0,395.0,ascending,/135445h4016.03N/10402.42WO044/028!W22!/A=014369 239T5956P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-2:/135445h4016.03N/10402.42WO044/028!W22!/A=014369 239T5956P EOSS BALLOON",44.0,32.0,40.2672,-104.0403666667,3.37,297.05,59560.0,0.00135532,0.69850188,9.778e-05,0.00010667,22.1,high Re,0.002759,22.614655,0.008707,2.438404,0.078875,-0.211062,-0.07541,22.781846,
