flightid,callsign,receivetime,packettime,altitude,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,latitude,longitude,distance_from_launch,temperature_k,pressure_pa,airdensity_slugs,airdensity_kgm3,velocity_x,velocity_y,velocity_z,airflow,acceleration,velocity_mean,acceleration_mean,velocity_std,acceleration_std,velocity_norm,acceleration_norm,velocity_curvefit,reynolds_transition
EOSS-367,KC0L-11,2025-02-01 07:03:12.736,2025-02-01 07:03:10,5664.0,854.0,0.0,ascending,"/140310h3936.48N/10402.52WO168/006/A=005664 87T8208P In Memory John,KCOL(sk)","KC0L-11>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/140310h3936.48N/10402.52WO168/006/A=005664 87T8208P In Memory John,KCOL(sk)",168.0,7.0,39.608,-104.042,0.0,281.85,82080.0,0.0019685,1.01452267,5.56e-06,0.0,14.23333333,high Re,,14.233333,,,,,,15.970738,
EOSS-367,AE0SS-4,2025-02-01 07:03:18.997,2025-02-01 07:03:14,5693.0,970.0,4.0,ascending,/140314h3936.47N/10402.53WO227/007/A=005693 90T8212P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/140314h3936.47N/10402.53WO227/007/A=005693 90T8212P EOSS BALLOON",227.0,8.0,39.6078333333,-104.0421666667,0.01,282.15,82120.0,0.00196736,1.01393785,0.0,-5.56e-06,16.16666667,high Re,0.064444,15.2,0.064444,1.367073,,0.707107,,16.127133,
EOSS-367,KC0L-11,2025-02-01 07:03:44.939,2025-02-01 07:03:40,6244.0,1160.0,30.0,ascending,"/140340h3936.43N/10402.57WO179/011/A=006244 99T8034P In Memory John,KCOL(sk)","KC0L-11>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/140340h3936.43N/10402.57WO179/011/A=006244 99T8034P In Memory John,KCOL(sk)",179.0,13.0,39.6071666667,-104.0428333333,0.07,283.05,80340.0,0.0019186,0.98880605,-2.778e-05,-2.778e-05,19.33333333,high Re,0.105556,16.577778,0.085,2.574735,0.029071,1.070229,0.707096,18.368301,
EOSS-367,AE0SS-4,2025-02-01 07:03:46.576,2025-02-01 07:03:44,6265.0,1144.0,34.0,ascending,/140344h3936.42N/10402.56WO135/008/A=006265 95T8039P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/140344h3936.42N/10402.56WO135/008/A=006265 95T8039P EOSS BALLOON",135.0,9.0,39.607,-104.0426666667,0.08,282.65,80390.0,0.00192251,0.99082165,-1.667e-05,-2.778e-05,19.06666667,high Re,-0.008889,17.2,0.053704,2.442979,0.057974,0.764094,-1.079674,18.430117,
EOSS-367,KC0L-11,2025-02-01 07:04:12.460,2025-02-01 07:04:10,6847.0,1206.0,60.0,ascending,"/140410h3936.37N/10402.52WO113/007/A=006847 94T7854P In Memory John,KCOL(sk)","KC0L-11>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/140410h3936.37N/10402.52WO113/007/A=006847 94T7854P In Memory John,KCOL(sk)",113.0,8.0,39.6061666667,-104.042,0.13,282.55,78540.0,0.00187893,0.96836266,2.778e-05,-3.333e-05,20.1,high Re,0.034444,17.78,0.048889,2.481554,0.048305,0.934898,-0.299037,19.638114,
EOSS-367,AE0SS-4,2025-02-01 07:04:18.749,2025-02-01 07:04:14,6876.0,1222.0,64.0,ascending,/140414h3936.37N/10402.50WO106/014/A=006876 88T7864P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/140414h3936.37N/10402.50WO106/014/A=006876 88T7864P EOSS BALLOON",106.0,16.0,39.6061666667,-104.0416666667,0.13,281.95,78640.0,0.00188533,0.97165895,3.333e-05,-2.778e-05,20.36666667,high Re,0.008889,18.211111,0.040889,2.457973,0.045497,0.876965,-0.703343,19.677103,
EOSS-367,KC0L-11,2025-02-01 07:04:44.968,2025-02-01 07:04:40,7482.0,1270.0,90.0,ascending,"/140440h3936.33N/10402.44WO129/004/A=007482 88T7671P In Memory John,KCOL(sk)","KC0L-11>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/140440h3936.33N/10402.44WO129/004/A=007482 88T7671P In Memory John,KCOL(sk)",129.0,5.0,39.6055,-104.0406666667,0.19,281.95,76710.0,0.00183906,0.94781228,4.444e-05,-2.222e-05,21.16666667,high Re,0.026667,18.633333,0.038519,2.50651,0.041106,1.010702,-0.288328,20.181446,
EOSS-367,AE0SS-4,2025-02-01 07:04:46.221,2025-02-01 07:04:44,7511.0,1270.0,94.0,ascending,/140444h3936.33N/10402.43WO104/015/A=007511 75T7676P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/140444h3936.33N/10402.43WO104/015/A=007511 75T7676P EOSS BALLOON",104.0,17.0,39.6055,-104.0405,0.19,280.65,76760.0,0.00184878,0.9528233,3.889e-05,-2.222e-05,21.16666667,high Re,0.0,18.95,0.033016,2.487429,0.04025,0.891148,-0.820273,20.193939,
EOSS-367,KC0L-11,2025-02-01 07:05:12.440,2025-02-01 07:05:10,8091.0,1218.0,120.0,ascending,"/140510h3936.28N/10402.36WO110/012/A=008091 68T7499P In Memory John,KCOL(sk)","KC0L-11>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/140510h3936.28N/10402.36WO110/012/A=008091 68T7499P In Memory John,KCOL(sk)",110.0,14.0,39.6046666667,-104.0393333333,0.27,279.95,74990.0,0.00181067,0.9331798,4.444e-05,-2.778e-05,20.3,high Re,-0.028889,19.1,0.025278,2.369892,0.043216,0.506352,-1.253402,20.312204,
EOSS-367,AE0SS-4,2025-02-01 07:05:18.757,2025-02-01 07:05:14,8120.0,1218.0,124.0,ascending,/140514h3936.27N/10402.34WO154/016/A=008120 67T7502P EOSS BALLOON,"AE0SS-4>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/140514h3936.27N/10402.34WO154/016/A=008120 67T7502P EOSS BALLOON",154.0,18.0,39.6045,-104.039,0.29,279.85,75020.0,0.00181204,0.93388671,5e-05,-3.333e-05,20.3,high Re,0.0,19.22,0.022469,2.266351,0.041294,0.476537,-0.544123,20.313455,
