flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-316,KC0D-14,2021-10-10 07:40:31.870,2021-10-10 07:40:30,5213.0,1588.92,-22.0,0.0,ascending,/134030h3936.50N/10402.53WO172/000/A=005213 157T8400P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/134030h3936.50N/10402.53WO172/000/A=005213 157T8400P EOSS BALLOON",172.0,0.0,0.0,39.6083333333,-104.0421666667,0.0,0.0,60.26,15.7,288.85,84000.0,0.83,0.00196573,1.01309311,0.0,0.0,-0.36666667,-0.112,high Re,,-0.366667,,,,,,6.384213,,-0.112,,,,,,1.945831,
EOSS-316,AE0SS-13,2021-10-10 07:40:42.561,2021-10-10 07:40:41,5312.0,1619.1,190.0,11.0,ascending,/134041h3936.49N/10402.52WO003/013EOSS Baloon/A=005312!W46!,"AE0SS-13>APTT4,EOSS,qAO,N2XGL-12:/134041h3936.49N/10402.52WO003/013EOSS Baloon/A=005312!W46!",3.0,15.0,24.1,39.6082333333,-104.0421,0.01,0.01,,,,,,,,0.0,-2.78e-06,3.16666667,0.96533333,high Re,0.117778,1.4,0.117778,2.498444,,0.707107,,7.516411,0.035911,0.426667,0.035911,0.76179,,0.707106,,2.290984,
EOSS-316,KC0D-14,2021-10-10 07:41:01.839,2021-10-10 07:41:00,5744.0,1750.77,1062.0,30.0,ascending,/134100h3936.46N/10402.48WO149/008/A=005744 158T8233P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/134100h3936.46N/10402.48WO149/008/A=005744 158T8233P EOSS BALLOON",149.0,9.0,14.5,39.6076666667,-104.0413333333,0.06,0.1,60.44,15.8,288.95,82330.0,0.81,0.00192598,0.99260822,2.778e-05,-2.222e-05,17.7,5.395,high Re,0.484444,6.833333,0.301111,9.575199,0.259272,1.134876,0.707107,11.74074,0.147656,2.082778,0.091784,2.918608,0.079016,1.134864,0.707097,3.578537,
EOSS-316,AE0SS-13,2021-10-10 07:41:12.131,2021-10-10 07:41:11,5906.0,1800.15,1188.0,41.0,ascending,/134111h3936.41N/10402.46WO165/010EOSS Baloon/A=005906!W96!,"AE0SS-13>APTT4,EOSS,qAO,W0ARP-1:/134111h3936.41N/10402.46WO165/010EOSS Baloon/A=005906!W96!",165.0,12.0,19.3,39.6069833333,-104.0411,0.11,0.18,,,,,,,,3.333e-05,-4.167e-05,19.8,6.035,high Re,0.07,10.075,0.224074,10.156602,0.226749,0.957505,-0.679491,13.053474,0.021333,3.070833,0.0683,3.095782,0.06911,0.957486,-0.679598,3.978683,
EOSS-316,KC0D-14,2021-10-10 07:41:31.684,2021-10-10 07:41:30,6334.0,1930.6,1180.0,60.0,ascending,/134130h3936.32N/10402.48WO187/021/A=006334 158T8061P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/134130h3936.32N/10402.48WO187/021/A=006334 158T8061P EOSS BALLOON",187.0,24.0,38.6,39.6053333333,-104.0413333333,0.21,0.34,60.44,15.8,288.95,80610.0,0.8,0.00188574,0.97187111,0.0,-7.778e-05,19.66666667,5.99433333,high Re,-0.004444,11.993333,0.166944,9.786084,0.217559,0.784107,-0.787777,15.911846,-0.001356,3.655533,0.050886,2.982829,0.066311,0.784088,-0.787833,4.849897,
EOSS-316,AE0SS-13,2021-10-10 07:41:42.318,2021-10-10 07:41:41,6500.0,1981.2,1188.0,71.0,ascending,/134141h3936.24N/10402.48WO186/027EOSS Baloon/A=006500!W61!,"AE0SS-13>APTT4,EOSS,qAO,N6BA-10:/134141h3936.24N/10402.48WO186/027EOSS Baloon/A=006500!W61!",186.0,31.0,49.9,39.6041,-104.04135,0.3,0.48,,,,,,,,-8.33e-06,-9.611e-05,19.8,6.035,high Re,0.004444,13.294444,0.134444,9.315111,0.201941,0.698387,-0.643752,16.809027,0.001356,4.052111,0.04098,2.839271,0.061551,0.69838,-0.643759,5.12338,
EOSS-316,KC0D-14,2021-10-10 07:42:01.722,2021-10-10 07:42:00,6891.0,2100.38,1114.0,90.0,ascending,/134200h3936.12N/10402.50WO179/023/A=006891 158T7894P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/134200h3936.12N/10402.50WO179/023/A=006891 158T7894P EOSS BALLOON",179.0,26.0,41.8,39.602,-104.0416666667,0.44,0.71,60.44,15.8,288.95,78940.0,0.78,0.00184667,0.95173682,-1.111e-05,-0.00011111,18.56666667,5.65933333,high Re,-0.041111,14.047619,0.105185,8.73386,0.194321,0.517417,-0.752857,18.524725,-0.012522,4.281714,0.032063,2.662124,0.059227,0.517489,-0.752782,5.646343,
EOSS-316,AE0SS-13,2021-10-10 07:42:12.271,2021-10-10 07:42:11,7042.0,2146.4,1084.0,101.0,ascending,/134211h3936.04N/10402.50WO179/020EOSS Baloon/A=007042!W61!,"AE0SS-13>APTT4,EOSS,qAO,N6BA-10:/134211h3936.04N/10402.50WO179/020EOSS Baloon/A=007042!W61!",179.0,23.0,37.0,39.6007666667,-104.0416833333,0.52,0.84,,,,,,,,-1.111e-05,-0.00011111,18.06666667,5.50666667,high Re,-0.016667,14.55,0.087778,8.209886,0.183271,0.428345,-0.569894,19.054854,-0.005089,4.434833,0.026756,2.50241,0.05586,0.428321,-0.570086,5.807911,
EOSS-316,KC0D-14,2021-10-10 07:42:31.745,2021-10-10 07:42:30,7486.0,2281.73,1190.0,120.0,ascending,/134230h3935.92N/10402.51WO176/021/A=007486 159T7721P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/134230h3935.92N/10402.51WO176/021/A=007486 159T7721P EOSS BALLOON",176.0,24.0,38.6,39.5986666667,-104.0418333333,0.67,1.07,60.62,15.9,289.05,77210.0,0.76,0.00180558,0.9305571,-5.56e-06,-0.00011111,19.83333333,6.045,high Re,0.058889,15.137037,0.084167,7.878988,0.169984,0.596053,-0.148708,20.254585,0.017944,4.613741,0.025654,2.401534,0.05181,0.595977,-0.148813,6.173593,
EOSS-316,AE0SS-13,2021-10-10 07:42:42.380,2021-10-10 07:42:41,7626.0,2324.4,1168.0,131.0,ascending,/134241h3935.85N/10402.52WO187/022EOSS Baloon/A=007626!W12!,"AE0SS-13>APTT4,EOSS,qAO,N6BA-10:/134241h3935.85N/10402.52WO187/022EOSS Baloon/A=007626!W12!",187.0,25.0,40.2,39.5975166667,-104.0420333333,0.75,1.2,,,,,,,,-1.167e-05,-0.00010833,19.46666667,5.93333333,high Re,-0.012222,15.57,0.073457,7.553504,0.162219,0.515875,-0.528169,20.535956,-0.003722,4.7457,0.02239,2.302321,0.049444,0.515842,-0.528113,6.259353,
