flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-307,AE0SS-12,2021-03-20 07:37:58.691,2021-03-20 07:37:57,5257.0,1602.33,126.0,0.0,ascending,True,/133757h3936.50N/10402.42WO000/000EOSS Balloon  www.eoss.org/A=005257!W96!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/133757h3936.50N/10402.42WO000/000EOSS Balloon  www.eoss.org/A=005257!W96!",0.0,0.0,0.0,39.6084833333,-104.0404333333,0.0,0.0,,,,,,,,1.11e-06,0.0,2.1,0.64,low Re,,2.1,,,,,,5.193554,,0.64,,,,,,1.582921,
EOSS-307,AE0SS-13,2021-03-20 07:38:12.594,2021-03-20 07:38:11,5332.0,1625.19,184.0,14.0,ascending,True,/133811h3936.54N/10402.44WO342/023EOSS Baloon/A=005332!W17!,"AE0SS-13>APTT4,EOSS,qAO,N2XGL-12:/133811h3936.54N/10402.44WO342/023EOSS Baloon/A=005332!W17!",342.0,26.0,41.8,39.6090166667,-104.0407833333,0.04,0.07,,,,,,,,-1.167e-05,1.333e-05,3.06666667,0.93466667,low Re,0.032222,2.583333,0.032222,0.683537,,0.707107,,6.683105,0.009822,0.787333,0.009822,0.208361,,0.707108,,2.03694,
EOSS-307,KC0D-2,2021-03-20 07:38:17.088,2021-03-20 07:38:15,5499.0,1676.1,528.0,18.0,ascending,True,/133815h3936.56N/10402.44WO027/016/A=005499 140T8326P EOSS Balloon,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/133815h3936.56N/10402.44WO027/016/A=005499 140T8326P EOSS Balloon",27.0,18.0,29.0,39.6093333333,-104.0406666667,0.06,0.1,57.2,14.0,287.15,83260.0,0.82,0.00195994,1.01011317,-5.56e-06,2.778e-05,8.8,2.68233333,low Re,0.191111,4.655556,0.111666,3.621592,0.112351,1.144371,0.707114,9.737261,0.058256,1.419,0.034039,1.103954,0.034248,1.144371,0.707107,2.968001,
EOSS-307,KC0D-14,2021-03-20 07:38:17.498,2021-03-20 07:38:15,5536.0,1687.37,606.0,18.0,ascending,True,/133815h3936.56N/10402.43WO004/013/A=005536 208T8303P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/133815h3936.56N/10402.43WO004/013/A=005536 208T8303P EOSS BALLOON",4.0,15.0,24.1,39.6093333333,-104.0405,0.06,0.09,69.44,20.8,293.95,83030.0,0.82,0.00190931,0.98402022,0.0,3.333e-05,10.1,3.07833333,low Re,0.043333,6.016667,0.088889,4.019259,0.088701,1.015942,-0.513591,10.367055,0.0132,1.833833,0.027093,1.225081,0.027041,1.015851,-0.513775,3.159833,
EOSS-307,AE0SS-12,2021-03-20 07:38:28.790,2021-03-20 07:38:27,5798.0,1767.23,1082.0,30.0,ascending,True,/133827h3936.62N/10402.36WO028/030EOSS Balloon  www.eoss.org/A=005798!W25!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/133827h3936.62N/10402.36WO028/030EOSS Balloon  www.eoss.org/A=005798!W25!",28.0,35.0,56.3,39.6103666667,-104.0394166667,0.14,0.23,,,,,,,,3.389e-05,6.278e-05,18.03333333,5.49666667,low Re,0.264444,8.42,0.132778,6.402803,0.113799,1.501426,1.157005,14.375895,0.080611,2.5664,0.040472,1.951637,0.034692,1.50144,1.15701,4.38177,
EOSS-307,AE0SS-13,2021-03-20 07:38:42.754,2021-03-20 07:38:41,6060.0,1847.09,1456.0,44.0,ascending,True,/133841h3936.69N/10402.28WO047/040EOSS Baloon/A=006060!W97!,"AE0SS-13>APTT4,EOSS,qAO,N6BA-10:/133841h3936.69N/10402.28WO047/040EOSS Baloon/A=006060!W97!",47.0,46.0,74.0,39.61165,-104.0381166667,0.25,0.4,,,,,,,,8.889e-05,8.778e-05,24.26666667,7.39666667,low Re,0.207778,11.061111,0.147778,8.639995,0.104104,1.528422,0.576347,17.665215,0.063333,3.371444,0.045044,2.63357,0.031736,1.528428,0.576286,5.384384,
EOSS-307,KC0D-2,2021-03-20 07:38:47.074,2021-03-20 07:38:45,6172.0,1881.23,1346.0,48.0,ascending,True,/133845h3936.72N/10402.27WO029/020/A=006172 140T8117P EOSS Balloon,"KC0D-2>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/133845h3936.72N/10402.27WO029/020/A=006172 140T8117P EOSS Balloon",29.0,23.0,37.0,39.612,-104.0378333333,0.28,0.45,57.2,14.0,287.15,81170.0,0.8,0.00191074,0.98475722,9.444e-05,8.889e-05,22.43333333,6.83766667,low Re,-0.061111,12.685714,0.112963,8.982387,0.126264,1.085193,-1.378651,18.874691,-0.018633,3.866619,0.034432,2.737905,0.038491,1.085154,-1.378634,5.753055,
EOSS-307,KC0D-14,2021-03-20 07:38:47.031,2021-03-20 07:38:45,6228.0,1898.29,1384.0,48.0,ascending,True,/133845h3936.72N/10402.27WO043/023/A=006228 211T8093P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/133845h3936.72N/10402.27WO043/023/A=006228 211T8093P EOSS BALLOON",43.0,26.0,41.8,39.612,-104.0378333333,0.28,0.45,69.98,21.1,294.25,80930.0,0.8,0.00185913,0.95815444,8.889e-05,8.889e-05,23.06666667,7.03066667,low Re,0.021111,13.983333,0.099841,9.089974,0.120377,0.999269,-0.654029,19.438515,0.006433,4.262125,0.030432,2.770677,0.036696,0.999229,-0.653995,5.92482,
EOSS-307,AE0SS-12,2021-03-20 07:38:59.105,2021-03-20 07:38:57,6494.0,1979.37,1392.0,60.0,ascending,True,/133857h3936.78N/10402.19WO054/024EOSS Balloon  www.eoss.org/A=006494!W52!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/133857h3936.78N/10402.19WO054/024EOSS Balloon  www.eoss.org/A=006494!W52!",54.0,28.0,45.1,39.6130833333,-104.0365333333,0.38,0.61,,,,,,,,9.611e-05,9.056e-05,23.2,7.07133333,low Re,0.004444,15.007407,0.087917,9.040891,0.11644,0.906171,-0.716876,21.772122,0.001356,4.574259,0.026797,2.755707,0.035495,0.906147,-0.716749,6.636138,
EOSS-307,AE0SS-13,2021-03-20 07:39:12.650,2021-03-20 07:39:11,6786.0,2068.37,1452.0,74.0,ascending,True,/133911h3936.85N/10402.08WO073/028EOSS Baloon/A=006786!W85!,"AE0SS-13>APTT4,EOSS,qAO,N6BA-10:/133911h3936.85N/10402.08WO073/028EOSS Baloon/A=006786!W85!",73.0,32.0,51.5,39.6143,-104.03475,0.5,0.81,,,,,,,,0.00011222,8.833e-05,24.2,7.376,low Re,0.033333,15.926667,0.081852,9.005894,0.110428,0.918658,-0.439372,23.748403,0.010156,4.854433,0.024948,2.745018,0.033663,0.918598,-0.439414,7.238502,
