flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-389,AE0SS-3,2025-12-06 07:24:22.502,2025-12-06 07:24:20,5215.0,1589.53,-8.0,0.0,ascending,True,/142420h3936.49N/10402.53WO282/000/A=005215 44T8278P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS*,WIDE2-1,qAO,AE0SS-10:/142420h3936.49N/10402.53WO282/000/A=005215 44T8278P EOSS BALLOON",282.0,0.0,0.0,39.6081666667,-104.0421666667,0.0,0.0,39.92,4.4,277.55,82780.0,0.82,0.00201604,1.03902654,0.0,0.0,-0.13333333,-0.04066667,high Re,,-0.133333,,,,,,3.356356,,-0.040667,,,,,,1.02301,
EOSS-389,KC0D-14,2025-12-06 07:24:32.080,2025-12-06 07:24:30,5227.0,1593.19,16.0,10.0,ascending,True,/142430h3936.49N/10402.53WO235/000/A=005227 155T8302P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/142430h3936.49N/10402.53WO235/000/A=005227 155T8302P EOSS BALLOON",235.0,0.0,0.0,39.6081666667,-104.0421666667,0.0,0.0,59.9,15.5,288.65,83020.0,0.82,0.00194414,1.00196746,5.56e-06,0.0,0.26666667,0.08133333,high Re,0.013333,0.066667,0.013333,0.282843,,0.707105,,3.615497,0.004067,0.020333,0.004067,0.086267,,0.707111,,1.102048,
EOSS-389,AE0SS-3,2025-12-06 07:24:55.177,2025-12-06 07:24:50,5473.0,1668.17,516.0,30.0,ascending,True,/142450h3936.49N/10402.45WO089/016/A=005473 68T8197P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/142450h3936.49N/10402.45WO089/016/A=005473 68T8197P EOSS BALLOON",89.0,18.0,29.0,39.6081666667,-104.0408333333,0.07,0.11,44.24,6.8,279.95,81970.0,0.81,0.0019792,1.02003932,4.444e-05,0.0,8.6,2.62133333,high Re,0.277778,2.911111,0.145556,4.93078,0.186991,1.15375,0.707104,8.448597,0.084667,0.887333,0.044367,1.502926,0.056993,1.15375,0.707104,2.575158,
EOSS-389,KC0D-14,2025-12-06 07:25:01.898,2025-12-06 07:25:00,5788.0,1764.18,1122.0,40.0,ascending,True,/142500h3936.49N/10402.41WO104/013/A=005788 157T8131P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N0JD-10:/142500h3936.49N/10402.41WO104/013/A=005788 157T8131P EOSS BALLOON",104.0,15.0,24.1,39.6081666667,-104.0401666667,0.11,0.17,60.26,15.7,288.85,81310.0,0.8,0.00190278,0.98065001,6.667e-05,0.0,18.7,5.69966667,high Re,0.336667,6.858333,0.209259,8.861752,0.172213,1.336267,0.739828,13.4352,0.102611,2.090417,0.063782,2.701018,0.052487,1.336255,0.739783,4.095044,
EOSS-389,AE0SS-3,2025-12-06 07:25:22.548,2025-12-06 07:25:20,6196.0,1888.54,1446.0,60.0,ascending,True,/142520h3936.46N/10402.31WO117/018/A=006196 76T7981P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS*,WIDE2-1,qAO,AE0SS-10:/142520h3936.46N/10402.31WO117/018/A=006196 76T7981P EOSS BALLOON",117.0,21.0,33.8,39.6076666667,-104.0385,0.2,0.32,45.68,7.6,280.75,79810.0,0.79,0.00192156,0.99033014,7.778e-05,-1.667e-05,24.1,7.34566667,high Re,0.18,10.306667,0.201944,10.879016,0.14137,1.267884,-0.155224,18.22366,0.054867,3.141467,0.061553,3.315894,0.043087,1.267893,-0.155174,5.554586,
EOSS-389,KC0D-14,2025-12-06 07:25:31.914,2025-12-06 07:25:30,6512.0,1984.86,1448.0,70.0,ascending,True,/142530h3936.44N/10402.26WO117/018/A=006512 158T7914P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N0JD-10:/142530h3936.44N/10402.26WO117/018/A=006512 158T7914P EOSS BALLOON",117.0,21.0,33.8,39.6073333333,-104.0376666667,0.25,0.4,60.44,15.8,288.95,79140.0,0.78,0.00185135,0.95414811,8.333e-05,-2.778e-05,24.13333333,7.356,high Re,0.001111,12.611111,0.161778,11.24923,0.151842,1.024268,-1.05812,20.879212,0.000344,3.843889,0.049311,3.428776,0.046278,1.024305,-1.058105,6.364018,
EOSS-389,AE0SS-3,2025-12-06 07:25:54.966,2025-12-06 07:25:50,6912.0,2106.78,1432.0,90.0,ascending,True,/142550h3936.38N/10402.13WO121/021/A=006912 56T7773P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N0JD-10:/142550h3936.38N/10402.13WO121/021/A=006912 56T7773P EOSS BALLOON",121.0,24.0,38.6,39.6063333333,-104.0355,0.38,0.61,42.08,5.6,278.75,77730.0,0.77,0.00188491,0.97144058,0.0001,-4.444e-05,23.86666667,7.27466667,high Re,-0.008889,14.219048,0.133333,11.115419,0.152641,0.867949,-0.931742,23.200324,-0.002711,4.334,0.040641,3.388001,0.046523,0.867965,-0.93184,7.071481,
EOSS-389,KC0D-14,2025-12-06 07:26:01.815,2025-12-06 07:26:00,7220.0,2200.66,1416.0,100.0,ascending,True,/142600h3936.35N/10402.08WO130/018/A=007220 160T7706P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N0JD-10:/142600h3936.35N/10402.08WO130/018/A=007220 160T7706P EOSS BALLOON",130.0,21.0,33.8,39.6058333333,-104.0346666667,0.43,0.69,60.8,16.0,289.15,77060.0,0.76,0.00180145,0.92842806,0.0001,-5e-05,23.6,7.19333333,high Re,-0.008889,15.391667,0.113016,10.812144,0.149351,0.759177,-0.816232,24.357843,-0.002711,4.691417,0.034448,3.295562,0.045521,0.759177,-0.816305,7.424289,
EOSS-389,AE0SS-3,2025-12-06 07:26:22.402,2025-12-06 07:26:20,7605.0,2318.0,1386.0,120.0,ascending,True,/142620h3936.29N/10401.96WO131/019/A=007605 46T7574P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N0JD-10:/142620h3936.29N/10401.96WO131/019/A=007605 46T7574P EOSS BALLOON",131.0,22.0,35.4,39.6048333333,-104.0326666667,0.56,0.89,40.28,4.6,277.75,75740.0,0.75,0.00184326,0.94997829,9.444e-05,-5e-05,23.1,7.04066667,high Re,-0.016667,16.248148,0.096806,10.435118,0.145676,0.656615,-0.778941,25.212147,-0.005089,4.952444,0.029506,3.180622,0.044402,0.656545,-0.779132,7.684658,
EOSS-389,KC0D-14,2025-12-06 07:26:31.940,2025-12-06 07:26:30,7891.0,2405.18,1342.0,130.0,ascending,True,/142630h3936.26N/10401.89WO121/025/A=007891 159T7515P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N0JD-10:/142630h3936.26N/10401.89WO121/025/A=007891 159T7515P EOSS BALLOON",121.0,29.0,46.7,39.6043333333,-104.0315,0.63,1.01,60.62,15.9,289.05,75150.0,0.74,0.00175741,0.90572939,0.00010556,-5e-05,22.36666667,6.81733333,high Re,-0.024444,16.86,0.083333,10.026776,0.142134,0.549196,-0.758277,25.516257,-0.007444,5.138933,0.0254,3.056158,0.043322,0.549186,-0.758137,7.777356,
