flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-364,KC0D-1,2024-11-16 07:38:01.961,2024-11-16 07:38:00,5322.0,1622.15,78.0,0.0,ascending,/143800h3936.51N/10402.52WO003/016/A=005322 148T8286P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/143800h3936.51N/10402.52WO003/016/A=005322 148T8286P EOSS BALLOON",3.0,18.0,29.0,39.6085,-104.042,0.0,0.0,58.64,14.8,287.95,82860.0,0.82,0.00194511,1.00246748,0.0,2.78e-06,1.3,0.39633333,high Re,,1.3,,,,,,7.161963,,0.396333,,,,,,2.183043,
EOSS-364,AE0SS-3,2024-11-16 07:38:22.396,2024-11-16 07:38:20,5723.0,1744.37,972.0,20.0,ascending,/143820h3936.57N/10402.40WO072/030/A=005723 79T8133P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/143820h3936.57N/10402.40WO072/030/A=005723 79T8133P EOSS BALLOON",72.0,35.0,56.3,39.6095,-104.04,0.13,0.2,46.22,7.9,281.05,81330.0,0.8,0.00195606,1.00811397,6.667e-05,3.889e-05,16.2,4.93766667,high Re,0.496667,8.75,0.496667,10.535891,,0.707107,,14.22954,0.151378,2.667,0.151378,3.211208,,0.707107,,4.337135,
EOSS-364,KC0D-1,2024-11-16 07:38:31.672,2024-11-16 07:38:30,6054.0,1845.26,1464.0,30.0,ascending,/143830h3936.59N/10402.30WO071/032/A=006054 150T8060P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143830h3936.59N/10402.30WO071/032/A=006054 150T8060P EOSS BALLOON",71.0,37.0,59.5,39.6098333333,-104.0383333333,0.22,0.35,59.0,15.0,288.15,80600.0,0.8,0.00189074,0.97444844,0.00012222,4.444e-05,24.4,7.437,high Re,0.273333,13.966667,0.385,11.710821,0.157921,0.890914,-0.707107,18.675854,0.083311,4.257,0.117344,3.569345,0.048131,0.89092,-0.707091,5.692381,
EOSS-364,AE0SS-3,2024-11-16 07:38:54.614,2024-11-16 07:38:50,6514.0,1985.47,1582.0,50.0,ascending,/143850h3936.63N/10402.10WO085/031/A=006514 93T7897P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143850h3936.63N/10402.10WO085/031/A=006514 93T7897P EOSS BALLOON",85.0,36.0,57.9,39.6105,-104.035,0.4,0.64,48.74,9.3,282.45,78970.0,0.78,0.00188989,0.97400908,0.00016667,3.333e-05,26.36666667,8.03666667,high Re,0.065556,17.066667,0.278519,11.396003,0.215602,0.816076,-0.98776,23.180473,0.019989,5.201917,0.084893,3.473464,0.065709,0.816116,-0.987749,7.065397,
EOSS-364,KC0D-1,2024-11-16 07:39:01.680,2024-11-16 07:39:00,6849.0,2087.58,1590.0,60.0,ascending,/143900h3936.65N/10402.00WO075/028/A=006849 154T7826P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143900h3936.65N/10402.00WO075/028/A=006849 154T7826P EOSS BALLOON",75.0,32.0,51.5,39.6108333333,-104.0333333333,0.49,0.79,59.72,15.4,288.55,78260.0,0.77,0.0018333,0.9448464,0.00016667,3.333e-05,26.5,8.07733333,high Re,0.004444,18.953333,0.21,10.73309,0.223089,0.703122,-0.921408,25.475657,0.001356,5.777,0.064008,3.27144,0.067993,0.703156,-0.921448,7.764972,
EOSS-364,AE0SS-3,2024-11-16 07:39:22.087,2024-11-16 07:39:20,7322.0,2231.75,1616.0,80.0,ascending,/143920h3936.67N/10401.81WO073/021/A=007322 74T7664P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143920h3936.67N/10401.81WO073/021/A=007322 74T7664P EOSS BALLOON",73.0,24.0,38.6,39.6111666667,-104.0301666667,0.66,1.06,45.32,7.4,280.55,76640.0,0.76,0.00184655,0.95167283,0.00016111,2.222e-05,26.93333333,8.20933333,high Re,0.014444,20.283333,0.170889,10.137691,0.212073,0.655968,-0.737694,27.627755,0.0044,6.182389,0.052087,3.089967,0.064637,0.655976,-0.737766,8.420919,
EOSS-364,KC0D-1,2024-11-16 07:39:31.661,2024-11-16 07:39:30,7661.0,2335.07,1624.0,90.0,ascending,/143930h3936.68N/10401.74WO081/021/A=007661 156T7595P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143930h3936.68N/10401.74WO081/021/A=007661 156T7595P EOSS BALLOON",81.0,24.0,38.6,39.6113333333,-104.029,0.72,1.16,60.08,15.6,288.75,75950.0,0.75,0.00177796,0.91632225,0.00014444,1.667e-05,27.06666667,8.24966667,high Re,0.004444,21.252381,0.143148,9.602987,0.201488,0.605466,-0.688398,28.562177,0.001344,6.477714,0.04363,2.926961,0.061412,0.60539,-0.688562,8.70571,
EOSS-364,AE0SS-3,2024-11-16 07:39:54.656,2024-11-16 07:39:50,8123.0,2475.89,1602.0,110.0,ascending,/143950h3936.68N/10401.61WO090/020/A=008123 54T7438P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143950h3936.68N/10401.61WO090/020/A=008123 54T7438P EOSS BALLOON",90.0,23.0,37.0,39.6113333333,-104.0268333333,0.83,1.34,41.72,5.4,278.55,74380.0,0.73,0.00180497,0.93024096,0.00011111,5.56e-06,26.7,8.138,high Re,-0.012222,21.933333,0.120952,9.096868,0.193079,0.52399,-0.689738,29.234779,-0.003722,6.68525,0.036865,2.772688,0.058849,0.52395,-0.68968,8.910728,
EOSS-364,KC0D-1,2024-11-16 07:40:01.651,2024-11-16 07:40:00,8470.0,2581.66,1618.0,120.0,ascending,/144000h3936.68N/10401.55WO111/014/A=008470 156T7368P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/144000h3936.68N/10401.55WO111/014/A=008470 156T7368P EOSS BALLOON",111.0,16.0,25.7,39.6113333333,-104.0258333333,0.88,1.42,60.08,15.6,288.75,73680.0,0.73,0.00172482,0.88893514,0.00010556,0.0,26.96666667,8.21966667,high Re,0.008889,22.492593,0.106944,8.673167,0.183095,0.515852,-0.535542,29.404534,0.002722,6.855741,0.032597,2.643563,0.055805,0.515942,-0.535346,8.962473,
EOSS-364,AE0SS-3,2024-11-16 07:40:22.132,2024-11-16 07:40:20,8957.0,2730.09,1668.0,140.0,ascending,/144020h3936.65N/10401.46WO106/018/A=008957 36T7206P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/144020h3936.65N/10401.46WO106/018/A=008957 36T7206P EOSS BALLOON",106.0,21.0,33.8,39.6108333333,-104.0243333333,0.95,1.53,38.48,3.6,276.75,72060.0,0.71,0.00176004,0.90708728,8.333e-05,-1.667e-05,27.8,8.47333333,high Re,0.027778,23.023333,0.098148,8.347603,0.173291,0.57222,-0.40608,29.315396,0.008456,7.0175,0.029915,2.544326,0.052817,0.572188,-0.40629,8.935309,
