flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-291,KC0D-1,2019-07-13 06:43:16.897,2019-07-13 06:43:15,5593.0,1704.75,-22.0,0.0,ascending,True,/124315h3916.69N/10329.71WO217/000!W15!/A=005593 EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/124315h3916.69N/10329.71WO217/000!W15!/A=005593 EOSS BALLOON",217.0,0.0,0.0,39.2781833333,-103.49525,0.0,0.0,,,,,,,,0.0,0.0,-0.36666667,-0.11166667,low Re,,-0.366667,,,,,,4.710477,,-0.111667,,,,,,1.435743,
EOSS-291,AE0SS-12,2019-07-13 06:43:31.441,2019-07-13 06:43:30,5644.0,1720.29,52.0,15.0,ascending,True,/124330h3916.70N/10329.70WO042/017EOSS Balloon www.eoss.org/A=005644!W15!,"AE0SS-12>APTT4,EOSS,qAO,KC0L-15:/124330h3916.70N/10329.70WO042/017EOSS Balloon www.eoss.org/A=005644!W15!",42.0,19.6,31.5,39.27835,-103.4950833333,0.01,0.02,,,,,,,,7.22e-06,4.44e-06,0.86666667,0.264,low Re,0.041111,0.25,0.041111,0.872098,,0.707107,,5.330628,0.012522,0.076167,0.012522,0.265636,,0.707107,,1.62471,
EOSS-291,KC0D-1,2019-07-13 06:43:46.815,2019-07-13 06:43:45,5905.0,1799.84,624.0,30.0,ascending,True,/124345h3916.76N/10329.67WO016/018!W67!/A=005905 EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,KC0L-15:/124345h3916.76N/10329.67WO016/018!W67!/A=005905 EOSS BALLOON",16.0,20.7,33.3,39.2794333333,-103.4946166667,0.09,0.15,,,,,,,,2.111e-05,4.167e-05,10.4,3.16966667,low Re,0.317778,3.633333,0.179444,5.892462,0.195633,1.14836,0.70711,8.198146,0.096856,1.107333,0.054689,1.795883,0.059633,1.148367,0.707108,2.498717,
EOSS-291,AE0SS-12,2019-07-13 06:44:01.453,2019-07-13 06:44:00,6038.0,1840.38,788.0,45.0,ascending,True,/124400h3916.83N/10329.66WO007/015EOSS Balloon www.eoss.org/A=006038!W95!,"AE0SS-12>APTT4,EOSS,qAO,KC0L-15:/124400h3916.83N/10329.66WO007/015EOSS Balloon www.eoss.org/A=006038!W95!",7.0,17.3,27.8,39.28065,-103.4944166667,0.18,0.28,,,,,,,,2.222e-05,7.667e-05,13.13333333,4.003,low Re,0.091111,6.008333,0.15,6.76091,0.147435,1.053852,-0.399423,9.476428,0.027778,1.83125,0.045719,2.060668,0.044938,1.053906,-0.399239,2.888361,
EOSS-291,KC0D-1,2019-07-13 06:44:16.746,2019-07-13 06:44:15,6417.0,1955.9,1024.0,60.0,ascending,True,/124415h3916.91N/10329.65WO011/016!W34!/A=006417 EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,KC0L-15:/124415h3916.91N/10329.65WO011/016!W34!/A=006417 EOSS BALLOON",11.0,18.4,29.6,39.2818833333,-103.4942333333,0.26,0.42,,,,,,,,1.278e-05,8.167e-05,17.06666667,5.202,low Re,0.131111,8.22,0.145278,7.664188,0.12075,1.154286,-0.117325,12.525287,0.039967,2.5054,0.044281,2.336055,0.036805,1.154339,-0.117212,3.817678,
EOSS-291,AE0SS-12,2019-07-13 06:44:31.436,2019-07-13 06:44:30,6546.0,1995.22,1016.0,75.0,ascending,True,/124430h3916.98N/10329.64WO015/016EOSS Balloon www.eoss.org/A=006546!W04!,"AE0SS-12>APTT4,EOSS,qAO,KC0L-15:/124430h3916.98N/10329.64WO015/016EOSS Balloon www.eoss.org/A=006546!W04!",15.0,18.4,29.6,39.283,-103.4940666667,0.34,0.54,,,,,,,,1.167e-05,7.833e-05,16.93333333,5.16133333,low Re,-0.004444,9.672222,0.115333,7.723051,0.124172,0.940187,-0.964606,13.383919,-0.001356,2.948056,0.035153,2.354015,0.037848,0.940214,-0.964622,4.0794,
EOSS-291,KC0D-1,2019-07-13 06:44:46.744,2019-07-13 06:44:45,6926.0,2111.04,1018.0,90.0,ascending,True,/124445h3917.04N/10329.61WO027/016!W64!/A=006926 EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,KC0L-15:/124445h3917.04N/10329.61WO027/016!W64!/A=006926 EOSS BALLOON",27.0,18.4,29.6,39.2841,-103.4935666667,0.42,0.67,,,,,,,,2.222e-05,7.389e-05,16.96666667,5.17133333,low Re,0.001111,10.714286,0.096296,7.570064,0.120455,0.825935,-0.790212,15.463533,0.000333,3.265667,0.02935,2.307371,0.036716,0.825904,-0.790309,4.713259,
EOSS-291,AE0SS-12,2019-07-13 06:45:01.478,2019-07-13 06:45:00,7065.0,2153.41,1038.0,105.0,ascending,True,/124500h3917.10N/10329.57WO026/012EOSS Balloon www.eoss.org/A=007065!W32!,"AE0SS-12>APTT4,EOSS,qAO,KC0L-15:/124500h3917.10N/10329.57WO026/012EOSS Balloon www.eoss.org/A=007065!W32!",26.0,13.8,22.2,39.28505,-103.4928666667,0.49,0.79,,,,,,,,4e-05,6.833e-05,17.3,5.273,low Re,0.011111,11.5375,0.084127,7.385173,0.114577,0.78028,-0.637266,16.075806,0.003389,3.516583,0.025641,2.251015,0.034924,0.780278,-0.637155,4.899896,
EOSS-291,KC0D-1,2019-07-13 06:45:16.921,2019-07-13 06:45:15,7441.0,2268.02,1030.0,120.0,ascending,True,/124515h3917.15N/10329.54WO016/013!W65!/A=007441 EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/124515h3917.15N/10329.54WO016/013!W65!/A=007441 EOSS BALLOON",16.0,15.0,24.1,39.2859333333,-103.4924166667,0.56,0.89,,,,,,,,3.833e-05,6.111e-05,17.16666667,5.23266667,low Re,-0.004444,12.162963,0.073056,7.158492,0.110603,0.698989,-0.700704,17.397765,-0.001344,3.707259,0.022268,2.181949,0.033711,0.699103,-0.700424,5.302853,
EOSS-291,AE0SS-12,2019-07-13 06:45:31.432,2019-07-13 06:45:30,7576.0,2309.16,1022.0,135.0,ascending,True,/124530h3917.20N/10329.53WO352/012EOSS Balloon www.eoss.org/A=007576!W76!,"AE0SS-12>APTT4,EOSS,qAO,KC0L-15:/124530h3917.20N/10329.53WO352/012EOSS Balloon www.eoss.org/A=007576!W76!",352.0,13.8,22.2,39.2867833333,-103.4922666667,0.61,0.99,,,,,,,,2e-05,5.778e-05,17.03333333,5.19166667,low Re,-0.004444,12.65,0.064445,6.922592,0.106636,0.633192,-0.64602,17.768142,-0.001367,3.8557,0.019642,2.110037,0.032503,0.633148,-0.646371,5.415725,
