flightid,callsign,receivetime,packettime,altitude,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,latitude,longitude,distance_from_launch,temperature_k,pressure_pa,airdensity_slugs,airdensity_kgm3,velocity_x,velocity_y,velocity_z,airflow,acceleration,velocity_mean,acceleration_mean,velocity_std,acceleration_std,velocity_norm,acceleration_norm,velocity_curvefit
EOSS-368,AE0SS-3,2025-02-01 07:33:55.096,2025-02-01 07:33:50,5423.0,410.0,0.0,ascending,/143350h3936.50N/10402.53WO345/010/A=005423 21T8284P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/143350h3936.50N/10402.53WO345/010/A=005423 21T8284P EOSS BALLOON",345.0,12.0,39.6083333333,-104.0421666667,0.0,275.25,82840.0,0.00203436,1.04846808,0.0,1.111e-05,6.83333333,high Re,,6.833333,,,,,,12.480219
EOSS-368,KC0D-1,2025-02-01 07:34:01.885,2025-02-01 07:34:00,5675.0,926.0,10.0,ascending,/143400h3936.51N/10402.52WO201/005/A=005675 114T8233P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/143400h3936.51N/10402.52WO201/005/A=005675 114T8233P EOSS BALLOON",201.0,6.0,39.6085,-104.042,0.01,284.55,82330.0,0.00195576,1.00795693,5.56e-06,1.667e-05,15.43333333,high Re,0.286667,11.133333,0.286667,6.081118,,0.707107,,14.198793
EOSS-368,AE0SS-3,2025-02-01 07:34:22.325,2025-02-01 07:34:20,6039.0,1232.0,30.0,ascending,/143420h3936.49N/10402.54WO262/009/A=006039 82T8102P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143420h3936.49N/10402.54WO262/009/A=006039 82T8102P EOSS BALLOON",262.0,10.0,39.6081666667,-104.0423333333,0.01,281.35,81020.0,0.00194653,1.00320057,-5.56e-06,-5.56e-06,20.53333333,high Re,0.17,14.266667,0.228334,6.924112,0.082496,0.90505,-0.707113,16.225247
EOSS-368,KC0D-1,2025-02-01 07:34:31.566,2025-02-01 07:34:30,6289.0,1228.0,40.0,ascending,/143430h3936.49N/10402.57WO234/002/A=006289 115T8049P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143430h3936.49N/10402.57WO234/002/A=006289 115T8049P EOSS BALLOON",234.0,2.0,39.6081666667,-104.0428333333,0.04,284.65,80490.0,0.00191138,0.98508382,-2.778e-05,-1.111e-05,20.46666667,high Re,-0.002222,15.816667,0.151482,6.447652,0.145332,0.721193,-1.057606,17.350091
EOSS-368,AE0SS-3,2025-02-01 07:34:54.814,2025-02-01 07:34:50,6638.0,1198.0,60.0,ascending,/143450h3936.47N/10402.57WO162/009/A=006638 77T7920P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143450h3936.47N/10402.57WO162/009/A=006638 77T7920P EOSS BALLOON",162.0,10.0,39.6078333333,-104.0428333333,0.05,280.85,79200.0,0.00190619,0.98241097,-1.667e-05,-1.111e-05,19.96666667,high Re,-0.016667,16.646667,0.109444,5.884188,0.145428,0.564224,-0.867171,18.616726
EOSS-368,KC0D-1,2025-02-01 07:35:01.607,2025-02-01 07:35:00,6880.0,1182.0,70.0,ascending,/143500h3936.47N/10402.55WO109/007/A=006880 115T7875P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143500h3936.47N/10402.55WO109/007/A=006880 115T7875P EOSS BALLOON",109.0,8.0,39.6078333333,-104.0425,0.04,284.65,78750.0,0.00187006,0.96378868,1.111e-05,-1.111e-05,19.7,high Re,-0.008889,17.155556,0.085778,5.40858,0.136611,0.470446,-0.692968,19.318535
EOSS-368,AE0SS-3,2025-02-01 07:35:22.317,2025-02-01 07:35:20,7266.0,1256.0,90.0,ascending,/143520h3936.46N/10402.51WO185/005/A=007266 76T7740P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143520h3936.46N/10402.51WO185/005/A=007266 76T7740P EOSS BALLOON",185.0,6.0,39.6076666667,-104.0418333333,0.05,280.75,77400.0,0.00186353,0.96042542,3.333e-05,-5.56e-06,20.93333333,high Re,0.041111,17.695238,0.078333,5.139658,0.123542,0.630022,-0.30129,20.19222
EOSS-368,KC0D-1,2025-02-01 07:35:31.610,2025-02-01 07:35:30,7484.0,1208.0,100.0,ascending,/143530h3936.45N/10402.48WO123/014/A=007484 116T7701P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143530h3936.45N/10402.48WO123/014/A=007484 116T7701P EOSS BALLOON",123.0,16.0,39.6075,-104.0413333333,0.07,284.75,77010.0,0.0018281,0.94216255,3.889e-05,-1.111e-05,20.13333333,high Re,-0.026667,18.0,0.063333,4.835845,0.119557,0.44115,-0.752779,20.573941
EOSS-368,AE0SS-3,2025-02-01 07:35:54.807,2025-02-01 07:35:50,7852.0,1172.0,120.0,ascending,/143550h3936.41N/10402.43WO175/015/A=007852 71T7573P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143550h3936.41N/10402.43WO175/015/A=007852 71T7573P EOSS BALLOON",175.0,17.0,39.6068333333,-104.0405,0.14,280.25,75730.0,0.00182658,0.9413796,4.444e-05,-2.778e-05,19.53333333,high Re,-0.02,18.17037,0.052917,4.552302,0.114542,0.299401,-0.636596,21.07063
EOSS-368,KC0D-1,2025-02-01 07:36:01.586,2025-02-01 07:36:00,8086.0,1204.0,130.0,ascending,/143600h3936.40N/10402.40WO160/011/A=008086 117T7531P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/143600h3936.40N/10402.40WO160/011/A=008086 117T7531P EOSS BALLOON",160.0,13.0,39.6066666667,-104.04,0.16,284.85,75310.0,0.00178711,0.92104081,4.444e-05,-2.778e-05,20.06666667,high Re,0.017778,18.36,0.049012,4.333641,0.107783,0.393818,-0.289786,21.306638
