flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-301,KC0D-14,2020-08-01 06:46:17.119,2020-08-01 06:46:15.000,5147.0,1568.81,-148.0,0.0,ascending,True,/124615h3936.55N/10402.54WO001/006/A=005147 349T8429P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/124615h3936.55N/10402.54WO001/006/A=005147 349T8429P EOSS BALLOON",1.0,7.0,11.3,39.6091666667,-104.0423333333,0.0,0.0,94.82,34.9,308.05,84290.0,0.83,0.00184957,0.95322909,-5.56e-06,2.222e-05,-2.46666667,-0.75166667,low Re,,-2.466667,,,,,,6.516208,,-0.751667,,,,,,1.986219,
EOSS-301,KC0D-14,2020-08-01 06:46:19.891,2020-08-01 06:46:19.891,0.0,0.0,,,,False,>124615 Lk=3Diff/9 Itemp=95F bAlt=5003Ft Rel:7.5V 8.1V,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:>124615 Lk=3Diff/9 Itemp=95F bAlt=5003Ft Rel:7.5V 8.1V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-301,AE0SS-12,2020-08-01 06:46:28.717,2020-08-01 06:46:27.000,5385.0,1641.35,336.0,12.0,ascending,True,/124627h3936.54N/10402.52WO064/007EOSS Balloon  www.eoss.org/A=005385!W60!,"AE0SS-12>APTT4,EOSS,qAR,KD8YQL-10:/124627h3936.54N/10402.52WO064/007EOSS Balloon  www.eoss.org/A=005385!W60!",64.0,8.0,12.9,39.6091,-104.042,0.02,0.03,,,,,,,,3.33e-06,2.833e-05,5.6,1.707,low Re,0.268889,1.566667,0.268889,5.703995,,0.707107,,7.901553,0.081956,0.477667,0.081956,1.73854,,0.707107,,2.408442,
EOSS-301,KC0D-3,2020-08-01 06:46:49.805,2020-08-01 06:46:45.000,5640.0,1719.07,780.0,30.0,ascending,True,/124645h3936.56N/10402.46WO078/009/A=005640 182T8322P EOSS QUAL PAYLOAD,"KC0D-3>APZEOS,EOSS,qAO,N6BA-10:/124645h3936.56N/10402.46WO078/009/A=005640 182T8322P EOSS QUAL PAYLOAD",78.0,10.0,16.1,39.6093333333,-104.041,0.07,0.12,64.76,18.2,291.35,83220.0,0.82,0.00193076,0.99507345,3.889e-05,2.222e-05,13.0,3.96233333,low Re,0.246667,5.377778,0.257778,7.735728,0.015713,0.985327,-0.707121,9.11453,0.075178,1.639222,0.078567,2.357731,0.004793,0.985317,-0.707073,2.778127,
EOSS-301,KC0D-14,2020-08-01 06:46:47.042,2020-08-01 06:46:45.000,5739.0,1749.25,1184.0,30.0,ascending,True,/124645h3936.56N/10402.46WO077/009/A=005739 349T8319P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/124645h3936.56N/10402.46WO077/009/A=005739 349T8319P EOSS BALLOON",77.0,10.0,16.1,39.6093333333,-104.041,0.07,0.12,94.82,34.9,308.05,83190.0,0.82,0.00182543,0.94078928,4.444e-05,5.56e-06,19.73333333,6.01466667,low Re,0.224444,8.966667,0.246667,9.561109,0.022223,1.12609,-1.0,9.518283,0.068411,2.733083,0.075182,2.914114,0.006773,1.1261,-0.999705,2.901206,
EOSS-301,KC0D-3,2020-08-01 06:46:47.381,2020-08-01 06:46:47.381,0.0,0.0,,,,False,>124645 Lk=3Diff/11 Itemp=79F Xtemp=65F bAlt=5341Ft Rel:8.2V 4.0V,"KC0D-3>APZEOS,EOSS,qAO,N6BA-10:>124645 Lk=3Diff/11 Itemp=79F Xtemp=65F bAlt=5341Ft Rel:8.2V 4.0V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-301,AE0SS-12,2020-08-01 06:46:58.788,2020-08-01 06:46:57.000,5755.0,1754.12,740.0,42.0,ascending,True,/124657h3936.56N/10402.43WO069/005EOSS Balloon  www.eoss.org/A=005755!W55!,"AE0SS-12>APTT4,EOSS,qAR,KD8YQL-10:/124657h3936.56N/10402.43WO069/005EOSS Balloon  www.eoss.org/A=005755!W55!",69.0,6.0,9.7,39.6094166667,-104.0405833333,0.09,0.15,,,,,,,,4.722e-05,1.056e-05,12.33333333,3.759,low Re,-0.246667,9.64,0.123333,8.415937,0.247333,0.320028,-1.495959,9.58027,-0.075189,2.938267,0.037589,2.565062,0.075388,0.319966,-1.495968,2.920073,
EOSS-301,AE0SS-12,2020-08-01 06:47:09.349,2020-08-01 06:47:09.349,0.0,0.0,,,,False,EOSS Balloon Vbat=8.2V  T=68F,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:EOSS Balloon Vbat=8.2V  T=68F",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOSS-301,KC0D-3,2020-08-01 06:47:17.602,2020-08-01 06:47:15.000,5996.0,1827.58,712.0,60.0,ascending,True,/124715h3936.56N/10402.41WO075/001/A=005996 206T8218P EOSS QUAL PAYLOAD,"KC0D-3>APZEOS,EOSS,qAO,N6BA-10:/124715h3936.56N/10402.41WO075/001/A=005996 206T8218P EOSS QUAL PAYLOAD",75.0,1.0,1.6,39.6093333333,-104.0401666667,0.12,0.19,69.08,20.6,293.75,82180.0,0.81,0.00189105,0.97460966,2.778e-05,0.0,11.86666667,3.617,low Re,-0.015556,10.011111,0.095555,7.582133,0.223021,0.244727,-0.498209,10.411882,-0.004733,3.051389,0.029125,2.310934,0.067976,0.244754,-0.498088,3.173553,
EOSS-301,KC0D-14,2020-08-01 06:47:19.801,2020-08-01 06:47:19.801,0.0,0.0,,,,False,>124717 Lk=3Diff/12 Itemp=95F bAlt=5730Ft 8.2V,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:>124717 Lk=3Diff/12 Itemp=95F bAlt=5730Ft 8.2V",0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
