flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-306,KC0D-14,2021-01-16 08:28:17.545,2021-01-16 08:28:15,5673.0,1729.13,910.0,0.0,ascending,/152815h3936.44N/10402.45WO177/011/A=005673 225T8302P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/152815h3936.44N/10402.45WO177/011/A=005673 225T8302P EOSS BALLOON",177.0,13.0,20.9,39.6073333333,-104.0408333333,0.0,0.0,72.5,22.5,295.65,83020.0,0.82,0.00189811,0.97824423,1.667e-05,-1.667e-05,15.16666667,4.62266667,high Re,,15.166667,,,,,,12.369159,,4.622667,,,,,,3.770022,
EOSS-306,AE0SS-12,2021-01-16 08:28:28.960,2021-01-16 08:28:27,5667.0,1727.3,447.0,12.0,ascending,/152827h3936.37N/10402.44WO167/014EOSS Balloon  www.eoss.org/A=005667!W99!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/152827h3936.37N/10402.44WO167/014EOSS Balloon  www.eoss.org/A=005667!W99!",167.0,16.0,25.7,39.6063166667,-104.0408166667,0.07,0.11,,,,,,,,5e-06,-1.972e-05,7.45,2.27066667,high Re,-0.128611,11.308333,-0.128611,5.456507,,-0.707107,,12.313812,-0.0392,3.446667,-0.0392,1.663115,,-0.707107,,3.75314,
EOSS-306,KC0D-3,2021-01-16 08:28:49.175,2021-01-16 08:28:45,6078.0,1852.57,842.0,30.0,ascending,/152845h3936.28N/10402.42WO172/027/A=006078 23T8129P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAR,W0ARP:/152845h3936.28N/10402.42WO172/027/A=006078 23T8129P EOSS BALLOON",172.0,31.0,49.9,39.6046666667,-104.0403333333,0.19,0.3,36.14,2.3,275.45,81290.0,0.8,0.00199485,1.0281034,1.111e-05,-4.722e-05,14.03333333,4.27733333,high Re,0.109722,12.216667,-0.009445,4.166767,0.168527,0.435989,0.707109,15.569825,0.033444,3.723556,-0.002878,1.270031,0.051367,0.436034,0.707108,4.745623,
EOSS-306,KC0D-14,2021-01-16 08:28:46.837,2021-01-16 08:28:45,6190.0,1886.71,1034.0,30.0,ascending,/152845h3936.28N/10402.42WO177/024/A=006190 227T8122P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/152845h3936.28N/10402.42WO177/024/A=006190 227T8122P EOSS BALLOON",177.0,28.0,45.1,39.6046666667,-104.0403333333,0.19,0.3,72.86,22.7,295.85,81220.0,0.8,0.0018557,0.95638743,1.667e-05,-8.889e-05,17.23333333,5.25266667,high Re,0.106667,13.470833,0.029259,4.226862,0.136728,0.89014,0.566146,16.285972,0.032511,4.105833,0.008918,1.288357,0.041674,0.890152,0.566132,4.963935,
EOSS-306,AE0SS-12,2021-01-16 08:28:58.702,2021-01-16 08:28:57,6251.0,1905.3,1168.0,42.0,ascending,/152857h3936.20N/10402.39WO168/017EOSS Balloon  www.eoss.org/A=006251!W82!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/152857h3936.20N/10402.39WO168/017EOSS Balloon  www.eoss.org/A=006251!W82!",168.0,20.0,32.2,39.6034666667,-104.0398666667,0.27,0.44,,,,,,,,3.167e-05,-9.5e-05,19.46666667,5.93333333,high Re,0.074444,14.67,0.040555,4.537596,0.113901,1.057094,0.29753,16.64848,0.022689,4.471333,0.012361,1.383058,0.034717,1.057078,0.297491,5.074419,
EOSS-306,KC0D-14,2021-01-16 08:29:16.918,2021-01-16 08:29:15,6780.0,2066.54,1180.0,60.0,ascending,/152915h3936.08N/10402.36WO161/029/A=006780 228T7936P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/152915h3936.08N/10402.36WO161/029/A=006780 228T7936P EOSS BALLOON",161.0,33.0,53.1,39.6013333333,-104.0393333333,0.42,0.68,73.04,22.8,295.95,79360.0,0.78,0.00181259,0.93416967,3.333e-05,-0.00011111,19.66666667,5.99433333,high Re,0.006667,15.502778,0.033778,4.542349,0.099799,0.916682,-0.271656,19.081622,0.002033,4.725167,0.010295,1.38451,0.030418,0.91669,-0.271615,5.816096,
EOSS-306,AE0SS-12,2021-01-16 08:29:28.593,2021-01-16 08:29:27,6894.0,2101.29,1286.0,72.0,ascending,/152927h3935.97N/10402.33WO158/034EOSS Balloon  www.eoss.org/A=006894!W36!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/152927h3935.97N/10402.33WO158/034EOSS Balloon  www.eoss.org/A=006894!W36!",158.0,39.0,62.8,39.59955,-104.0389333333,0.55,0.88,,,,,,,,3.111e-05,-0.00013056,21.43333333,6.533,high Re,0.058889,16.35,0.037963,4.713662,0.08985,1.078426,0.232899,19.461413,0.017956,4.983429,0.011572,1.436762,0.027386,1.078516,0.233112,5.931872,
EOSS-306,KC0D-3,2021-01-16 08:29:49.159,2021-01-16 08:29:45,7298.0,2224.43,1220.0,90.0,ascending,/152945h3935.81N/10402.28WO158/028/A=007298 7T7756P EOSS BALLOON,"KC0D-3>APZEOS,EOSS,WIDE2-1,qAR,W0ARP:/152945h3935.81N/10402.28WO158/028/A=007298 7T7756P EOSS BALLOON",158.0,32.0,51.5,39.5968333333,-104.038,0.74,1.19,33.26,0.7,273.85,77560.0,0.77,0.00191444,0.98665996,3.889e-05,-0.00013056,20.33333333,6.19766667,high Re,-0.018333,16.847917,0.029921,4.585618,0.084736,0.760076,-0.569463,20.478237,-0.005589,5.135208,0.009121,1.397742,0.025828,0.760125,-0.569537,6.241815,
EOSS-306,KC0D-14,2021-01-16 08:29:46.890,2021-01-16 08:29:45,7424.0,2262.84,1288.0,90.0,ascending,/152945h3935.81N/10402.28WO160/032/A=007424 228T7749P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/152945h3935.81N/10402.28WO160/032/A=007424 228T7749P EOSS BALLOON",160.0,37.0,59.5,39.5968333333,-104.038,0.74,1.19,73.04,22.8,295.95,77490.0,0.76,0.00176988,0.91215736,4.444e-05,-0.00015,21.46666667,6.54333333,high Re,0.037778,17.361111,0.030903,4.557381,0.0785,0.900859,0.08758,20.704615,0.011522,5.291667,0.009421,1.389167,0.023927,0.901019,0.087809,6.310826,
EOSS-306,AE0SS-12,2021-01-16 08:29:59.105,2021-01-16 08:29:57,7475.0,2278.38,1162.0,102.0,ascending,/152957h3935.70N/10402.22WO165/035EOSS Balloon  www.eoss.org/A=007475!W37!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/152957h3935.70N/10402.22WO165/035EOSS Balloon  www.eoss.org/A=007475!W37!",165.0,40.0,64.4,39.59505,-104.0371166667,0.87,1.4,,,,,,,,6.056e-05,-0.00015,19.36666667,5.903,high Re,-0.07,17.561667,0.019691,4.343294,0.080766,0.415583,-1.110504,20.785576,-0.021344,5.3528,0.006002,1.32391,0.024619,0.415587,-1.110768,6.335496,
