flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-330,AE0SS-12,2022-10-29 07:46:28.555,2022-10-29 07:46:27,5214.0,1589.23,-6.0,0.0,ascending,True,/134627h3936.50N/10402.53WO000/000EOSS Balloon  www.eoss.org/A=005214!W34!,"AE0SS-12>APTT4,EOSS,qAO,N0NDM-6:/134627h3936.50N/10402.53WO000/000EOSS Balloon  www.eoss.org/A=005214!W34!",0.0,0.0,0.0,39.6083833333,-104.0422333333,0.0,0.0,,,,,,,,-5.6e-07,0.0,-0.1,-0.03033333,high Re,,-0.1,,,,,,5.079984,,-0.030333,,,,,,1.548439,
EOSS-330,KC0D-1,2022-10-29 07:46:31.923,2022-10-29 07:46:30,5284.0,1610.56,110.0,3.0,ascending,True,/134630h3936.50N/10402.52WO073/003/A=005284 65T8456P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N0NDM-6:/134630h3936.50N/10402.52WO073/003/A=005284 65T8456P EOSS BALLOON",73.0,3.0,4.8,39.6083333333,-104.042,0.01,0.02,43.7,6.5,279.65,84560.0,0.83,0.00204393,1.05339827,0.0,0.0,1.83333333,0.55866667,high Re,0.064444,0.866667,0.064444,1.367073,,0.707107,,6.111266,0.019633,0.264167,0.019633,0.416486,,0.707106,,1.862683,
EOSS-330,AE0SS-12,2022-10-29 07:46:58.368,2022-10-29 07:46:57,5670.0,1728.22,912.0,30.0,ascending,True,/134657h3936.48N/10402.46WO166/008EOSS Balloon  www.eoss.org/A=005670!W09!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-2:/134657h3936.48N/10402.46WO166/008EOSS Balloon  www.eoss.org/A=005670!W09!",166.0,9.0,14.5,39.608,-104.04115,0.06,0.1,,,,,,,,3.611e-05,-1.278e-05,15.2,4.633,high Re,0.445556,5.644444,0.255,8.331622,0.269487,1.146902,0.707106,10.979393,0.135811,1.720444,0.077722,2.539481,0.08215,1.14691,0.707109,3.346568,
EOSS-330,KC0D-1,2022-10-29 07:47:01.952,2022-10-29 07:47:00,5843.0,1780.95,1118.0,33.0,ascending,True,/134700h3936.47N/10402.46WO148/009/A=005843 65T8280P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N0NDM-6:/134700h3936.47N/10402.46WO148/009/A=005843 65T8280P EOSS BALLOON",148.0,10.0,16.1,39.6078333333,-104.041,0.08,0.12,43.7,6.5,279.65,82800.0,0.82,0.00200139,1.03147323,3.333e-05,-1.667e-05,18.63333333,5.67966667,high Re,0.114444,8.891667,0.208148,9.405057,0.207116,1.03579,-0.452423,12.758738,0.034889,2.71025,0.063444,2.866735,0.063134,1.035818,-0.452292,3.888899,
EOSS-330,AE0SS-12,2022-10-29 07:47:28.482,2022-10-29 07:47:27,6267.0,1910.18,1194.0,60.0,ascending,True,/134727h3936.38N/10402.49WO196/021EOSS Balloon  www.eoss.org/A=006267!W52!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-2:/134727h3936.38N/10402.49WO196/021EOSS Balloon  www.eoss.org/A=006267!W52!",196.0,24.0,38.6,39.6064166667,-104.0415333333,0.14,0.23,,,,,,,,-1.278e-05,-5.278e-05,19.9,6.06533333,high Re,0.042222,11.093333,0.166666,9.517248,0.188363,0.925338,-0.660661,16.239839,0.012856,3.381267,0.050797,2.900852,0.05742,0.925268,-0.660763,4.949887,
EOSS-330,KC0D-1,2022-10-29 07:47:31.967,2022-10-29 07:47:30,6435.0,1961.39,1184.0,63.0,ascending,True,/134730h3936.37N/10402.50WO210/018/A=006435 66T8100P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N0NDM-6:/134730h3936.37N/10402.50WO210/018/A=006435 66T8100P EOSS BALLOON",210.0,21.0,33.8,39.6061666667,-104.0416666667,0.16,0.25,43.88,6.6,279.75,81000.0,0.8,0.00195718,1.0086892,-2.222e-05,-5.556e-05,19.73333333,6.01466667,high Re,-0.005556,12.533333,0.132222,9.214337,0.180396,0.781391,-0.763753,17.320423,-0.001689,3.820167,0.0403,2.808515,0.054989,0.781374,-0.763589,5.27927,
EOSS-330,AE0SS-12,2022-10-29 07:47:58.689,2022-10-29 07:47:57,6868.0,2093.37,1202.0,90.0,ascending,True,/134757h3936.26N/10402.62WO225/021EOSS Balloon  www.eoss.org/A=006868!W85!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-2:/134757h3936.26N/10402.62WO225/021EOSS Balloon  www.eoss.org/A=006868!W85!",225.0,24.0,38.6,39.6044666667,-104.04375,0.28,0.45,,,,,,,,-7.389e-05,-6.5e-05,20.03333333,6.10633333,high Re,0.01,13.604762,0.111852,8.876319,0.16889,0.724238,-0.603067,19.468456,0.003056,4.146762,0.034093,2.705509,0.05148,0.724289,-0.602894,5.93399,
EOSS-330,KC0D-1,2022-10-29 07:48:01.934,2022-10-29 07:48:00,7036.0,2144.57,1202.0,93.0,ascending,True,/134800h3936.25N/10402.64WO223/022/A=007036 66T7922P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N0NDM-6:/134800h3936.25N/10402.64WO223/022/A=007036 66T7922P EOSS BALLOON",223.0,25.0,40.2,39.6041666667,-104.044,0.31,0.49,43.88,6.6,279.75,79220.0,0.78,0.00191417,0.98652295,-7.778e-05,-6.667e-05,20.03333333,6.106,high Re,0.0,14.408333,0.095873,8.526388,0.159866,0.659717,-0.599709,20.091479,-1.1e-05,4.391667,0.029221,2.598831,0.04873,0.659655,-0.599877,6.123862,
EOSS-330,AE0SS-12,2022-10-29 07:48:28.277,2022-10-29 07:48:27,7471.0,2277.16,1206.0,120.0,ascending,True,/134827h3936.16N/10402.81WO247/019EOSS Balloon  www.eoss.org/A=007471!W40!,"AE0SS-12>APTT4,EOSS,qAO,W0ARP-2:/134827h3936.16N/10402.81WO247/019EOSS Balloon  www.eoss.org/A=007471!W40!",247.0,22.0,35.4,39.6027333333,-104.0468333333,0.46,0.74,,,,,,,,-0.00010278,-5.778e-05,20.1,6.12633333,high Re,0.002222,15.040741,0.084166,8.198251,0.151666,0.617114,-0.540292,21.270038,0.000678,4.584407,0.025653,2.498805,0.04623,0.617065,-0.540234,6.483094,
EOSS-330,KC0D-1,2022-10-29 07:48:31.935,2022-10-29 07:48:30,7643.0,2329.59,1214.0,123.0,ascending,True,/134830h3936.15N/10402.83WO232/024/A=007643 67T7745P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N0NDM-6:/134830h3936.15N/10402.83WO232/024/A=007643 67T7745P EOSS BALLOON",232.0,28.0,45.1,39.6025,-104.0471666667,0.48,0.78,44.06,6.7,279.85,77450.0,0.76,0.00187073,0.96413658,-0.00010556,-5.556e-05,20.23333333,6.16733333,high Re,0.004444,15.56,0.075308,7.90188,0.144338,0.59142,-0.490959,21.591849,0.001367,4.7427,0.022954,2.408487,0.043996,0.591506,-0.490658,6.58119,
