flightid,callsign,receivetime,packettime,altitude,vert_rate_ftmin,elapsed_secs,flight_phase,info,raw,bearing,speed_mph,latitude,longitude,distance_from_launch,temperature_k,pressure_pa,airdensity_slugs,airdensity_kgm3,velocity_x,velocity_y,velocity_z,airflow,acceleration,velocity_mean,acceleration_mean,velocity_std,acceleration_std,velocity_norm,acceleration_norm,velocity_curvefit,reynolds_transition
EOSS-292,KC0D-15,2019-07-27 06:39:46.653,2019-07-27 06:39:45,5746.0,690.0,0.0,ascending,/123945h3914.14N/10341.86WO218/006/A=005746 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,N2XGL-12:/123945h3914.14N/10341.86WO218/006/A=005746 EOSS BALLOON",218.0,6.9,39.2356666667,-103.6976666667,0.0,,,,,-2.222e-05,-1.667e-05,11.5,high Re,,11.5,,,,,,16.313003,
EOSS-292,AE0SS-12,2019-07-27 06:40:01.371,2019-07-27 06:40:00,5913.0,1018.0,15.0,ascending,/124000h3914.10N/10341.90WO233/013EOSS Balloon www.eoss.org/A=005913!W60!,"AE0SS-12>APTT4,EOSS,qAO,W9CN-9:/124000h3914.10N/10341.90WO233/013EOSS Balloon www.eoss.org/A=005913!W60!",233.0,15.0,39.2351,-103.6983333333,0.05,,,,,-4.278e-05,-3.222e-05,16.96666667,high Re,0.182222,14.233333,0.182222,3.865517,,0.707107,,16.552874,
EOSS-292,AE0SS-13,2019-07-27 06:40:11.302,2019-07-27 06:40:10,6123.0,722.0,25.0,ascending,/124010h3914.08N/10341.94WO250/012EOSS Baloon/A=006123!W00!,"AE0SS-13>APTT4,EOSS,qAO,N2XGL-12:/124010h3914.08N/10341.94WO250/012EOSS Baloon/A=006123!W00!",250.0,13.8,39.2346666667,-103.699,0.1,,,,,-3.306e-05,-2.528e-05,12.03333333,high Re,-0.082222,13.5,0.05,3.014041,0.18699,-0.486611,-0.707107,16.843952,
EOSS-292,KC0D-15,2019-07-27 06:40:16.693,2019-07-27 06:40:15,6309.0,1126.0,30.0,ascending,/124015h3914.07N/10341.95WO222/012/A=006309 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,N2XGL-12:/124015h3914.07N/10341.95WO222/012/A=006309 EOSS BALLOON",222.0,13.8,39.2345,-103.6991666667,0.11,,,,,-5e-05,-3.889e-05,18.76666667,high Re,0.224444,14.816667,0.108148,3.604267,0.166211,1.095923,0.699689,17.091902,
EOSS-292,AE0SS-12,2019-07-27 06:40:31.373,2019-07-27 06:40:30,6497.0,1168.0,45.0,ascending,/124030h3914.03N/10342.00WO217/008EOSS Balloon www.eoss.org/A=006497!W73!,"AE0SS-12>APTT4,EOSS,qAO,W9CN-9:/124030h3914.03N/10342.00WO217/008EOSS Balloon www.eoss.org/A=006497!W73!",217.0,9.2,39.23395,-103.70005,0.17,,,,,-5.722e-05,-3.833e-05,19.46666667,high Re,0.023333,15.746667,0.086944,3.750674,0.142183,0.991822,-0.447388,17.33309,
EOSS-292,AE0SS-13,2019-07-27 06:40:41.257,2019-07-27 06:40:40,6700.0,1154.0,55.0,ascending,/124040h3914.00N/10342.01WO212/004EOSS Baloon/A=006700!W86!,"AE0SS-13>APTT4,EOSS,qAO,W9CN-9:/124040h3914.00N/10342.01WO212/004EOSS Baloon/A=006700!W86!",212.0,4.6,39.2334666667,-103.7002666667,0.21,,,,,-4.222e-05,-4e-05,19.23333333,high Re,-0.007778,16.327778,0.068,3.644199,0.130217,0.79731,-0.581936,17.582894,
EOSS-292,KC0D-15,2019-07-27 06:40:46.676,2019-07-27 06:40:45,6891.0,1164.0,60.0,ascending,/124045h3913.99N/10342.02WO184/012/A=006891 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,N2XGL-12:/124045h3913.99N/10342.02WO184/012/A=006891 EOSS BALLOON",184.0,13.8,39.2331666667,-103.7003333333,0.22,,,,,-3.889e-05,-4.444e-05,19.4,high Re,0.005556,16.766667,0.057592,3.523519,0.119227,0.747359,-0.436445,17.807895,
EOSS-292,AE0SS-12,2019-07-27 06:41:01.383,2019-07-27 06:41:00,7065.0,1136.0,75.0,ascending,/124100h3913.95N/10342.04WO203/005EOSS Balloon www.eoss.org/A=007065!W80!,"AE0SS-12>APTT4,EOSS,qAO,W9CN-9:/124100h3913.95N/10342.04WO203/005EOSS Balloon www.eoss.org/A=007065!W80!",203.0,5.8,39.2326333333,-103.7006666667,0.26,,,,,-2.056e-05,-4.389e-05,18.93333333,high Re,-0.015556,17.0375,0.047143,3.350879,0.112295,0.565772,-0.558342,18.004454,
EOSS-292,AE0SS-13,2019-07-27 06:41:11.207,2019-07-27 06:41:10,7265.0,1130.0,85.0,ascending,/124110h3913.92N/10342.04WO201/011EOSS Baloon/A=007265!W79!,"AE0SS-13>APTT4,EOSS,qAO,W9CN-9:/124110h3913.92N/10342.04WO201/011EOSS Baloon/A=007265!W79!",201.0,12.7,39.2321166667,-103.7008166667,0.3,,,,,-1.833e-05,-4.5e-05,18.83333333,high Re,-0.003333,17.237037,0.040833,3.191109,0.105486,0.500232,-0.418691,18.220555,
EOSS-292,KC0D-15,2019-07-27 06:41:16.690,2019-07-27 06:41:15,7465.0,1148.0,90.0,ascending,/124115h3913.91N/10342.06WO211/011/A=007465 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,N2XGL-12:/124115h3913.91N/10342.06WO211/011/A=007465 EOSS BALLOON",211.0,12.7,39.2318333333,-103.701,0.32,,,,,-2.222e-05,-4.444e-05,19.13333333,high Re,0.01,17.426667,0.037407,3.067786,0.099207,0.556319,-0.276261,18.426259,
