"flight","beacons","day","balloonsize","liftfactor","h2fill","parachute.description","parachute.size","weights.client","weights.eoss","weights.parachute","weights.neckload","weights.balloon","weights.gross","weights.necklift"
"EOSS-362","[""KC0D-3"",""AE0SS-1"",""KC0D-2""]","2024-10-20","2000gm","1.25","290","Rocketman","12","5.81","5.12","1.81","12.74","4.41","17.15","17.02"
"EOSS-361","[""KC0D-2"",""AE0SS-4"",""AE0SS-2""]","2024-08-03","3000gm","1.20","415","Rocketman","12","12.29","5.02","1.70","19.01","6.61","25.62","24.13"
"EOSS-360","[""AE0SS-1"",""AE0SS-4"",""KC0D-3"",""KC0D-1""]","2024-05-18","3000gm","1.20","482","Rocketman","12","14.79","6.65","1.70","23.14","6.61","29.76","29.09"
"EOSS-359","[""AE0SS-1"",""AE0SS-3"",""KC0D-1""]","2024-05-04","3000gm","1.20","353","Rocketman","12","8.50","4.99","1.70","15.18","6.61","21.79","19.54"
"EOSS-358","[""AE0SS-4"",""KC0D-3""]","2024-05-04","1500gm","1.30","267","Rocketman","12","6.64","3.44","1.81","11.89","3.31","15.19","16.45"
"EOSS-357","[""AE0SS-12"",""KC0D-3""]","2024-04-21","1500gm","1.30","301","Rocketman","12","6.21","5.79","1.81","13.81","3.31","17.11","18.94"
"EOSS-356","[""AE0SS-2"",""KC0D-2""]","2024-04-21","1500gm","1.30","299","Rocketman","12","8.82","3.18","1.70","13.70","3.31","17.00","18.80"
"EOSS-355","[""AE0SS-3"",""KC0D-1""]","2024-04-21","3000gm","1.20","317","Rocketman","12","9.01","2.21","1.70","12.91","6.61","19.53","16.82"
"EOSS-354","[""AE0SS-12"",""KC0D-3""]","2024-03-17","2000gm","1.25","295","Rocketman","12","8.06","3.19","1.81","13.06","4.41","17.47","17.42"
"EOSS-353","[""AE0SS-2"",""K0SCC-14""]","2023-12-02","1500gm","1.30","292","Rocketman","12","8.86","2.67","1.81","13.34","3.31","16.64","18.33"
"EOSS-352","[""KC0D-1"",""KC0D-3""]","2023-12-02","1500gm","1.30","287","Rocketman","12","9.14","2.19","1.70","13.03","3.31","16.33","17.93"
"EOSS-351","[""KC0D-2"",""AE0SS-12""]","2023-12-02","1500gm","1.30","290","Rocketman","12","8.00","3.52","1.70","13.21","3.31","16.52","18.17"
"EOSS-350","[""KC0D-2"",""AE0SS-12""]","2023-11-11","3000gm","1.20","461","Rocketman","12","13.95","6.20","1.70","21.85","6.61","28.46","27.54"
"EOSS-349","[""KC0D-1"",""AE0SS-13""]","2023-11-04","3000gm","1.20","401","Rocketman","12","12.12","4.32","1.70","18.14","6.61","24.75","23.09"
"EOSS-348","[""KC0D-2"",""AE0SS-1"",""AE0SS-12""]","2023-11-04","3000gm","1.20","469","Rocketman","12","14.39","6.20","1.70","22.28","6.61","28.90","28.06"
"EOSS-347","[""KC0D-1"",""AE0SS-13""]","2023-10-21","1500gm","1.30","282","Rocketman","12","4.93","6.15","1.70","12.78","3.31","16.08","17.60"
"EOSS-346","[""KC0D-14"",""KC0D-1"",""AE0SS-13""]","2023-09-09","1500gm","1.30","247","Rocketman","12","1.02","8.04","1.70","10.75","3.31","14.06","14.97"
"EOSS-345","[""KC0D-2"",""AE0SS-13""]","2023-07-29","3000gm","1.20","335","Rocketman","12","7.52","4.91","1.63","14.05","6.61","20.67","18.19"
"EOSS-344","[""KC0D-2"",""AE0SS-13""]","2023-07-22","3000gm","1.20","363","Rocketman","12","8.07","6.09","1.63","15.79","6.61","22.40","20.27"
